"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_child_Infected-Ciliated_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000053770",0.000575277676417393,0.730262904630375,4,0,-0.21125429333183,1,1
"ENSG00000164924",1.02846622661507e-23,1,9,0,-0.210903551444242,1,1
"ENSG00000168234",0.00607040307778471,0.0931988095699128,3,0,0.210570345400509,1,1
"ENSG00000184983",1.25564845018839e-05,1.34859050950579e-06,3,2,-0.210169863858935,1,1
"ENSG00000151376",0.0375015352821355,1,6,0,-0.209951351913821,1,1
"ENSG00000189091",0.00125974653520977,0.771639384546687,4,0,0.209942586891004,1,1
"ENSG00000070081",1.12399352845591e-10,0.00166502723452019,9,1,-0.209796130737888,1,1
"ENSG00000177106",3.64717897251796e-09,1,9,0,0.209677449390064,1,1
"ENSG00000140943",7.56984010478801e-07,1,4,0,-0.209594093345724,1,1
"ENSG00000151023",0.0187657257810313,0.0152982278545126,4,1,0.208910417208842,1,1
"ENSG00000137504",0.0447033705729381,0.389314136401079,3,0,-0.208432565568972,1,1
"ENSG00000189376",0.00343383095206769,0.000788719691334769,3,2,0.208183851440829,1,1
"ENSG00000149292",0.0417914648527732,1,5,0,0.208084280150946,1,1
"ENSG00000144566",8.51012336383125e-06,0.0626690035528295,4,0,-0.207742854140213,1,1
"ENSG00000170892",9.52646284877763e-20,1,5,0,0.207408033562884,1,1
"ENSG00000148985",1.89281697148145e-09,1,11,0,0.207392017283141,1,1
"ENSG00000115504",1.13140480777037e-06,1,6,0,0.207366398740536,1,1
"ENSG00000243836",7.71850686243074e-13,1,4,0,-0.206862206918255,1,1
"ENSG00000143390",0.000801695515739214,1,5,0,0.206675413801433,1,1
"ENSG00000141127",8.49480136053061e-05,1,7,0,0.206215041320738,1,1
"ENSG00000132507",9.13288714088483e-19,1.30710743872419e-07,4,1,0.206102118658217,1,1
"ENSG00000112679",0.00206671848269778,0.0631506419497371,4,0,0.205882352210458,1,1
"ENSG00000170633",0.0303928753180159,0.764778501175558,4,0,0.205838684996165,1,1
"ENSG00000134152",0.000234759974443875,0.14494685153447,5,0,-0.205741920714128,1,1
"ENSG00000163932",3.59455476539631e-10,0.0186823114344042,7,1,0.205674523673015,1,1
"ENSG00000152061",1.09675552740654e-10,1,10,0,0.205479520496247,1,1
"ENSG00000108784",0.0445183023684634,0.334730625126477,4,0,-0.205354955579291,1,1
"ENSG00000155959",0.00242310227308259,0,2,2,-0.205284605592695,1,1
"ENSG00000164163",0.0434797550497028,0,2,2,0.205084620489923,1,1
"ENSG00000145782",5.45529633263759e-05,1,6,0,0.204976232882159,1,1
"ENSG00000167699",0.000410160601575065,0.0163470008691766,4,1,-0.204910982160287,1,1
"ENSG00000143033",0.00272530809323984,0.0117578490973616,6,1,0.204696838541947,1,1
"ENSG00000175279",8.65482008268998e-05,0.0612867194291251,6,0,-0.204458589054279,1,1
"ENSG00000203706",6.72392373971661e-06,1,6,0,0.203703700187448,1,1
"ENSG00000122481",2.319593561525e-08,1,9,0,-0.203698489358536,1,1
"ENSG00000180398",4.50295020026603e-09,0.031808176510276,13,2,-0.203122155084377,1,1
"ENSG00000068745",1.21919344073541e-14,0.000146710398888187,5,1,-0.202705505268276,1,1
"ENSG00000106733",9.52428025700114e-10,0.0250770067595939,7,1,0.202043949955889,1,1
"ENSG00000109381",0.0140963199673481,0.271647449781115,3,0,-0.201963725422432,1,1
"ENSG00000179262",1.71147207919924e-12,2.72582128912118e-09,3,1,0.201825806667697,1,1
"ENSG00000174808",0.00559324066293896,0.103171739262109,3,0,-0.201648060906364,1,1
"ENSG00000285437",4.78973702363481e-09,1,8,0,-0.201438810839901,1,1
