"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Ciliated_UK_72hpi_child_Infected-Ciliated_UK_72hpi_adult_Infected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000086504"	"ENSG00000086504"	0.00424107931680887	0	2	2	-0.238488524424656	1	1
"ENSG00000132341"	"ENSG00000132341"	3.91819404602894e-60	0	2	2	0.224868385977665	1	1
"ENSG00000013364"	"ENSG00000013364"	0.000438312812195989	0	2	2	-0.219358164822461	1	1
"ENSG00000155959"	"ENSG00000155959"	0.00242310227308259	0	2	2	-0.205284605592695	1	1
"ENSG00000164163"	"ENSG00000164163"	0.0434797550497028	0	2	2	0.205084620489923	1	1
"ENSG00000139644"	"ENSG00000139644"	0.000714843690993068	0	2	2	-0.183311421224238	1	1
"ENSG00000123684"	"ENSG00000123684"	0.0463550188357783	0	2	2	-0.180220908223989	1	1
"ENSG00000242372"	"ENSG00000242372"	3.57328365830051e-06	0	2	2	0.168222845826563	1	1
"ENSG00000233927"	"ENSG00000233927"	0.0205392331922951	0	2	2	-0.164291113618747	1	1
"ENSG00000146701"	"ENSG00000146701"	6.71971551326896e-06	0	2	2	0.161738290081864	1	1
"ENSG00000168394"	"ENSG00000168394"	4.67559464762422e-05	0	2	2	-0.15970648553226	1	1
"ENSG00000173992"	"ENSG00000173992"	2.93858110832135e-05	0	2	2	0.157834996500895	1	1
"ENSG00000160201"	"ENSG00000160201"	0.00927907550660058	0	2	2	-0.156686233586377	1	1
"ENSG00000070540"	"ENSG00000070540"	0.0356884779961115	0	2	2	-0.154718124733076	1	1
"ENSG00000173113"	"ENSG00000173113"	1.09220908458279e-08	0	2	2	-0.154308301222449	1	1
"ENSG00000177459"	"ENSG00000177459"	0.00390057555615813	0	2	2	0.141307260053374	1	1
"ENSG00000117984"	"ENSG00000117984"	8.19740955057641e-10	0	2	2	-0.129507142202696	1	1
"ENSG00000173418"	"ENSG00000173418"	0.00145322234256401	0	2	2	0.122606429280395	1	1
"ENSG00000131871"	"ENSG00000131871"	8.81472892203497e-06	0	2	2	-0.121985959307457	1	1
"ENSG00000071462"	"ENSG00000071462"	3.67782962006315e-05	0	2	2	-0.116455192239283	1	1
"ENSG00000109255"	"ENSG00000109255"	0.0173752045219459	0	2	2	-0.108796098957859	1	1
"ENSG00000198668"	"ENSG00000198668"	0.0148083937743	0	2	2	0.107871126202486	1	1
"ENSG00000177156"	"ENSG00000177156"	0.00019844504946612	0	2	2	0.103744374276418	1	1
"ENSG00000164346"	"ENSG00000164346"	0.00988216322700793	0	2	2	0.102205714520529	1	1
"ENSG00000163170"	"ENSG00000163170"	0.0241234229430563	0	2	2	0.102088256005038	1	1
"ENSG00000174917"	"ENSG00000174917"	0.0195137591840736	0	2	2	0.0977033113299873	1	1
"ENSG00000128654"	"ENSG00000128654"	0.0445779822575344	0	2	2	-0.0968074028779793	1	1
"ENSG00000206075"	"ENSG00000206075"	1.50520896531406e-08	0	2	2	-0.0964365193863016	1	1
"ENSG00000159388"	"ENSG00000159388"	0.00145906631471072	0	2	2	-0.0957204660910413	1	1
"ENSG00000155957"	"ENSG00000155957"	0.00296496545794608	0	2	2	0.09175048153963	1	1
"ENSG00000144713"	"ENSG00000144713"	7.21732143815072e-63	0	2	2	0.0916487384581115	1	1
"ENSG00000132002"	"ENSG00000132002"	2.26738539745996e-06	0	2	2	0.0883285457869237	1	1
"ENSG00000273841"	"ENSG00000273841"	0.0200323352843237	0	2	2	-0.0873129178001683	1	1
"ENSG00000126457"	"ENSG00000126457"	0.000699429139240202	0	2	2	-0.0870841637337453	1	1
"ENSG00000063046"	"ENSG00000063046"	0.00979812664128893	0	2	2	-0.0867270623655482	1	1
"ENSG00000108774"	"ENSG00000108774"	0.000885071678754965	0	2	2	0.085856558830444	1	1
"ENSG00000117632"	"ENSG00000117632"	0.0499432578853346	0	2	2	0.0842580835254748	1	1
"ENSG00000140319"	"ENSG00000140319"	6.99619388202103e-08	0	2	2	0.0810685461152163	1	1
