"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_VIC01_72hpi_child_Infected-Ciliated_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000108654",3.06996464180606e-10,1,4,0,0.109548246724888,1,1
"ENSG00000173992",0.000561172466853315,0,2,2,-0.10950885530617,1,1
"ENSG00000197208",0.0271165558882936,1,3,0,-0.109454284969939,1,1
"ENSG00000099622",7.97865959082045e-12,1,3,0,-0.108844252901254,1,1
"ENSG00000142409",0.0161658450448266,0,2,2,-0.108367496993129,1,1
"ENSG00000118680",7.29866809510663e-09,0,2,2,-0.108342886160229,1,1
"ENSG00000144895",0.0217546118423405,1,5,0,0.108303842799008,1,1
"ENSG00000114850",0.00572227311088777,1,4,0,0.108138941062535,1,1
"ENSG00000177548",0.00436473646291356,1,3,0,-0.108009978956721,1,1
"ENSG00000007255",5.59591387030811e-09,1,5,0,-0.107640068005324,1,1
"ENSG00000071889",0.000727748491703926,1,7,0,0.107444763568133,1,1
"ENSG00000185808",0.00266057084506639,1,6,0,-0.106811597022489,1,1
"ENSG00000116489",0.000367686604100888,1,3,0,0.106527498978582,1,1
"ENSG00000230937",3.96470711461011e-06,1,6,0,-0.106344139268774,1,1
"ENSG00000112514",8.83076289509352e-09,1,7,0,-0.105589601386539,1,1
"ENSG00000129625",0.00794518525111,0,2,2,-0.105542688113783,1,1
"ENSG00000160789",0.0296942935382247,0,2,2,0.105310755169844,1,1
"ENSG00000105372",0.0295353653287986,1,4,0,0.105235912586943,1,1
"ENSG00000064601",0.000381892828202329,1,4,0,-0.105218690910651,1,1
"ENSG00000120129",4.74068311742922e-13,1,3,0,0.104910283960733,1,1
"ENSG00000140284",4.66598545511052e-08,1,3,0,0.10472918897725,1,1
"ENSG00000118307",0.00868900690302228,1,7,0,-0.104448868785547,1,1
"ENSG00000160211",0.00365293847315552,1,4,0,-0.104312805259268,1,1
"ENSG00000176209",6.79689298829959e-11,1,7,0,-0.104157545669267,1,1
"ENSG00000159720",1.55903935827617e-10,1,3,0,-0.104070338681617,1,1
"ENSG00000075415",2.0984094890299e-70,1,3,0,0.103752033235907,1,1
"ENSG00000104231",3.67587377408664e-05,1,7,0,0.103737993269308,1,1
"ENSG00000196704",0.000332788764566626,1,6,0,-0.103660789603748,1,1
"ENSG00000119537",0.0313297777018286,1,3,0,0.10289601665267,1,1
"ENSG00000125746",1.118680677459e-06,1,5,0,0.102829161858107,1,1
"ENSG00000131446",0.0403516786838542,1,5,0,0.102050949143935,1,1
"ENSG00000153347",2.71714283161088e-11,1,3,0,0.101982789093737,1,1
"ENSG00000185043",5.79898215441917e-15,0,2,2,-0.101250642616733,1,1
