"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_UK_72hpi_child_Infected-Secretory_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000050820",0.000534210179025676,0.0404065175029358,4,1,-0.319174283769035,1,1
"ENSG00000149547",0.000105087026839455,0.236365072223274,7,0,-0.319010320025522,1,1
"ENSG00000166971",0.00750873675251074,0.66711632800764,4,0,-0.317921921843947,1,1
"ENSG00000133597",0.000101637185467285,1,4,0,0.316945242107656,1,1
"ENSG00000127452",0.0287232865715263,0.595466608895721,6,0,-0.316812385698437,1,0.833333333333333
"ENSG00000100320",0.019177305676612,1,5,0,0.316311361845107,1,0.833333333333333
"ENSG00000010244",3.89883187382904e-10,0.216480674710137,7,0,0.316254287507551,1,1
"ENSG00000008838",1.94326781585766e-07,1,8,0,0.315789478713914,1,0.833333333333333
"ENSG00000082701",1.12537121180883e-07,0.446775731470345,5,0,0.315653932749634,1,1
"ENSG00000171720",6.67287716123944e-07,1,5,0,-0.314814816263876,1,1
"ENSG00000070501",0.0355481549698355,0.187403678159011,3,0,-0.314768452516298,1,1
"ENSG00000100243",6.38718097670046e-06,0.1265542924282,3,0,-0.314483980487698,1,1
"ENSG00000100221",0.0229132998923516,0.0288788137331647,3,1,0.312943688511941,1,1
"ENSG00000165792",0.0207692430541522,1,7,0,-0.312499935750107,1,1
"ENSG00000141298",3.10795059764608e-07,0.0704534514374488,6,0,-0.31239658229537,1,1
"ENSG00000083896",0.000340739308521225,1,6,0,0.312157602219395,1,1
"ENSG00000062038",4.23648713203728e-09,1,5,0,0.311282206114699,1,1
"ENSG00000013275",3.5968697974315e-13,0,2,2,0.311108867967083,1,1
"ENSG00000196151",0.0426939959463411,1,5,0,-0.310961402329961,1,0.833333333333333
"ENSG00000168961",3.49156712005889e-09,0.0228794197189079,6,1,0.310904211994235,1,1
"ENSG00000177731",0.021762686601232,0.0323047614878445,5,1,-0.310549622563828,1,1
"ENSG00000075239",0.0118422971507915,0.00853809256067602,4,1,0.310495703795325,1,1
"ENSG00000013563",0.0193879678483562,1,3,0,-0.310056497508036,1,1
"ENSG00000117868",0.000101802423943353,0.0987352685482592,4,0,-0.309522550934954,1,1
"ENSG00000156515",5.25430873290371e-06,0.00813881620873533,3,1,0.308823216906171,1,1
"ENSG00000001631",0.00231169943007009,0.0237331393550919,12,1,0.308332974686282,1,1
"ENSG00000213563",3.85596725611556e-05,0.0106775255655356,3,1,0.307826150979299,1,1
"ENSG00000223482",3.20219529212587e-17,1,16,0,0.307692169967618,1,0.666666666666667
"ENSG00000107521",0.00280301753531891,0.0791091235301419,5,0,0.307436896613275,1,1
"ENSG00000141232",1.79016901445029e-10,0,2,2,0.306673260713358,1,1
"ENSG00000147526",0.00133445320959814,1,5,0,-0.306133608837876,1,1
"ENSG00000006118",2.06208132865022e-07,0.000166371170271793,3,1,-0.305882211516296,1,1
"ENSG00000197536",0.00247094867703321,1,3,0,0.30557894537197,1,1
"ENSG00000155324",2.56695636225783e-07,0.0728399304842738,8,0,0.305555541260556,1,1
"ENSG00000168036",1.21907115564308e-17,0.875925578863168,8,0,0.304677865059415,1,1
"ENSG00000186594",0.000131157713495374,0.135990033426103,9,0,0.304621598081945,1,0.833333333333333
"ENSG00000158435",0.00355841482066594,0.00310160347323119,3,1,0.304542770404964,1,1
"ENSG00000214413",2.56037068222932e-08,1,8,0,-0.30416010951423,1,1
