"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_UK_72hpi_child_Infected-Suprabasal_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000068305",0.00983063421418907,0.162763783320822,6,0,0.24290109030373,1,1
"ENSG00000176485",1.87542664772074e-05,0.0398561479025011,3,1,0.242836425361148,1,1
"ENSG00000127314",2.01152171064748e-22,1,6,0,0.242561746186048,1,1
"ENSG00000140943",1.7385113561421e-05,0.669955635124364,4,0,-0.242336885486855,1,1
"ENSG00000134326",0.0204161627186771,0.186206590937866,3,0,0.242308408834904,1,1
"ENSG00000204580",6.00461614961969e-17,1,8,0,-0.242234350349058,1,1
"ENSG00000176788",9.91994335961824e-21,1,3,0,-0.242064479871576,1,1
"ENSG00000205571",0.0428837278136231,0.784383364207947,6,0,0.242013437164661,1,1
"ENSG00000165949",4.88038651028842e-46,3.98539327395962e-44,3,2,-0.241609470246663,1,1
"ENSG00000010361",0.0110221444724307,1,4,0,-0.241538496498066,1,1
"ENSG00000134255",0.0127991491330089,1,5,0,-0.241137304521428,1,1
"ENSG00000114480",0.00331221865933098,1,4,0,-0.240130417269402,1,1
"ENSG00000175279",0.000498009467722635,0.29468448675621,8,0,-0.239906854719349,1,1
"ENSG00000176155",0.000963646631510983,0.106077431490596,5,0,0.239478869348646,1,1
"ENSG00000093144",7.35888250393224e-12,1,6,0,-0.23918078734474,1,1
"ENSG00000276170",5.52670489473196e-07,1,8,0,0.238495710574622,1,1
"ENSG00000265190",7.8395334043179e-19,1,9,0,0.238447290391844,1,1
"ENSG00000132341",5.34701300489825e-39,0,2,2,0.238172782230263,1,1
"ENSG00000177885",0.00085639887089787,0.714882478774497,3,0,-0.238132981381849,1,1
"ENSG00000029363",4.84513531718611e-11,1,11,0,-0.237842363826624,1,1
"ENSG00000077942",8.11294787712383e-07,0.00401561145556512,3,1,-0.237718156061813,1,1
"ENSG00000112679",0.00510363152871366,0.105932004117011,4,0,0.237599334377011,1,1
"ENSG00000182979",0.000627762436936009,1,6,0,0.237460190987783,1,1
"ENSG00000125743",0.0368917435585882,1,3,0,-0.237360216429904,1,1
"ENSG00000031823",0.00100990436016688,1,8,0,-0.236946549831246,1,1
"ENSG00000115641",4.35172412326739e-18,1,8,0,0.236603938491388,1,1
"ENSG00000168476",3.50142498709278e-05,1,3,0,-0.236400568342212,1,1
"ENSG00000146733",0.00982869676749043,1,5,0,-0.236217767682365,1,1
"ENSG00000175482",2.79994637924188e-05,1,7,0,0.234486142884808,1,1
"ENSG00000053770",0.00216606401425947,1,4,0,-0.234425419924665,1,1
"ENSG00000134058",0.0244253846779264,1,6,0,0.234357546923292,1,1
"ENSG00000196628",0.000836059049198879,1,11,0,-0.234131234237663,1,0.833333333333333
"ENSG00000126214",0.0066425274842444,1,8,0,-0.234042118744566,1,1
"ENSG00000230937",1.00529345065252e-49,3.31602524357832e-17,9,1,-0.233396565735686,1,1
"ENSG00000152669",0.000774429129524631,0.000469945851184195,3,1,0.23325976709055,1,1
"ENSG00000109861",1.91147037951181e-26,7.65262314338881e-13,3,1,0.232838124594284,1,1
"ENSG00000069764",0.0139065207219955,0.031748397923468,4,1,-0.232659450537558,1,1
"ENSG00000226328",0.00104639804920074,0.122890765741875,8,0,0.232580820425777,1,1
"ENSG00000173264",1.65797101428722e-05,1,13,0,-0.23230589022723,1,0.833333333333333
"ENSG00000119801",0.00102003174893852,0.0763398170601539,4,0,0.232042660549782,1,1
"ENSG00000198015",6.83558291949522e-05,0.00548436028076921,3,1,-0.231893245629456,1,1
"ENSG00000096746",1.07599472494754e-37,1,13,0,-0.231888561187211,1,1
"ENSG00000162777",0.0105851930432487,1,4,0,-0.230771900995369,1,1
"ENSG00000090989",0.00120472083404205,1,7,0,0.230769201330537,1,1
"ENSG00000114209",0.000446192449223504,0.0162797616066225,7,2,0.230194358863271,1,1
"ENSG00000070081",9.47853572054876e-10,1,9,0,-0.229935174575981,1,1
"ENSG00000066322",0.0231123456900613,0.0806449836855258,4,0,0.228674838334254,1,1
"ENSG00000113648",1.03983174671541e-20,6.24033396074017e-16,7,1,0.228458706235438,1,1
"ENSG00000165055",0.0104963508458631,1,5,0,0.22843343878995,1,1
"ENSG00000116731",0.0042996942815767,1,7,0,0.228269118716949,1,0.833333333333333
"ENSG00000104881",3.96283139106834e-06,0.00572412484255216,5,1,0.228116884606987,1,1
"ENSG00000167460",1.23098230287165e-06,0.00273290755400368,6,1,-0.227997026179241,1,1
"ENSG00000184584",6.50236374579221e-11,1,7,0,-0.227656729746818,1,1
"ENSG00000082701",0.000626798833094972,1,5,0,0.227450737334971,1,1
"ENSG00000141298",2.98083922596937e-06,1,6,0,0.227189820133193,1,1
"ENSG00000102317",1.5403207200549e-06,0.000459638288072724,4,1,0.227095955287641,1,1
"ENSG00000149257",0.0471111981491193,0.015094220205161,3,1,-0.226533742661826,1,1
"ENSG00000166920",3.1253132855273e-35,1,3,0,-0.226223832920957,1,1
"ENSG00000198563",3.22914146901813e-18,1,5,0,-0.226190492881829,1,1
"ENSG00000124370",0.00014828655610096,1,5,0,0.226129556081788,1,1
"ENSG00000053254",1.77315241253456e-05,0.00718029949961359,6,1,-0.225915173378861,0.833333333333333,0.833333333333333
"ENSG00000177106",4.09498665023499e-09,1,10,0,0.225551942993199,1,1
"ENSG00000083896",0.00738841595826265,0.18863619920927,6,0,0.224489795650782,1,1
"ENSG00000123159",1.03221177394325e-41,1,10,0,-0.2241999510179,1,1
"ENSG00000132676",0.00129703373909188,0.216577715809889,9,0,-0.223920497953936,1,1
"ENSG00000141741",2.02982397443635e-09,5.53938725012609e-10,3,2,0.223647682538039,1,1
"ENSG00000221914",3.47536635035605e-05,1,6,0,-0.22354111319387,1,1
"ENSG00000196507",0.000710168092519833,1,3,0,-0.222925355849612,1,1
"ENSG00000205937",8.51750906746881e-09,1,7,0,-0.222510347701731,1,1
"ENSG00000124596",2.0056124840631e-08,1,8,0,-0.222391101826188,1,1
"ENSG00000167965",5.42881338012965e-06,1,8,0,0.221852101603228,1,1
"ENSG00000167797",4.52655378311587e-06,0.209722106446788,5,0,0.221577407134072,1,1
"ENSG00000204385",0.00437830320945358,0.00200725714100946,4,1,-0.220696985356992,1,1
"ENSG00000160789",1.49359500299169e-16,1,4,0,0.220072495623104,1,1
"ENSG00000135506",3.70304951670483e-05,1,5,0,0.220000098707466,1,1
"ENSG00000155287",1.6388645434955e-08,0.0876285820005201,6,0,0.219280609600224,1,1
"ENSG00000164924",1.49976876720386e-14,1,9,0,-0.219175756253843,1,1
"ENSG00000130733",0.00510363152871366,1,8,0,-0.218588329737973,1,1
"ENSG00000089737",3.76663364999979e-05,1,5,0,-0.217391304347826,1,1
"ENSG00000111912",2.33698330493295e-10,0.0140872535624409,4,1,-0.216693102492542,1,1
"ENSG00000100926",7.67493377777158e-09,0.00348780434354957,8,1,0.21665763704755,1,1
"ENSG00000170632",0.000125945320723194,1,6,0,-0.216435838131053,1,1
"ENSG00000206573",1.03458202709627e-08,1,13,0,-0.21621621269225,1,0.833333333333333
"ENSG00000171314",5.39128646642122e-46,3.88294031047842e-08,4,1,-0.216087907521307,1,1
"ENSG00000165671",0.000981627379229996,1,6,0,-0.215994665035869,1,1
"ENSG00000100938",9.34469285473325e-17,1,8,0,-0.215665281478841,1,1
"ENSG00000285437",2.23297281540714e-05,0.0585899086597514,8,0,-0.215657495321125,1,1
