"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_child_Infected-Basal_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000159202",1.85446299689561e-15,1.97207750088715e-08,4,1,0.667906976043226,1,1
"ENSG00000041357",3.9629439883518e-21,3.48523329147543e-08,4,1,-0.667245989389026,1,1
"ENSG00000186474",0.0461042205794525,1,4,0,-0.66666666666668,0.833333333333333,0.666666666666667
"ENSG00000066697",0.0285507065173672,1,5,0,-0.666666666666673,1,0.5
"ENSG00000138303",3.71761277758316e-06,1,6,0,-0.666666663975851,1,0.833333333333333
"ENSG00000111834",2.18472887070511e-05,0.394534692722895,4,0,-0.66666605038032,1,0.833333333333333
"ENSG00000205643",0.00216644585837634,1,5,0,0.66666513895394,1,0.666666666666667
"ENSG00000224616",0.000387026736158869,0,2,2,-0.666553980880702,1,0.833333333333333
"ENSG00000084090",8.61686897512585e-15,1.28361238564291e-07,3,1,-0.666275827013201,1,1
"ENSG00000152556",9.626971210398e-11,1,5,0,-0.66614984250831,1,0.5
"ENSG00000177082",1.09845331123094e-13,0.0197151366189441,4,1,0.665977501918712,1,1
"ENSG00000160767",2.82904370747105e-08,4.21154683628444e-06,6,1,0.665780753689456,1,0.833333333333333
"ENSG00000001630",2.96970238776753e-10,2.97718629535727e-05,4,1,-0.665006494349818,1,0.833333333333333
"ENSG00000127580",0.00106090433027365,1,4,0,-0.662307361241613,1,1
"ENSG00000173818",2.4950812886874e-07,1,6,0,-0.661662464103412,1,0.833333333333333
"ENSG00000112651",2.5648271810672e-10,0.400710042074347,5,0,0.661217859673284,1,1
"ENSG00000108848",5.49952781752383e-24,3.75941329110477e-25,3,1,-0.660431139994075,1,1
"ENSG00000140350",1.71158571377728e-60,1,7,0,0.657534246575342,1,1
"ENSG00000101608",1.05656007437835e-109,2.50089001097888e-31,6,2,-0.656759970744705,1,1
"ENSG00000174021",3.10098956560201e-217,0,2,2,-0.654758743553338,1,1
"ENSG00000161996",0.00266688246193171,1,4,0,-0.654048685512515,1,0.5
"ENSG00000198483",0.000428230693975815,0,2,2,-0.653252540298019,1,1
"ENSG00000173598",1.80269453682327e-59,1,5,0,-0.651654282068233,1,1
"ENSG00000140945",0.00578584967441235,0.192320845682991,3,0,-0.651554629160987,1,0.833333333333333
"ENSG00000070476",7.23573458567161e-05,1.46645403820564e-05,3,2,0.650809253191914,1,1
"ENSG00000141013",2.16641025568974e-13,1,5,0,-0.650699839781861,1,1
"ENSG00000183734",1.01593971309672e-17,1,5,0,-0.649752978677833,1,0.833333333333333
"ENSG00000104133",3.13349793014157e-06,0.644863852448952,3,0,0.64930736482618,0.833333333333333,0.833333333333333
"ENSG00000168003",2.0160569651418e-80,4.06398155838924e-56,4,1,0.648866481693533,1,1
"ENSG00000146072",3.16818481565977e-17,2.98930091838372e-11,3,1,0.648610389325354,1,1
"ENSG00000204574",7.38618707637234e-08,0.0612470667822527,4,0,0.647434920586863,1,1
"ENSG00000155660",5.94208621104428e-09,0.00584826078416848,5,1,0.646876259697183,1,1
"ENSG00000126106",0.00100307481678319,1,5,0,0.64639571630423,1,0.5
"ENSG00000140905",3.44570981753159e-47,0.0275087737450859,4,1,0.646225232427346,1,1
"ENSG00000171552",0.00916776207411339,0.757997023229332,5,0,-0.644541870251669,1,1
"ENSG00000065457",6.04160194481622e-05,0.0953984859436433,4,0,0.642350069161063,1,1
"ENSG00000019582",1.89117072200382e-06,3.04416499034168e-06,4,1,0.642192185796246,1,1
"ENSG00000153786",4.09319903234986e-05,0.110154968052548,4,0,-0.641025431708344,1,1
