"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_child_Infected-Basal_UK_72hpi_adult_Infected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000173272"	"ENSG00000173272"	1.99507443989439e-39	1.07090647011673e-15	3	1	-0.31855367233956	1	1
"ENSG00000159377"	"ENSG00000159377"	1.38439261398257e-36	2.68645628458783e-15	3	1	0.488096192831126	1	1
"ENSG00000111639"	"ENSG00000111639"	3.54606197385337e-233	4.85428257457943e-15	4	1	0.885927162076417	1	1
"ENSG00000243955"	"ENSG00000243955"	1.6006578510066e-44	5.23507553245919e-14	3	1	-0.317703189713385	1	1
"ENSG00000168259"	"ENSG00000168259"	2.50830904396238e-12	7.9888077208873e-14	3	2	-0.552594516225259	1	1
"ENSG00000173848"	"ENSG00000173848"	1.04892733386008e-23	1.05961858033219e-13	3	1	0.668684118666001	1	1
"ENSG00000167136"	"ENSG00000167136"	3.73727145722394e-18	1.52264322449297e-13	3	1	0.432859990478895	1	1
"ENSG00000113648"	"ENSG00000113648"	1.16908255100793e-12	1.58183858928969e-13	6	1	0.192521061809207	1	1
"ENSG00000260916"	"ENSG00000260916"	4.3316039551138e-12	2.33122094117435e-13	3	2	0.579382171331298	1	1
"ENSG00000163634"	"ENSG00000163634"	2.45675044563368e-23	2.49626906709429e-13	4	1	-0.580310754443152	1	1
"ENSG00000138777"	"ENSG00000138777"	6.02583812584459e-18	3.7398173475359e-13	4	1	-0.638297415190322	1	1
"ENSG00000197446"	"ENSG00000197446"	4.02930924081554e-31	6.54748350213863e-13	12	1	-0.227183568741057	1	1
"ENSG00000258289"	"ENSG00000258289"	3.68255709252882e-11	1.35735457841517e-12	4	3	-0.572848982941543	1	1
"ENSG00000141741"	"ENSG00000141741"	4.08919334803193e-11	1.76207072749028e-11	3	2	-0.223811212119439	1	1
"ENSG00000169567"	"ENSG00000169567"	1.52964617533372e-37	2.65266248869229e-11	5	1	0.610256410285797	1	1
"ENSG00000146072"	"ENSG00000146072"	3.16818481565977e-17	2.98930091838372e-11	3	1	0.648610389325354	1	1
"ENSG00000136827"	"ENSG00000136827"	1.04505150436551e-10	3.18988700461592e-11	4	1	0.682077474933549	1	1
"ENSG00000050405"	"ENSG00000050405"	4.04625848990109e-21	3.32360937960492e-11	5	1	-0.509204982164705	1	1
"ENSG00000198736"	"ENSG00000198736"	2.19118000560691e-14	4.61222471561846e-11	3	1	-0.53429947961589	1	1
"ENSG00000177989"	"ENSG00000177989"	5.06056895850519e-15	6.41594489674291e-11	6	2	0.322615627587322	1	1
"ENSG00000134851"	"ENSG00000134851"	8.90509087145059e-10	6.48659813336322e-11	3	2	-0.268017647615995	1	1
"ENSG00000067082"	"ENSG00000067082"	3.45195273166019e-14	6.93732791019939e-11	4	2	-0.635552874202146	1	1
"ENSG00000173039"	"ENSG00000173039"	1.45200047914856e-12	9.72775166058035e-11	3	1	0.755797218883356	1	1
"ENSG00000135968"	"ENSG00000135968"	1.51733144187532e-19	1.00446792548904e-10	7	1	0.447692743893547	1	1
"ENSG00000120992"	"ENSG00000120992"	2.00877180615598e-43	1.12536531184634e-10	5	1	-0.43778423608302	1	1
"ENSG00000184983"	"ENSG00000184983"	6.04781563677539e-10	1.23026367021151e-10	3	2	-0.302475411280876	1	1
"ENSG00000171314"	"ENSG00000171314"	7.0740748130041e-55	2.12734856205063e-10	4	1	-0.207101741986697	1	1
"ENSG00000127022"	"ENSG00000127022"	1.24584153809803e-18	2.37602803124144e-10	5	1	-0.50783993005969	1	1
"ENSG00000042753"	"ENSG00000042753"	8.55135868782344e-10	2.62099140164726e-10	3	1	-0.208710549483495	1	1
"ENSG00000089693"	"ENSG00000089693"	5.97166300608625e-13	2.77965716262299e-10	3	1	-0.949990693160398	1	0.833333333333333
"ENSG00000172037"	"ENSG00000172037"	6.19814726357401e-26	4.78373421468677e-10	4	1	0.585987807501496	1	0.833333333333333
"ENSG00000135766"	"ENSG00000135766"	6.1092103842965e-11	4.92016681144276e-10	4	1	-0.830692151185303	1	0.666666666666667
"ENSG00000143633"	"ENSG00000143633"	5.58102702886178e-13	6.96002595401178e-10	4	1	-0.573875778835646	1	1
"ENSG00000104687"	"ENSG00000104687"	6.25245171945503e-11	9.74410275957033e-10	4	1	0.730266355075338	1	1
"ENSG00000198830"	"ENSG00000198830"	1.51772207827159e-57	1.08333398979706e-09	6	4	-0.806788130399692	1	1
"ENSG00000070010"	"ENSG00000070010"	2.05618026981066e-08	1.760397633261e-09	3	2	0.336233711465322	1	1
"ENSG00000186591"	"ENSG00000186591"	2.79404166609486e-11	2.5204649645921e-09	3	1	0.695836148434173	1	1
"ENSG00000167757"	"ENSG00000167757"	3.47536848268447e-15	2.65165715987416e-09	6	2	0.237317648367607	1	1
"ENSG00000137274"	"ENSG00000137274"	1.40848066186091e-12	3.03855894520962e-09	5	1	-0.737591801540829	1	0.833333333333333
"ENSG00000067064"	"ENSG00000067064"	2.30411843763558e-14	3.08352240139568e-09	4	1	-0.383234181516984	1	1
"ENSG00000068796"	"ENSG00000068796"	5.90984139394111e-13	3.11610245456484e-09	6	1	-0.71963256907051	1	0.833333333333333
"ENSG00000120438"	"ENSG00000120438"	1.36719327786398e-25	3.17199985480185e-09	4	1	0.447252010984028	1	1
"ENSG00000134825"	"ENSG00000134825"	1.53640273568841e-11	4.6124064056258e-09	4	1	-0.932281502313611	1	0.833333333333333
"ENSG00000101361"	"ENSG00000101361"	1.52080676228178e-07	7.18063441287524e-09	3	2	0.44303787679396	1	1
"ENSG00000115310"	"ENSG00000115310"	2.70683734442501e-37	1.40109248741717e-08	4	1	-0.265946969393423	1	1
"ENSG00000152642"	"ENSG00000152642"	1.83619751145105e-09	1.55639804020862e-08	3	1	0.800797398747604	1	1
"ENSG00000159202"	"ENSG00000159202"	1.85446299689561e-15	1.97207750088715e-08	4	1	0.667906976043226	1	1
"ENSG00000173171"	"ENSG00000173171"	2.63190271400633e-10	2.26515518802799e-08	4	2	0.506440472549574	1	1
"ENSG00000112110"	"ENSG00000112110"	8.18793442027505e-19	2.32775886980552e-08	3	1	0.291874252693528	1	1
"ENSG00000179262"	"ENSG00000179262"	3.98430302550417e-11	2.47672495971413e-08	3	1	0.185712904453332	1	1
"ENSG00000167165"	"ENSG00000167165"	4.98608802477243e-08	2.64465758594375e-08	3	1	-0.782875438915585	1	1
"ENSG00000155438"	"ENSG00000155438"	8.54146969982261e-14	2.86434211902533e-08	4	1	-0.48345103012246	1	1
"ENSG00000041357"	"ENSG00000041357"	3.9629439883518e-21	3.48523329147543e-08	4	1	-0.667245989389026	1	1
"ENSG00000115963"	"ENSG00000115963"	1.95509171153029e-06	3.6764952258253e-08	5	1	-0.248090058302481	1	1
"ENSG00000055044"	"ENSG00000055044"	3.00133955582386e-18	3.69901095880795e-08	4	1	0.460055445686115	1	1
"ENSG00000104660"	"ENSG00000104660"	6.29893519289531e-13	5.05993164508995e-08	3	1	0.935117033179411	1	0.833333333333333
"ENSG00000023572"	"ENSG00000023572"	5.18456454480211e-08	7.64137802370807e-08	3	1	0.427869059826606	1	1
"ENSG00000051620"	"ENSG00000051620"	7.56547016122346e-07	7.76135237543053e-08	3	1	-0.196459906311185	1	1
"ENSG00000146540"	"ENSG00000146540"	3.15917902754479e-17	7.9337215488052e-08	3	1	-0.371479270568886	1	1
"ENSG00000243989"	"ENSG00000243989"	4.63325368859495e-08	8.00887248131956e-08	3	1	-0.683952577538612	1	1
"ENSG00000084090"	"ENSG00000084090"	8.61686897512585e-15	1.28361238564291e-07	3	1	-0.666275827013201	1	1
"ENSG00000124570"	"ENSG00000124570"	5.06384958838777e-08	1.31950929496608e-07	7	1	0.2939724017319	1	1
"ENSG00000107372"	"ENSG00000107372"	5.14987323827541e-12	1.32472011171425e-07	4	1	-0.393142534941606	1	1
"ENSG00000129625"	"ENSG00000129625"	4.02173790506759e-29	1.57392623256234e-07	3	1	-0.286199540590295	1	1
"ENSG00000132424"	"ENSG00000132424"	9.63988923639271e-58	1.71798659155391e-07	10	1	0.635801243566066	1	1
"ENSG00000154080"	"ENSG00000154080"	5.87844720842214e-07	1.83021269233468e-07	3	2	-0.413699701624657	1	1
"ENSG00000127554"	"ENSG00000127554"	4.02932059257188e-07	2.67540651952169e-07	3	1	-0.759997439347152	1	1
"ENSG00000105281"	"ENSG00000105281"	2.53688767928588e-10	2.7315376934068e-07	5	1	-0.390850215110117	1	1
"ENSG00000109180"	"ENSG00000109180"	2.77459700589437e-07	2.89413844027613e-07	3	1	-0.195687936597222	1	1
"ENSG00000146731"	"ENSG00000146731"	2.44407042582156e-19	2.94197741637562e-07	3	1	-0.392069622053966	1	1
"ENSG00000087077"	"ENSG00000087077"	3.20160147019086e-16	3.2127993499979e-07	5	1	0.201450890948341	1	1
"ENSG00000135387"	"ENSG00000135387"	2.7658673069472e-06	3.93701081658074e-07	3	2	-0.402668302560952	1	1
"ENSG00000182220"	"ENSG00000182220"	2.9793399163679e-06	5.04931212089193e-07	6	1	-0.238922052268501	1	1
"ENSG00000132507"	"ENSG00000132507"	1.94430229005572e-19	5.4132658627015e-07	3	1	-0.236696895058936	1	1
"ENSG00000131238"	"ENSG00000131238"	1.41673772819857e-08	5.44455730724609e-07	5	1	0.730156882370803	1	0.666666666666667
"ENSG00000136770"	"ENSG00000136770"	1.24079900432887e-13	6.19450487423378e-07	4	1	0.521751750971733	1	1
"ENSG00000167920"	"ENSG00000167920"	5.89267831180666e-12	1.04344106944933e-06	4	3	0.51845909371815	1	1
"ENSG00000124795"	"ENSG00000124795"	6.94375577549179e-10	1.0564356704836e-06	5	1	-0.535858167590436	1	1
"ENSG00000146457"	"ENSG00000146457"	5.5196713523639e-07	1.17997483038664e-06	6	1	-0.304072830353789	1	1
"ENSG00000136436"	"ENSG00000136436"	2.33895781875796e-07	1.21476102263535e-06	5	1	-0.404555683852269	1	1
"ENSG00000172831"	"ENSG00000172831"	2.28200552407888e-13	1.51884105221332e-06	4	1	-0.603710250526643	1	1
"ENSG00000169228"	"ENSG00000169228"	1.77091928688948e-16	1.57926221559452e-06	5	1	-0.48534474009771	1	1
"ENSG00000067836"	"ENSG00000067836"	4.99291599943113e-18	1.61753856202039e-06	5	1	0.492403788158578	1	1
"ENSG00000175354"	"ENSG00000175354"	9.01574019268092e-17	1.92843422152949e-06	7	1	0.418278847873132	1	1
"ENSG00000128923"	"ENSG00000128923"	1.04446442533424e-08	2.02577852306461e-06	3	1	-0.62499999507153	1	1
"ENSG00000112096"	"ENSG00000112096"	1.09745626039028e-22	2.04701031105847e-06	5	1	0.396899664469177	1	1
