"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_adult_Infected-Ciliated_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000197885",0.00802835285983642,0.264590433388513,3,0,0.455066136281949,1,1
"ENSG00000171867",2.73525277660808e-25,3.14649812650593e-08,3,1,0.454955785243429,1,1
"ENSG00000184012",2.8214935165765e-06,0.405750183182467,6,0,0.454563311151439,1,1
"ENSG00000135451",0.0358964817023658,0.241930029549322,3,0,-0.453594070838964,1,1
"ENSG00000196872",2.08959895953321e-15,5.80803756905135e-06,7,1,-0.452867553049387,1,1
"ENSG00000090612",0.0443256895032049,0.0622801073444185,3,0,-0.452296403327887,1,0.833333333333333
"ENSG00000115368",0.000200159389983474,1,4,0,0.452130682185109,1,1
"ENSG00000053770",1.20169435995803e-15,0.996548118661182,5,0,-0.451957032951149,1,1
"ENSG00000108669",2.7227706282047e-05,0.00107587652538437,6,1,0.451791609346126,1,1
"ENSG00000127452",3.83541472646762e-06,1,7,0,0.45161247904462,1,1
"ENSG00000150756",0.00589879687768035,0.00594679921241311,3,1,-0.451524963882365,1,1
"ENSG00000198431",5.53678122937184e-09,0.0769094049130342,7,0,0.451433063261485,1,1
"ENSG00000196235",0.000589880394556885,1,4,0,0.449785248580469,1,0.833333333333333
"ENSG00000186468",1.39450093062721e-11,5.9898308355609e-13,5,2,0.449265991015743,1,1
"ENSG00000225138",0.00483593233484761,0.0014656130878288,3,2,0.448624603215978,1,1
"ENSG00000135363",7.47593716100808e-41,0.00246770938582359,5,1,-0.448276350067326,1,1
"ENSG00000125743",0.000304007017748224,0.00326494620273861,3,1,-0.448165080074998,1,1
"ENSG00000166012",1.26635326786299e-18,0.000768207927237017,5,1,0.447368418307139,1,1
"ENSG00000146731",2.68003816629351e-32,9.0169128373489e-09,3,2,0.446434942865113,1,1
"ENSG00000166529",0.00869355316964499,0.0122968697596819,3,1,0.446405012611518,1,1
"ENSG00000130702",6.93522552355984e-27,0.0820423110251855,9,0,0.446077979184485,1,1
"ENSG00000111642",4.15880593747617e-33,1,10,0,0.445950318068946,1,1
"ENSG00000153187",6.72443031089775e-13,5.75899251146974e-06,4,2,0.445946561041255,1,1
"ENSG00000137171",0.00162383983457122,1,6,0,0.445914853538652,1,0.833333333333333
"ENSG00000132561",0.0217502153303421,0.089962627413012,5,0,0.445741390146328,1,0.833333333333333
"ENSG00000153250",9.02425909215043e-13,0.523512265698177,7,0,0.445692410766655,1,1
"ENSG00000188603",8.71298026645749e-50,1,6,0,-0.445295696157231,1,1
"ENSG00000175279",1.07622416473702e-16,0.786640648248753,7,0,0.445058561731824,1,1
"ENSG00000115170",0.0046686037938602,0.024007165819936,4,1,-0.444338013799306,1,1
"ENSG00000116133",2.75065549944925e-05,0.00862099437374247,5,1,0.444214131826437,1,1
"ENSG00000056972",4.53904148758513e-05,0.000186185421534981,4,1,-0.444056174621601,1,1
"ENSG00000164828",2.60259557074599e-07,0.00706716567203166,6,1,0.443943013027594,1,0.666666666666667
"ENSG00000130299",3.61519243488312e-08,0.000662641641231507,5,1,-0.443911679595249,1,1
"ENSG00000115464",5.35413504061261e-07,0.000231017966896807,5,1,-0.443895570823795,1,0.833333333333333
"ENSG00000143198",1.28201735869018e-159,1.03945091892286e-89,3,1,0.443612820706075,1,1
"ENSG00000011009",8.93140706947658e-23,3.56363611887597e-17,5,1,0.44263512695971,1,1
"ENSG00000151726",2.55050319317554e-08,1,6,0,0.442402064162086,1,1
"ENSG00000167996",2.03764862350884e-310,2.29908482686439e-266,4,1,-0.44178413623925,1,1
"ENSG00000116661",3.12072383573961e-24,1,3,0,-0.440674115133151,1,1
"ENSG00000158234",7.14177675980743e-66,1,7,0,-0.440606391120763,1,1
"ENSG00000166710",4.80680627710396e-160,1,6,0,-0.440343432232596,1,1
"ENSG00000134108",0.000244477092837617,9.73090304914014e-05,4,2,-0.439570520384607,1,1
"ENSG00000196576",3.10931555116708e-12,0.519424431728048,6,0,0.439231180934272,1,1
"ENSG00000213096",1.88360532130813e-15,0.389608634318152,8,0,-0.438288068282035,1,1
"ENSG00000112972",0.00146353078043231,0.000431618524115237,5,1,0.437166966849743,1,1
"ENSG00000108946",6.06392026738401e-26,0.0018205847021744,7,1,0.436911885616067,1,1
"ENSG00000100842",0.000281009810330214,1,5,0,-0.436804416305876,1,1
"ENSG00000119725",6.5959351121411e-06,0.844000219776199,6,0,0.434998985477937,1,0.833333333333333
"ENSG00000205643",0.000515264931259844,1,6,0,-0.434782108491701,1,1
"ENSG00000154380",2.45891951138258e-14,1.6915204210077e-07,6,2,-0.433976349229238,1,1
"ENSG00000105397",1.93888057084002e-08,0.729768801100102,5,0,-0.433728603564212,1,1
"ENSG00000087206",0.000590556248608884,0.0103006007371572,3,1,0.43310370834765,1,0.833333333333333
"ENSG00000133226",3.68710227780831e-59,0.0030247481284467,6,1,-0.43282096151614,1,1
"ENSG00000198901",1.05747402283387e-09,1,7,0,0.432432146977974,1,0.833333333333333
"ENSG00000158863",0.000590556248608884,0.151562336702972,4,0,-0.431985724534374,1,1
"ENSG00000136717",0.00205386995292104,1,5,0,-0.430837218677745,1,0.666666666666667
"ENSG00000105519",4.74397256189431e-84,5.94134327441789e-44,7,1,-0.430346478439407,1,1
"ENSG00000186480",1.12803724367421e-07,1.87498227081566e-07,5,2,0.430154758195782,1,1
"ENSG00000137824",8.60410687845698e-27,0.0159691005504099,4,1,0.430028686777111,1,1
"ENSG00000188313",1.94460974305889e-34,0.0171122397026274,6,1,-0.429459386666824,1,1
"ENSG00000161996",6.81843519919988e-10,1,6,0,0.429401656247682,1,0.833333333333333
"ENSG00000110880",0.00369534624937967,1,6,0,0.428925969143268,1,0.666666666666667
"ENSG00000198408",7.59755666576665e-10,0.0650178593641781,5,0,-0.428508871141886,1,1
"ENSG00000156381",0.0020757394608773,0.00785428146999797,4,2,-0.428411012654583,1,1
"ENSG00000132128",3.79913219830451e-05,0.00340890279216853,3,1,-0.427821359023808,1,1
"ENSG00000172613",0.00700956688996762,0.0276748374832371,4,1,0.42766500762919,1,0.833333333333333
"ENSG00000102786",0.0018358383471748,0.578649177265846,7,0,-0.427560685755835,1,1
"ENSG00000168273",0.0130553862643088,0.305717516341493,3,0,0.427512871986556,1,1
"ENSG00000163138",0.000244477092837617,0.083622134367307,6,0,-0.426802352050857,1,0.833333333333333
"ENSG00000203875",9.13147269067293e-45,5.06393409341271e-47,5,2,0.426572939572915,1,1
"ENSG00000155621",2.0475347013615e-09,0.00295185531419344,5,1,0.426486449911227,1,1
"ENSG00000137497",3.21773385911045e-09,0.11608053722458,7,0,0.42634658278027,1,0.666666666666667
"ENSG00000155438",3.32918769797055e-08,3.20877359383773e-08,3,2,0.426023760922869,1,1
"ENSG00000150773",5.54393769414179e-16,0.00809027293583525,5,1,-0.425837530030046,1,1
"ENSG00000182093",7.36255672301969e-30,4.2152010457465e-07,7,1,-0.425799904277297,1,1
"ENSG00000183077",0.00648941514965013,0.248452378761228,5,0,0.425231671137206,1,1
"ENSG00000177479",4.95258353236892e-10,1,8,0,-0.42471712609658,1,1
"ENSG00000100796",4.59257258355668e-30,1,10,0,-0.424657313883373,1,1
"ENSG00000104529",1.34765827220239e-82,2.01722689996136e-69,3,2,-0.42384618431579,1,1
"ENSG00000261971",0.00584733683514094,0.110164253515289,3,0,0.423469741219206,1,1
"ENSG00000159884",4.81359111616861e-07,0.0783778154054004,4,0,0.423076923076923,1,1
"ENSG00000143398",3.01121200527885e-07,0.137969028078221,3,0,0.423032621457053,1,1
"ENSG00000106617",3.52583036681212e-14,0.000642872370755682,6,1,-0.423030653639922,1,1
"ENSG00000116990",0.000401365165296144,0.0675727851093732,3,0,0.422468797660277,1,1
"ENSG00000157538",6.6718827908864e-05,0.0418677952845127,4,1,-0.422042525516801,1,1
"ENSG00000154099",0.000205390435407126,3.73920486877429e-05,6,1,-0.421993291718361,1,1
"ENSG00000212694",0.0222397687891701,1,5,0,0.42171485032076,1,1
"ENSG00000158805",0.013997245270272,1,5,0,-0.420734218934862,0.833333333333333,0.666666666666667
"ENSG00000174996",0.042410538654753,0.0281697599154264,3,1,0.420327354857562,1,1
"ENSG00000197746",1.05044415682559e-08,2.35912328047667e-07,3,1,0.41957273621834,1,1
"ENSG00000077312",5.74942629633659e-24,0.212630057761371,4,0,0.419408861928274,1,1
"ENSG00000232079",1.51117516153988e-06,0.570616732947027,4,0,-0.419354631936206,1,1
"ENSG00000112511",0.00483833977162264,0.0187607347008194,5,1,0.418301318805579,1,1
"ENSG00000059691",0.00512472416739172,0.0386847205351956,4,1,0.418187181965852,1,1
"ENSG00000100083",2.34186882329939e-13,0.00491686609594873,4,1,-0.417589141268363,1,1
"ENSG00000034677",2.0433841288903e-05,0.649675998260924,4,0,0.416666476621966,1,1
"ENSG00000117682",8.85111041882706e-11,0.740977709990451,9,0,-0.416573584727805,1,0.5
"ENSG00000160753",1.3282908358086e-26,1,9,0,-0.414639256285074,1,1
"ENSG00000182196",2.42072897950131e-86,1.15239258079536e-22,5,2,0.414346907446992,1,1
"ENSG00000133265",4.73391904035292e-15,2.36560446895344e-05,5,1,-0.41394179551972,1,1
"ENSG00000165006",0.0128425599866528,0.134158733563059,4,0,-0.413640794435858,1,1
"ENSG00000135775",9.65344838205194e-05,0.759779180308122,3,0,0.413384917311696,1,1
"ENSG00000076242",2.35258477524774e-07,0.903929078497956,6,0,-0.412979407012376,1,1
"ENSG00000105865",0.026049000673102,0.292366430391393,3,0,-0.412889470462877,1,1
"ENSG00000112695",0.00313049544334097,1,6,0,-0.412833073394307,1,0.833333333333333
"ENSG00000270765",3.73462037359956e-05,1,3,0,0.412572872685166,1,1
"ENSG00000104765",5.07852930212608e-20,1,4,0,0.411828981844022,1,1
"ENSG00000197586",8.07257639275801e-05,0.00509167393850893,6,1,-0.411300213232256,1,1
"ENSG00000150753",4.91882819662436e-50,9.10322326804093e-22,3,1,-0.411194611125876,1,1
"ENSG00000166484",0.0366934882003761,1,5,0,0.411155970503677,1,0.666666666666667
"ENSG00000258752",2.0421005123773e-15,1.28871685690516e-08,3,1,0.410017099527227,1,1
"ENSG00000083544",0.000745777600250539,0.474070703278627,5,0,-0.409815702224079,1,0.833333333333333
"ENSG00000149201",3.87801622695297e-05,1,4,0,-0.409699838001335,1,1
"ENSG00000122417",3.56060057437364e-33,1.59864465615073e-07,8,1,-0.409691415698808,1,1
"ENSG00000213347",0.000575755450616144,1,4,0,0.407715129812419,1,0.833333333333333
"ENSG00000025708",2.40811413811884e-62,6.44958908351766e-06,6,1,0.407671441939569,1,1
"ENSG00000141510",0.0119700740606882,0.0270708253359505,4,1,0.407315199600282,1,1
"ENSG00000132773",0.0106752126804413,0.511507998240756,3,0,-0.407050245609548,1,1
"ENSG00000102144",3.56682018511891e-24,1.30282251803577e-24,3,2,-0.406977167121962,1,1
"ENSG00000160838",1.16155155118183e-05,3.11562335407268e-05,4,2,0.406448865804703,1,1
"ENSG00000167635",0.00924968120950776,0.0166171267439963,3,1,0.406256775188021,1,1
"ENSG00000184110",7.69428505866861e-48,1.08602041773515e-17,5,1,0.406103815147691,1,1
"ENSG00000151092",1.15263077935852e-12,0.168962150627985,9,0,0.405947086115385,1,1
"ENSG00000138119",2.08374642147e-42,1,6,0,0.405507939684782,1,1
"ENSG00000166821",0.000107752944923078,0.0903077455293299,3,0,-0.404727658216335,1,1
"ENSG00000158373",6.85797403690472e-11,1.15485537310451e-10,3,1,-0.404344531629463,1,1
"ENSG00000054148",0.00105515828600705,0.0450044288877368,4,1,-0.403810619215527,1,1
"ENSG00000149115",9.08231406193147e-36,1,12,0,0.403470773217079,1,1
"ENSG00000117262",6.21738956716407e-05,1,3,0,0.403290621743311,1,1
"ENSG00000120910",0.0001441739716234,0.0028698636810473,3,1,0.403138730906547,1,1
"ENSG00000156110",2.62371416921148e-16,1,7,0,-0.402970738631037,1,1
"ENSG00000135549",0.0162970425902724,0.391073692086327,4,0,-0.40283018674237,1,0.833333333333333
"ENSG00000110958",9.52791356303352e-60,1.1330719486904e-39,3,1,0.402800418763917,1,1
