"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_UK_72hpi_adult_Infected-Goblet_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000143198",3.99729369687755e-28,1.94945845817426e-12,5,1,0.468760725670093,1,1
"ENSG00000160180",4.246223828943e-11,6.45057119680740e-11,3,1,0.46785134521439,1,1
"ENSG00000147813",0.00012616391108872,1,12,0,0.467659714236037,1,1
"ENSG00000023572",0.0059054542483309,1,4,0,-0.464297438683076,1,1
"ENSG00000214046",7.28839670548927e-05,1,11,0,0.456943893619884,1,0.6
"ENSG00000148908",0.0088231116196812,0.310527618770464,4,0,0.456057519682517,1,1
"ENSG00000125944",1.0777834332933e-11,1,11,0,0.454867753702708,1,0.8
"ENSG00000157778",1.06409090673484e-06,1,6,0,0.45454526302884,1,1
"ENSG00000165506",0.00869198782824853,1,6,0,-0.453775842751655,1,0.8
"ENSG00000168310",0.0401607996146975,1,3,0,0.451979864871354,1,1
"ENSG00000167136",0.00143863244128966,0.0472020964895832,3,1,-0.451134268577535,1,1
"ENSG00000197461",0.047110220318233,1,5,0,-0.450952517163864,0.8,0.6
"ENSG00000077312",0.00771525410611678,1,4,0,-0.447547136256012,1,1
"ENSG00000187109",0.0043196208000352,1,8,0,0.445910842441285,1,1
"ENSG00000182979",0.0416539620261772,1,8,0,0.445087971353864,1,0.6
"ENSG00000123240",4.35650396102688e-19,1,16,0,-0.437984925179952,1,0.6
"ENSG00000172590",0.032349470400594,1,10,0,-0.437499885913309,0.8,0.8
"ENSG00000172785",0.0199343689243817,1,13,0,-0.436363584604831,1,1
"ENSG00000213145",3.18075918084602e-27,1,10,0,-0.435582823274084,1,1
"ENSG00000203875",2.97839531685838e-05,1.67415182007868e-07,8,1,0.432296662185494,1,1
"ENSG00000204498",0.0369206181695893,1,5,0,0.428560772301835,1,1
"ENSG00000182093",0.0245827285423333,1,6,0,0.428285564362066,1,1
"ENSG00000089356",1.64009010993923e-30,1.47910108199267e-32,5,2,-0.427202072724375,1,1
"ENSG00000117395",4.2784718222453e-08,1,5,0,0.426751309415208,1,1
"ENSG00000152558",0.0059054542483309,1,3,0,0.42502977941348,1,1
"ENSG00000155287",0.013670336276863,1,6,0,0.424967826404002,1,1
"ENSG00000135363",0.000507015566639637,0.129212958690445,6,0,-0.423636115543153,1,1
"ENSG00000132424",0.000179829814730686,1,11,0,-0.422613652434716,1,0.6
"ENSG00000114209",0.0122059253013729,0.131669770706778,8,0,-0.420614469988185,1,1
"ENSG00000068120",0.00744594992325968,1,5,0,0.416078199217779,1,1
"ENSG00000166710",1.18436958130582e-24,1,9,0,-0.415662746821826,1,1
"ENSG00000150753",6.32271217174477e-09,0.000584101472581969,3,1,-0.412301914441364,1,1
"ENSG00000133665",0.00069548072830338,0.57364681550512,5,0,0.410204700689568,1,1
"ENSG00000152763",0.0419433664319096,1,5,0,-0.409979315877273,1,0.8
"ENSG00000072110",2.25399225909817e-05,1,7,0,-0.409352153235358,1,0.8
"ENSG00000170477",6.85359708900619e-26,1.66246643995275e-11,5,1,-0.407680638347775,1,1
"ENSG00000106733",0.00472646967844861,1,10,0,0.407331733456955,1,1
"ENSG00000141424",0.0111131366715546,1,6,0,-0.405988247797071,1,1
"ENSG00000119333",1.29315184374947e-05,0.0155005382992876,7,1,-0.405141428202635,1,1
"ENSG00000115457",0.00609209706881711,0.074635609215256,6,0,-0.404764551610135,1,1
"ENSG00000068079",0.00850539407400231,0.179466096817081,3,0,0.395535218663993,1,1
"ENSG00000170035",0.0478096578598672,0.0702734213053664,8,0,0.394588483906733,1,1
"ENSG00000025708",1.2752879176323e-07,0.579526012483516,10,0,0.392484536302769,1,1
"ENSG00000122026",6.1877437307932e-49,1.10878152852412e-28,3,1,-0.39099512936708,1,1
"ENSG00000176623",0.000432197637274327,1,10,0,0.383920433484011,1,1
"ENSG00000100796",0.0231273113941253,1,10,0,-0.379310019346095,1,0.8
"ENSG00000110958",1.15447499708467e-14,3.48080504675504e-06,5,1,0.377049175452983,1,1
"ENSG00000235098",0.0088231116196812,1,12,0,0.37663927042839,1,0.8
"ENSG00000188603",0.000177813450050335,1,7,0,0.375,1,0.8
"ENSG00000067225",7.56269689312584e-37,1,6,0,-0.374728602236525,1,1
"ENSG00000184281",0.00384074845501422,0.0370457457954036,5,1,-0.374368158819707,1,1
"ENSG00000125868",3.44248591310354e-08,3.32255666488529e-07,3,1,0.373922594671533,1,1
"ENSG00000178741",4.00833728643777e-08,0,2,2,-0.370566729599199,1,1
"ENSG00000167996",1.60817420641451e-51,2.82059364510789e-39,4,1,-0.365689960420331,1,1
"ENSG00000157601",1.2752879176323e-07,1,8,0,-0.36349320077722,1,1
"ENSG00000110492",2.73460266923099e-14,1.06036847266394e-06,6,1,-0.362713898711891,1,1
"ENSG00000204580",0.000497980835713393,1,11,0,0.362469029785343,1,1
"ENSG00000176945",0.0136394248874738,1,11,0,-0.359428983509134,1,0.8
"ENSG00000104611",0.00119775973305416,1,8,0,0.358622869595818,1,0.8
"ENSG00000127314",1.08418086832207e-08,0.091371945186745,7,0,-0.355299858830996,1,1
"ENSG00000160752",3.82717577604958e-09,0.296241947434125,11,0,0.353971815087919,1,1
"ENSG00000128581",5.69143712757901e-05,1,6,0,0.343749693442079,1,1
"ENSG00000122545",1.35088328166888e-07,1,5,0,-0.336179621472322,1,1
"ENSG00000029363",0.000151779785530692,1,8,0,0.333555401130487,1,0.8
"ENSG00000182196",1.68408184694202e-07,1,6,0,0.333333129641621,1,1
