"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_UK_72hpi_child_Infected-Goblet_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000168003",6.57181985022042e-08,1.5666088195165e-05,7,1,0.567376028916881,1,1
"ENSG00000070831",0.000195715058308627,0.000639988212291671,3,1,0.544183022508719,1,1
"ENSG00000111328",0.0346313914061991,1,6,0,-0.543946236529247,1,1
"ENSG00000128739",0.000575952353299937,1,11,0,0.543641986297125,1,1
"ENSG00000169062",0.0416642877379309,1,6,0,-0.538847183049599,1,0.75
"ENSG00000142627",0.00231723884124314,1,6,0,-0.538126975508638,1,0.75
"ENSG00000167136",0.0269071597836399,0.0477306021983464,3,1,0.538028413971442,1,1
"ENSG00000138668",0.0136632192802333,1,7,0,-0.499991277667923,1,1
"ENSG00000120533",6.25048463017907e-06,1,8,0,-0.496773895988125,1,1
"ENSG00000143198",2.79628951241334e-07,0.0262932250666502,5,1,-0.469864983938419,1,1
"ENSG00000119335",0.0214945515790863,1,5,0,0.466135944824527,1,1
"ENSG00000123240",1.11292548441794e-06,1,14,0,0.465956412691321,1,0.75
"ENSG00000189403",3.39071877957627e-15,0.233954050656148,8,0,0.464845816573885,1,1
"ENSG00000130429",6.37519131285815e-12,2.62585213596155e-09,5,1,0.454286443916104,1,1
"ENSG00000184110",5.89303913222997e-05,1,8,0,0.449999428699981,1,1
"ENSG00000185825",0.000295997458750781,0.0538640364544522,7,0,0.44661049201299,1,1
"ENSG00000146540",0.0454157699104293,1,4,0,-0.444086670280048,1,1
"ENSG00000178741",9.63059202318104e-06,0,2,2,0.430149112422545,1,1
"ENSG00000243955",0.00892792681133088,1,3,0,-0.415354679749531,1,1
"ENSG00000142192",0.00610531650451625,0.0315608253944597,9,1,-0.413838774652611,1,1
"ENSG00000117395",0.0100217304434635,1,6,0,-0.407145531817948,1,1
"ENSG00000089356",4.77290704133961e-14,2.56816155695314e-15,5,2,0.406667459499918,1,1
"ENSG00000135363",0.0338692658237355,1,6,0,-0.406000362252977,1,1
"ENSG00000110958",0.000903531058246808,0.0253801941600825,6,1,-0.377048957992733,1,1
"ENSG00000104695",0.00097356993288386,1,4,0,-0.370264373667167,1,1
"ENSG00000160752",1.80234416661602e-07,0.766843092150741,11,0,0.368415924230862,1,1
"ENSG00000166145",0.00780404718839038,1,10,0,-0.364816439685635,1,0.5
"ENSG00000122026",1.62080889209306e-37,5.75985255009257e-20,3,1,0.362199699476609,1,1
"ENSG00000163584",3.81381435551527e-07,1,5,0,0.358207848378954,1,1
"ENSG00000114956",0.0044170726729198,1,9,0,0.35714250361161,1,1
"ENSG00000156508",2.78954547819274e-94,0,2,2,-0.346339685058551,1,1
"ENSG00000127314",0.00603264751337475,1,9,0,-0.33945084167855,1,1
"ENSG00000063854",0.0113742944878209,1,6,0,-0.335798473676794,1,1
"ENSG00000170477",2.85455392053046e-05,1,6,0,-0.329035557768903,1,1
"ENSG00000166710",0.0256459231692983,1,8,0,-0.321046982754061,1,1
"ENSG00000167996",1.73029619023076e-10,1.33207614329234e-12,4,2,0.307608884990151,1,1
"ENSG00000129625",0.0138118863485728,1,5,0,-0.306664927612799,1,1
"ENSG00000163931",0.000836730417321541,0.00193325016475648,3,1,-0.2934235754425,1,1
"ENSG00000165949",8.4273215691639e-14,3.44910170796318e-14,3,2,-0.26559004489378,1,1
"ENSG00000122545",0.00489482558314357,1,7,0,0.263157461318453,1,1
"ENSG00000109861",0.0182858990378989,0.126075204802205,6,0,0.261284847798479,1,1
"ENSG00000230937",8.70076383854076e-07,1,11,0,0.257733838148361,1,1
"ENSG00000173812",5.57439843252916e-07,3.96858747443012e-06,4,2,-0.256567255143901,1,1
"ENSG00000197956",4.53910608135183e-65,1,3,0,0.239261910853662,1,1
"ENSG00000115875",0.000241469735680815,1,6,0,-0.231802729241652,1,1
"ENSG00000132341",0.000443968392023236,0,2,2,0.2190588167234,1,1
"ENSG00000096746",0.00645813520363243,1,15,0,-0.214285653023425,1,1
"ENSG00000161203",5.55316551893953e-05,1,4,0,0.212172340401404,1,1
"ENSG00000173272",0.00776121523147298,1,4,0,-0.196547464390914,1,1
"ENSG00000100804",0.000903531058246808,1,5,0,-0.191540799430544,1,1
"ENSG00000198242",0.036768099132043,0.0463723352416367,3,1,0.187306664027,1,1
"ENSG00000171604",0.000466387277224552,1,11,0,0.18310638463166,1,1
"ENSG00000171314",0.00207007420783501,1,4,0,0.182467539554455,1,1
"ENSG00000136810",3.27166388079901e-49,1,4,0,0.179195153501989,1,1
"ENSG00000234745",0.00706729193449659,1,3,0,0.178629569677786,1,1
"ENSG00000109332",0.0346313914061991,1,12,0,-0.178571422129394,1,1
"ENSG00000114942",1.67136983143878e-11,1,3,0,0.171343240668037,1,1
"ENSG00000196344",0.000721419571862093,1,9,0,-0.171225918503457,1,1
"ENSG00000107223",0.012824715041941,0.0271567884420835,3,1,0.168836214615385,1,1
"ENSG00000130066",0.00133326252539677,1,6,0,0.15848376460797,1,1
"ENSG00000060138",0.0274017722251283,1,9,0,-0.158420338398395,1,1
"ENSG00000148180",0.00216995937414554,0.64004712347097,9,0,-0.15793621845905,1,1
"ENSG00000117525",6.68122218857109e-06,1,6,0,-0.151186194210825,1,1
"ENSG00000108654",0.00838425617725084,1,8,0,-0.136124271720431,1,1
"ENSG00000213719",1.02766596968182e-07,1,6,0,0.13524601068914,1,1
"ENSG00000132475",0.0282214423809345,1,3,0,-0.133904420014939,1,1
"ENSG00000075415",0.000469938666844382,1,3,0,0.0923693810629648,1,1
"ENSG00000144713",0.000770829623113757,0,2,2,0.087013546384699,1,1
"ENSG00000187514",9.18664677341464e-09,1,3,0,0.0788269619899744,1,1
"ENSG00000118680",0.0187227208541264,1,3,0,-0.0532564338669045,1,1
"ENSG00000106211",1.28938105527582e-09,1,4,0,-0.0504805938650629,1,1
