"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_VIC01_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000198830",6.95790140453588e-68,7.35552235647562e-27,4,1,-0.988212598127736,1,0.833333333333333
"ENSG00000106609",5.50438416700595e-23,1,3,0,0.967040327392048,1,0.5
"ENSG00000154001",6.13981223049412e-16,1,4,0,0.965793745100965,1,0.5
"ENSG00000144028",6.53271557386183e-33,1,3,0,-0.953591105966385,1,0.833333333333333
"ENSG00000064995",4.21599787882439e-18,1,3,0,-0.945560588711467,1,0.5
"ENSG00000245910",2.42045799560365e-27,1.82023351359023e-20,4,1,-0.944272878737037,1,0.666666666666667
"ENSG00000157150",1.28542966385941e-08,0.973915707304428,3,0,0.939303177387961,1,0.5
"ENSG00000171490",4.753090856689e-16,0.45864857284866,3,0,-0.93367079589262,1,0.666666666666667
"ENSG00000064199",5.94327565152091e-12,0.0170690716838421,3,1,0.932754985915879,1,0.833333333333333
"ENSG00000101882",1.55959836317559e-12,0.0135080374469149,3,1,-0.932255072449165,1,0.666666666666667
"ENSG00000113407",1.30443207328484e-06,1,3,0,-0.931849481016627,0.833333333333333,0.5
"ENSG00000136450",4.98720417981186e-18,1,4,0,0.923213018482441,1,0.833333333333333
"ENSG00000171757",4.95451120637132e-10,1,4,0,-0.919941146693585,0.833333333333333,0.5
"ENSG00000166347",2.29806729474915e-05,0.0355457736529564,3,1,-0.916566226458693,1,0.666666666666667
"ENSG00000185504",1.04669112748828e-06,1,3,0,-0.91428370675508,1,0.5
"ENSG00000067167",9.41808616237335e-15,2.14079111590472e-07,3,1,0.905634593103158,1,0.833333333333333
"ENSG00000183513",8.66383497209613e-27,1,3,0,-0.902763342817757,1,1
"ENSG00000126768",1.88114766589638e-77,1,4,0,-0.89940538607387,1,1
"ENSG00000109944",1.00350912849899e-06,1,4,0,0.896052044619049,1,0.5
"ENSG00000155363",1.07613995603883e-08,0.135181406979366,3,0,-0.894107261456288,1,0.666666666666667
