"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Secretory_UK_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000164405"	"ENSG00000164405"	3.79822421603862e-09	0	2	2	0.22942018520704	1	1
"ENSG00000143977"	"ENSG00000143977"	1.92892955455985e-08	0	2	2	0.214678519676439	1	1
"ENSG00000153485"	"ENSG00000153485"	0.0121103999319819	0	2	2	0.208314064432456	1	1
"ENSG00000183336"	"ENSG00000183336"	0.0240867772949004	0	2	2	0.206043885268456	1	1
"ENSG00000197696"	"ENSG00000197696"	0.0432334672306984	0	2	2	-0.201061771792196	1	1
"ENSG00000143793"	"ENSG00000143793"	0.020260648574655	0	2	2	-0.196369091464899	1	1
"ENSG00000141232"	"ENSG00000141232"	0.000170885812083077	0	2	2	0.184659609102156	1	1
"ENSG00000130204"	"ENSG00000130204"	0.00783691374276733	0	2	2	-0.167580495994932	1	1
"ENSG00000159388"	"ENSG00000159388"	0.0220182839982875	0	2	2	-0.153676455499402	1	1
"ENSG00000159335"	"ENSG00000159335"	0.000445708862102771	0	2	2	-0.151652081640565	1	1
"ENSG00000136938"	"ENSG00000136938"	0.035438478091964	0	2	2	-0.143733078694593	1	1
"ENSG00000081041"	"ENSG00000081041"	0.0312117661352323	0	2	2	0.135219826752855	1	1
"ENSG00000100906"	"ENSG00000100906"	0.0321505264093397	0	2	2	0.130480122819197	1	1
"ENSG00000173992"	"ENSG00000173992"	0.0341761060322904	0	2	2	-0.124855034493805	1	1
"ENSG00000100836"	"ENSG00000100836"	0.0367634111124763	0	2	2	0.119344503436953	1	1
"ENSG00000168291"	"ENSG00000168291"	0.00413342721377619	0	2	2	0.108325966382594	1	1
"ENSG00000118680"	"ENSG00000118680"	4.73460261767364e-06	0	2	2	-0.10719013054365	1	1
"ENSG00000080824"	"ENSG00000080824"	0.0114257477124524	0	2	2	-0.106404884338878	1	1
"ENSG00000185043"	"ENSG00000185043"	1.03048487056846e-07	0	2	2	-0.105211410108143	1	1
"ENSG00000186081"	"ENSG00000186081"	2.0271470777854e-05	0	2	2	-0.0963917849305064	1	1
"ENSG00000119655"	"ENSG00000119655"	3.6684080511912e-07	0	2	2	-0.0961443663901616	1	1
"ENSG00000165609"	"ENSG00000165609"	0.00143957093017433	0	2	2	0.0928687955497247	1	1
"ENSG00000101084"	"ENSG00000101084"	0.000769540508688395	0	2	2	0.0923493238835837	1	1
"ENSG00000092841"	"ENSG00000092841"	0.0101560820519835	0	2	2	0.0845992697328956	1	1
"ENSG00000165672"	"ENSG00000165672"	0.000622307720874655	0	2	2	-0.08090113111274	1	1
"ENSG00000118849"	"ENSG00000118849"	0.0168208642163347	0	2	2	-0.0787750512038684	1	1
"ENSG00000107223"	"ENSG00000107223"	0.00799768048754714	0	2	2	0.0634397482499618	1	1
"ENSG00000099341"	"ENSG00000099341"	0.00756054372139639	0	2	2	0.0625948535951216	1	1
"ENSG00000168090"	"ENSG00000168090"	0.0117649453620817	0	2	2	0.0551208907656848	1	1
"ENSG00000161011"	"ENSG00000161011"	0.0075342158413556	0	2	2	-0.0459641741640003	1	1
"ENSG00000144713"	"ENSG00000144713"	1.48663207896901e-16	0	2	2	-0.0450760267189722	1	1
"ENSG00000134333"	"ENSG00000134333"	0.000154930187050397	0	2	2	0.0391174388996054	1	1
"ENSG00000100300"	"ENSG00000100300"	0.000372498924230825	0	2	2	-0.0380060017974982	1	1
"ENSG00000205420"	"ENSG00000205420"	0.00294098757689499	0	2	2	0.0370139211029693	1	1
"ENSG00000142541"	"ENSG00000142541"	3.4320074682475e-06	0	2	2	0.0351997888143886	1	1
"ENSG00000089157"	"ENSG00000089157"	0.00618607820828313	0	2	2	-0.029190572060254	1	1
"ENSG00000265681"	"ENSG00000265681"	1.29617986090984e-06	0	2	2	0.0266603271230696	1	1
"ENSG00000167996"	"ENSG00000167996"	0.00349589111589367	0	2	2	0.0197347446994289	1	1
"ENSG00000147403"	"ENSG00000147403"	6.0520274847936e-317	1.13639558695801e-257	6	1	0.928537739313066	1	1
"ENSG00000196754"	"ENSG00000196754"	6.0520274847936e-317	9.75240909715782e-199	4	1	0.800377836295127	1	1
"ENSG00000164919"	"ENSG00000164919"	5.94922591909843e-177	1.54703470219062e-177	3	2	0.821985982396355	1	1
"ENSG00000131981"	"ENSG00000131981"	1.08957164256626e-226	5.79093525955044e-122	3	1	-0.298360497766488	1	1
"ENSG00000122026"	"ENSG00000122026"	1.35503030486392e-248	1.02958245447948e-91	3	1	0.378628747138051	1	1
