"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_UK_72hpi_child_Infected-Goblet_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000135968",0.0235132400557896,1,8,0,-0.44151150523956,0.8,0.4
"ENSG00000125107",0.0373517160600762,1,7,0,0.420842694718498,1,0.6
"ENSG00000146540",0.00952517294614485,0.0973219335590101,4,0,0.418956698179851,1,1
"ENSG00000143947",1.51889734948218e-14,0,2,2,0.413948178372697,1,1
"ENSG00000147813",0.000508403176421806,1,13,0,-0.405107231528736,1,1
"ENSG00000067836",0.0215851461557586,0.455354313848928,6,0,-0.404210524947312,1,1
"ENSG00000001084",1.31498185038193e-05,1,7,0,-0.403403735698081,1,1
"ENSG00000067225",2.42076129241293e-09,0.00189364983182198,6,1,-0.401818903513608,1,1
"ENSG00000127022",0.00753276497866389,1,4,0,0.401796654138155,1,0.8
"ENSG00000112096",0.000545258401048276,1,7,0,0.399528175926346,1,0.8
"ENSG00000167978",3.55877022308495e-11,1,16,0,0.392855638650495,1,0.6
"ENSG00000154582",1.62288398910879e-09,1,14,0,0.392853777768465,1,0.8
"ENSG00000064490",0.00545830688882133,1,6,0,-0.392212057425818,1,1
"ENSG00000130816",0.0185125084674463,1,7,0,-0.387093375274419,1,1
"ENSG00000119801",0.00159152253201503,1,6,0,0.379806674555515,1,0.8
"ENSG00000122026",2.19020971840698e-65,7.48145688971138e-22,3,1,0.362572008356582,1,1
"ENSG00000104695",8.40783682790049e-05,1,6,0,0.361852400080655,1,1
"ENSG00000160752",5.11224141538492e-09,1,10,0,0.359988085760167,1,1
"ENSG00000163584",1.24997814608273e-10,6.70233465278709e-05,4,1,0.357586783996101,1,1
"ENSG00000114956",0.00289857034788786,1,7,0,0.353943299657176,1,0.8
"ENSG00000182196",0.0089449640509302,0.197567890561458,5,0,0.353461795270867,1,1
