"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_uninfected_child_Uninfected-Basal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000122378"	"ENSG00000122378"	0.0136462457351083	0.00205707542473339	5	1	0.564454570379783	1	1
"ENSG00000177830"	"ENSG00000177830"	7.7663115733417e-06	0.00209955911258603	3	1	0.837529195025383	1	0.666666666666667
"ENSG00000245532"	"ENSG00000245532"	0.00364288536626681	0.00225147424612922	4	1	0.284989888079249	1	0.833333333333333
"ENSG00000023191"	"ENSG00000023191"	0.0146846520555196	0.00226666869027462	6	1	0.284689347124523	1	1
"ENSG00000120992"	"ENSG00000120992"	3.84797145391138e-07	0.00233535117489726	6	1	0.464360235394138	1	1
"ENSG00000004455"	"ENSG00000004455"	0.000104683065043848	0.00233582031085118	4	1	-0.466606688631311	0.833333333333333	0.833333333333333
"ENSG00000105974"	"ENSG00000105974"	0.00141965556307053	0.0023377837050014	4	1	0.313903812063092	1	1
"ENSG00000106682"	"ENSG00000106682"	0.000842546344014861	0.00277695747877119	3	1	-0.498981118099864	0.833333333333333	0.833333333333333
"ENSG00000164713"	"ENSG00000164713"	0.000434102933581311	0.00312085770241412	4	1	0.222454289512549	1	1
"ENSG00000175756"	"ENSG00000175756"	0.0254021009074249	0.00321049744451287	4	2	-0.382314826008631	1	1
"ENSG00000173467"	"ENSG00000173467"	3.21669826997313e-06	0.00374499888514468	4	1	-0.214977566275632	1	1
"ENSG00000104695"	"ENSG00000104695"	1.950452818546e-06	0.00456461231332004	5	1	-0.301222128366406	1	1
"ENSG00000224259"	"ENSG00000224259"	0.018719139688105	0.00468611948086317	3	1	0.621119463804823	1	1
"ENSG00000155957"	"ENSG00000155957"	0.000634856273594479	0.0070424447756242	4	1	-0.838367128617608	1	0.833333333333333
"ENSG00000157916"	"ENSG00000157916"	0.0293232939478016	0.00767694255385904	4	1	0.362862637486263	1	1
