"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_child_Infected-Basal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000065882"	"ENSG00000065882"	0.00037146686652381	0.000148303843203315	4	1	-0.804606451317469	0.833333333333333	0.5
"ENSG00000242372"	"ENSG00000242372"	0.000142086971773924	0.000154608550880095	3	2	0.31157008284558	1	1
"ENSG00000146540"	"ENSG00000146540"	2.08172417635044e-07	0.000174539293784979	3	1	0.470322840806935	1	1
"ENSG00000047249"	"ENSG00000047249"	3.17990497793614e-06	0.000209586458062323	4	1	0.746268656716418	0.833333333333333	0.833333333333333
"ENSG00000140350"	"ENSG00000140350"	2.09022403914911e-08	0.000214875036192989	4	1	0.66963933626196	1	1
"ENSG00000189376"	"ENSG00000189376"	0.00201778866395288	0.000232252629828511	5	1	-0.386050021819559	1	1
"ENSG00000160188"	"ENSG00000160188"	7.84776834912983e-11	0.000295951836034657	4	1	-0.175597170392103	1	1
"ENSG00000148700"	"ENSG00000148700"	0.000877034906097091	0.000342773665986646	3	1	-0.61948914260828	1	1
"ENSG00000135951"	"ENSG00000135951"	1.64796890496344e-05	0.000348112204310462	5	1	0.64523451902212	1	0.833333333333333
"ENSG00000172845"	"ENSG00000172845"	5.53010964440809e-05	0.000372616615247518	3	1	0.791743422862924	1	0.833333333333333
"ENSG00000164751"	"ENSG00000164751"	2.22017257934798e-05	0.00038161619371053	4	1	0.752363509353998	1	0.666666666666667
"ENSG00000151715"	"ENSG00000151715"	0.00479854819253615	0.000458304501672077	3	2	0.458124327380709	1	1
"ENSG00000042753"	"ENSG00000042753"	0.00204547362525453	0.000486361339686821	3	2	-0.227932555586988	1	1
"ENSG00000171314"	"ENSG00000171314"	2.49534660678907e-19	0.000546756539481124	3	1	-0.352593995310258	1	1
"ENSG00000116212"	"ENSG00000116212"	0.0050149151406763	0.0006922058121738	5	1	-0.57824921599993	1	1
"ENSG00000105894"	"ENSG00000105894"	0.000182632101053078	0.000786223952079417	3	1	0.534458171619137	1	1
"ENSG00000151465"	"ENSG00000151465"	0.00157685947359328	0.000994434566747702	3	1	-0.261016658364746	1	1
"ENSG00000154813"	"ENSG00000154813"	1.42942770852467e-10	0.00102669501352864	3	2	-0.896271427952083	1	0.666666666666667
"ENSG00000105974"	"ENSG00000105974"	0.00429877985659419	0.00104320046685416	4	1	-0.340798787322545	1	1
"ENSG00000119801"	"ENSG00000119801"	1.53394263339806e-10	0.00119843646036761	6	1	0.548480127565486	1	0.833333333333333
"ENSG00000167397"	"ENSG00000167397"	0.0025332143038178	0.0012012954334806	4	1	-0.372976012153791	1	0.833333333333333
"ENSG00000146072"	"ENSG00000146072"	5.41308678156051e-05	0.00120307946659113	3	1	0.650341392068206	1	1
"ENSG00000142192"	"ENSG00000142192"	2.49307869649717e-09	0.00127236485516885	8	1	0.379247082140925	1	1
"ENSG00000120509"	"ENSG00000120509"	0.00365169991347687	0.00145780134232788	3	2	0.260993305883207	1	1
"ENSG00000173272"	"ENSG00000173272"	4.1699038487307e-11	0.00148685692371379	4	1	-0.266705844778487	1	1
"ENSG00000110321"	"ENSG00000110321"	1.30905074307643e-11	0.00149237885294679	7	2	0.375644471754344	1	1
"ENSG00000154080"	"ENSG00000154080"	0.00949862014277318	0.00170696541245966	3	1	-0.472310492350635	1	1
"ENSG00000122644"	"ENSG00000122644"	0.00043690856475861	0.00175073358107958	5	2	0.266938681401327	1	1
"ENSG00000137274"	"ENSG00000137274"	2.2567350362281e-10	0.00176010022463668	4	1	0.716275544600656	1	0.833333333333333
"ENSG00000260916"	"ENSG00000260916"	7.20836604576317e-07	0.00180605843226126	4	1	-0.48686996088447	1	1
"ENSG00000104320"	"ENSG00000104320"	0.00185412132936328	0.00222836446397284	3	1	0.597277595527475	1	0.666666666666667
"ENSG00000086666"	"ENSG00000086666"	6.28238777644173e-05	0.00240772875330012	7	1	-0.46094829623598	1	1
"ENSG00000146457"	"ENSG00000146457"	0.00626993915269633	0.00244838128383627	6	1	-0.431939396337911	1	0.833333333333333
"ENSG00000197446"	"ENSG00000197446"	0.00104937134615492	0.00261334118872614	7	1	0.198979673855244	1	1
"ENSG00000203666"	"ENSG00000203666"	0.000702789187422461	0.00265516910526035	6	1	0.567537989186185	1	0.833333333333333
"ENSG00000182899"	"ENSG00000182899"	0.0053313380061518	0.00301668354386335	4	1	-0.377583782858966	1	1
"ENSG00000163527"	"ENSG00000163527"	0.00295194072525925	0.00302767053723704	3	1	0.579462170039735	1	1
"ENSG00000077721"	"ENSG00000077721"	0.0174281064143713	0.00317067874329791	3	1	-0.243656941080325	1	1
"ENSG00000196642"	"ENSG00000196642"	0.0090964003270735	0.0033310944332593	3	1	-0.503056795480633	1	1
"ENSG00000063854"	"ENSG00000063854"	1.68786633154931e-12	0.00372756314418878	5	1	-0.318688563292853	1	1
"ENSG00000104388"	"ENSG00000104388"	8.96809188077658e-09	0.00403668213823379	4	1	-0.950055787711478	1	0.666666666666667
"ENSG00000052802"	"ENSG00000052802"	0.000253000273279153	0.00454197854415794	4	1	0.281655027141066	1	1
"ENSG00000167136"	"ENSG00000167136"	9.18573577627487e-07	0.00469772527462385	3	1	-0.287866996123795	1	1
"ENSG00000217555"	"ENSG00000217555"	0.0137141552271547	0.00477736134470664	3	1	0.45891274112563	1	1
"ENSG00000197930"	"ENSG00000197930"	0.000786280018664408	0.00493762823150397	4	1	-0.396610212021543	1	1
"ENSG00000188603"	"ENSG00000188603"	0.00422728763174461	0.0052689743767191	4	1	-0.435883015495592	1	1
"ENSG00000078808"	"ENSG00000078808"	0.0031456097667974	0.00541768486428898	3	1	0.312506237650426	1	1
"ENSG00000143418"	"ENSG00000143418"	0.000457425799236347	0.00545550286513603	3	1	-0.798104127431362	0.833333333333333	0.666666666666667
"ENSG00000102898"	"ENSG00000102898"	0.0270997205095867	0.00558756200629688	3	1	0.238308202216386	1	1
"ENSG00000116871"	"ENSG00000116871"	0.0247241529231343	0.00580153020013964	4	1	-0.690647632270376	1	1
"ENSG00000108946"	"ENSG00000108946"	0.00581840128575152	0.00581122134942166	5	1	-0.427492803180578	1	1
"ENSG00000155957"	"ENSG00000155957"	8.97169515054952e-05	0.00609271612936946	4	1	0.777588623126561	1	0.833333333333333
"ENSG00000122643"	"ENSG00000122643"	0.015018565212906	0.00612146114707784	8	1	-0.348009850381344	1	0.833333333333333
"ENSG00000177830"	"ENSG00000177830"	2.84339468934048e-08	0.0061309183017607	4	1	-0.785714261050598	1	0.666666666666667
"ENSG00000196576"	"ENSG00000196576"	2.15591016494112e-08	0.00644317678777358	6	1	0.522839544943851	1	0.666666666666667
"ENSG00000205155"	"ENSG00000205155"	0.0335820560492328	0.00734956001038223	3	2	-0.429758908554781	1	1
