"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_child_Infected-Basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000164751",2.22017257934798e-05,0.00038161619371053,4,1,0.752363509353998,1,0.666666666666667
"ENSG00000198589",0.0130841378523887,1,4,0,-0.749210402840894,0.833333333333333,0.666666666666667
"ENSG00000134058",0.000560194350678368,1,6,0,-0.746801833057645,0.833333333333333,0.5
"ENSG00000047249",3.17990497793614e-06,0.000209586458062323,4,1,0.746268656716418,0.833333333333333,0.833333333333333
"ENSG00000185033",9.07852444784773e-07,1,5,0,0.746129866198305,1,0.833333333333333
"ENSG00000069966",0.0163761849487352,1,3,0,-0.745961356699436,0.833333333333333,0.5
"ENSG00000157578",0.0215364769579806,0.144815511789359,3,0,-0.74495016404226,1,0.666666666666667
"ENSG00000081307",0.00760643099662703,1,4,0,-0.744767303062757,0.833333333333333,0.666666666666667
"ENSG00000040341",0.0048131204893337,1,3,0,0.744751865264628,0.833333333333333,0.5
"ENSG00000152894",0.0086147497907536,1,4,0,-0.743983877946618,1,0.5
"ENSG00000114439",0.000690524876291901,1,6,0,-0.743195644102225,1,0.5
"ENSG00000099810",0.00717113320652792,1,4,0,-0.74159673137751,0.833333333333333,0.5
"ENSG00000117592",7.20981475248338e-122,1,3,0,-0.740998100786338,1,1
"ENSG00000102572",4.09940592217253e-07,0.0145731972092339,5,1,0.740267241426587,0.833333333333333,0.666666666666667
"ENSG00000142627",1.84997032751746e-21,1,4,0,-0.739757611433003,1,1
"ENSG00000067167",8.78072731202657e-12,1.2452706403981e-08,5,1,-0.729824521067276,1,1
"ENSG00000132356",0.000155113531738404,0.000113883919335234,3,1,0.726442094671272,1,1
"ENSG00000137274",2.2567350362281e-10,0.00176010022463668,4,1,0.716275544600656,1,0.833333333333333
"ENSG00000138162",0.00022839162871409,1,6,0,-0.715461723542516,1,0.666666666666667
"ENSG00000158747",1.29470178103117e-11,9.88308334342016e-06,4,1,0.71530309584809,1,1
