"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_UK_72hpi_adult_Infected-Suprabasal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000144567",3.00365925043635e-08,1,5,0,-0.691363185898431,1,0.833333333333333
"ENSG00000156171",6.28901668343624e-07,1,6,0,0.691320170697515,1,0.5
"ENSG00000138107",1.47668679269476e-06,0.301002066033662,3,0,0.689241459493281,1,1
"ENSG00000138434",0.000838245829256865,0.00422195844835441,5,1,0.688942313949372,0.833333333333333,0.666666666666667
"ENSG00000169490",6.15440082727297e-05,1,6,0,-0.687531305383825,0.833333333333333,0.5
"ENSG00000114270",3.27521431297742e-05,0.126960926261649,4,0,0.686231456593339,1,0.666666666666667
"ENSG00000068903",7.57358061816998e-05,7.60303894496063e-05,3,1,-0.685650684507352,1,1
"ENSG00000157349",1.20931919408411e-05,1,5,0,0.683800460819908,1,0.5
"ENSG00000163634",7.08604338531704e-32,0.824481885384902,4,0,0.683150760925974,1,1
"ENSG00000115677",3.81558669858488e-22,1,4,0,-0.682925507696531,1,1
"ENSG00000278558",3.76890013069829e-06,9.91853150315114e-05,4,1,-0.682800031688001,1,0.833333333333333
"ENSG00000136754",0.00614004265277039,0.588007744497075,3,0,0.679526755323145,0.833333333333333,0.833333333333333
"ENSG00000132153",6.02116945025285e-06,1,4,0,-0.679329624660481,1,1
"ENSG00000104687",2.06421568328005e-07,1,6,0,0.676829801859482,1,0.666666666666667
"ENSG00000132773",0.000285799212551082,0.028639518112691,3,1,-0.674139026873567,1,0.833333333333333
"ENSG00000146733",2.47845659088749e-09,0.0454621555597604,5,1,-0.673683218483436,1,0.833333333333333
"ENSG00000105929",0.00486266881814561,0.163586492141664,3,0,-0.67253878776654,0.833333333333333,0.666666666666667
"ENSG00000023330",1.11239381247773e-05,0.199208052987103,5,0,0.672191286506525,1,0.666666666666667
"ENSG00000066855",0.00654819306637369,0.00925097182227017,3,1,0.671179118194059,1,1
"ENSG00000124795",5.3787868980619e-12,4.34454408624988e-10,4,1,0.670251083350752,1,1
"ENSG00000126368",0.0228133531964981,1,4,0,-0.666666666666667,0.833333333333333,0.5
"ENSG00000267673",5.61624145573928e-07,0.451304567403549,6,0,0.666150752822693,1,0.833333333333333
"ENSG00000187118",1.2674295818518e-28,1,6,0,0.665913869720657,1,1
"ENSG00000204843",1.36503914713669e-07,1,6,0,-0.665254873723088,1,0.833333333333333
"ENSG00000136827",5.60964928247202e-08,6.32749003327891e-06,4,1,0.663776622578706,1,1
