"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Suprabasal_UK_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000196754"	"ENSG00000196754"	2.60412718504663e-91	8.91969331021894e-65	4	1	0.826689279568159	1	1
"ENSG00000131981"	"ENSG00000131981"	1.35090387678664e-113	1.87881334801528e-57	3	1	-0.287494610404622	1	1
"ENSG00000147403"	"ENSG00000147403"	1.0402007103806e-156	8.20601991777173e-38	6	2	0.925491240162465	1	1
"ENSG00000149273"	"ENSG00000149273"	2.43139914744697e-255	8.46183809044722e-38	7	1	-0.61377387524178	1	1
"ENSG00000115457"	"ENSG00000115457"	3.27261932939844e-38	6.22734612238133e-34	5	2	-0.625648473430186	1	1
"ENSG00000174547"	"ENSG00000174547"	5.11393892370225e-37	3.61846109259591e-32	4	1	-0.752270269930505	1	1
"ENSG00000113732"	"ENSG00000113732"	5.01898915337597e-103	1.10465605837464e-31	3	1	-0.80300110038253	1	1
"ENSG00000173812"	"ENSG00000173812"	3.79193561744229e-24	2.56789194725101e-26	3	1	-0.331190001921574	1	1
"ENSG00000138326"	"ENSG00000138326"	3.4992879354067e-42	6.75403056041701e-26	4	1	-0.193177907930922	1	1
"ENSG00000114942"	"ENSG00000114942"	4.97915659832895e-62	6.85451320106204e-25	3	1	-0.195059876271184	1	1
"ENSG00000122026"	"ENSG00000122026"	1.89591371933564e-60	7.63799424100612e-23	3	1	0.36182859632879	1	1
"ENSG00000163435"	"ENSG00000163435"	4.49802069280836e-154	1.17106200533516e-22	6	1	0.573952139073804	1	1
"ENSG00000173486"	"ENSG00000173486"	3.27261932939844e-38	3.51838795575581e-21	3	1	-0.551015968686504	1	1
"ENSG00000174748"	"ENSG00000174748"	6.75689535387461e-289	1.38493260155228e-19	5	1	-0.840223185817579	1	1
"ENSG00000100650"	"ENSG00000100650"	6.85503917923402e-40	2.24099882145676e-18	5	1	0.531278521650992	1	1
"ENSG00000168003"	"ENSG00000168003"	1.13201601771626e-23	1.79111093057795e-17	4	1	0.602740292556604	1	1
"ENSG00000113387"	"ENSG00000113387"	3.04912725413146e-26	7.90660784150174e-15	3	1	-0.727654499931544	1	1
"ENSG00000163399"	"ENSG00000163399"	3.97665236267932e-19	8.56469188098624e-15	5	1	0.671502866869473	1	1
"ENSG00000241468"	"ENSG00000241468"	1.00401902439211e-45	4.94545836914978e-13	3	1	-0.388297336233151	1	1
"ENSG00000130066"	"ENSG00000130066"	1.18739865940922e-47	1.05625775174581e-12	6	1	-0.19159946890003	1	1
"ENSG00000101608"	"ENSG00000101608"	8.02812968706875e-49	3.03024565463765e-11	5	2	-0.752060710229365	1	1
"ENSG00000185567"	"ENSG00000185567"	2.04734050676719e-14	6.42972742921447e-10	4	1	-0.766007260164878	1	0.833333333333333
"ENSG00000160113"	"ENSG00000160113"	3.99358379656143e-09	1.54694576924148e-09	3	2	0.487563830525065	1	1
"ENSG00000021355"	"ENSG00000021355"	4.60214065053066e-13	6.62147785009659e-09	5	1	0.674184073275504	1	0.833333333333333
"ENSG00000122644"	"ENSG00000122644"	5.232742705482e-07	7.06236661258749e-09	5	1	-0.488910590146756	1	1
"ENSG00000146072"	"ENSG00000146072"	1.2843576175217e-07	1.78853954293441e-08	3	1	-0.857568137805804	0.833333333333333	0.666666666666667
"ENSG00000158864"	"ENSG00000158864"	5.76488952386585e-07	2.66886322093428e-08	3	2	0.374240916083211	1	1
"ENSG00000186395"	"ENSG00000186395"	1.6137602679301e-10	3.77236582774511e-08	3	1	0.592066017015666	1	1
"ENSG00000178741"	"ENSG00000178741"	6.7870256464184e-28	4.93679272373733e-08	3	1	-0.348849339352602	1	1
"ENSG00000163466"	"ENSG00000163466"	4.98660400097791e-08	5.13919336794734e-08	4	1	-0.240494949361591	1	1
"ENSG00000110321"	"ENSG00000110321"	3.34641289391839e-13	9.83273584235467e-08	8	2	0.470245280395582	1	1
"ENSG00000115129"	"ENSG00000115129"	1.94009360872507e-07	1.25982331524665e-07	8	1	-0.678455841496009	1	1
"ENSG00000167642"	"ENSG00000167642"	2.77756301904461e-06	1.30726187395505e-07	3	2	0.319698166702727	1	1
"ENSG00000163634"	"ENSG00000163634"	1.8914007519083e-11	5.80027393411309e-07	4	1	-0.576054969749659	1	1
"ENSG00000070756"	"ENSG00000070756"	4.59771691302459e-43	1.02448770707131e-06	5	1	-0.372718020232888	1	1
"ENSG00000161013"	"ENSG00000161013"	4.32189078874293e-06	1.61302834665247e-06	4	2	0.557003506848398	1	1
"ENSG00000067167"	"ENSG00000067167"	4.09391946669687e-11	1.95762535512206e-06	5	1	0.665493310566962	1	1
"ENSG00000114125"	"ENSG00000114125"	8.25715711577594e-08	1.98591192011703e-06	5	1	0.517609627854252	1	1
"ENSG00000150753"	"ENSG00000150753"	1.16929873359653e-11	4.56660526871138e-06	4	1	0.516137377023327	1	1
"ENSG00000139644"	"ENSG00000139644"	2.40252160637383e-13	1.17079886878623e-05	5	1	0.384056988031852	1	1
"ENSG00000065154"	"ENSG00000065154"	4.73838370129627e-06	2.08093931758397e-05	3	1	0.524857200514862	1	0.833333333333333
