"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_UK_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000100722",4.49231349967987e-05,1,5,0,-0.640561882336756,0.833333333333333,0.666666666666667
"ENSG00000168256",0.0013015129545823,0.0924392060183196,5,0,0.640403548673743,0.833333333333333,0.833333333333333
"ENSG00000130560",5.34869226550282e-13,1,5,0,-0.639477327643261,1,0.833333333333333
"ENSG00000103342",3.88222074980636e-16,1,3,0,0.63429500503191,1,1
"ENSG00000065882",0.00726286492473126,0.0268370053583864,4,1,0.629629629625353,0.833333333333333,0.833333333333333
"ENSG00000173226",0.0433800916797738,0.098781705370331,3,0,0.626948450945654,1,1
"ENSG00000166275",2.73496661381984e-14,1,5,0,0.626729737092515,1,0.833333333333333
"ENSG00000148187",0.0052365851198585,1,4,0,0.62594516445472,1,0.833333333333333
"ENSG00000115457",3.27261932939844e-38,6.22734612238133e-34,5,2,-0.625648473430186,1,1
"ENSG00000108946",0.00246299435589378,1,5,0,-0.62479388299626,0.833333333333333,0.666666666666667
"ENSG00000178307",1.85937660111412e-05,0.579224320627208,4,0,-0.621220929093757,0.833333333333333,0.666666666666667
"ENSG00000155660",1.0590989426961e-07,2.13395013236113e-05,5,1,-0.619822343385838,1,1
"ENSG00000257727",1.43078488890621e-10,3.19389029313913e-05,4,1,-0.619813855661965,1,1
"ENSG00000160298",0.000309066993126528,1,6,0,-0.617404696326055,1,0.5
"ENSG00000204673",0.0102050529713115,1,4,0,0.616813731750186,0.833333333333333,0.833333333333333
"ENSG00000121073",2.31835365827765e-06,1,6,0,-0.615340894891769,0.833333333333333,0.666666666666667
"ENSG00000149273",2.43139914744697e-255,8.46183809044722e-38,7,1,-0.61377387524178,1,1
"ENSG00000132274",1.94009360872507e-07,0.000105392568801933,4,1,-0.613650902204536,1,0.833333333333333
"ENSG00000006534",0.0306862779036302,0.008319313390035,3,2,-0.612372872711788,1,0.833333333333333
"ENSG00000108848",0.000280405646324972,0.752226690631443,4,0,0.608068492332955,1,1
"ENSG00000129534",0.00402501263540077,1,5,0,-0.607717854874722,1,0.5
"ENSG00000184709",5.13248264177862e-06,0.22178665873946,3,0,0.607717718839015,1,1
"ENSG00000100162",0.00430457512670978,0.00288260249580249,3,1,-0.606174985953763,1,1
"ENSG00000136830",0.00399174760040856,0.0179919333534342,4,1,0.606148390720664,1,0.833333333333333
"ENSG00000067082",0.00509090036739452,0.231958740259477,4,0,0.602981971593991,1,0.833333333333333
"ENSG00000168003",1.13201601771626e-23,1.79111093057795e-17,4,1,0.602740292556604,1,1
"ENSG00000075151",2.60667359103962e-06,1,5,0,-0.599942393573872,1,1
"ENSG00000155749",0.000568934083308998,1,3,0,0.597636112869167,1,1
"ENSG00000059122",0.0141707255125626,1,3,0,0.596904426391763,1,0.833333333333333
"ENSG00000116679",0.000368470384015036,1,4,0,0.594506647406557,1,0.666666666666667
"ENSG00000163738",0.0279072073473322,0,2,2,-0.593453273118671,1,1
"ENSG00000183684",0.0266829863915569,0.0143945002316211,3,1,-0.592335878457575,1,0.833333333333333
"ENSG00000166181",0.000700887651145362,1,7,0,-0.592301223170836,1,0.666666666666667
"ENSG00000186395",1.6137602679301e-10,3.77236582774511e-08,3,1,0.592066017015666,1,1
"ENSG00000187522",0.00175977720174619,0.000483850071093322,3,1,-0.589153299994017,1,0.833333333333333
"ENSG00000136044",0.00179754677841941,0.0523342073307883,3,0,-0.588890309889673,1,1
"ENSG00000038274",0.00418142945699138,0,2,2,-0.588711709740667,1,1
"ENSG00000067836",0.000686734020986754,0.000352053655758368,6,1,-0.588169987275422,1,1
"ENSG00000147654",2.76255261940795e-07,1,4,0,-0.586685690956299,1,0.666666666666667
"ENSG00000169567",0.00105646586844871,0.082142447138575,5,0,0.584186035466633,1,1
"ENSG00000115267",0.00509090036739452,1,5,0,0.584158392034475,0.833333333333333,0.666666666666667
"ENSG00000129696",0.0206558069358517,1,4,0,0.58352423157661,0.833333333333333,0.5
"ENSG00000115486",0.00557975897433819,1,4,0,-0.580406318526317,1,0.666666666666667
"ENSG00000133316",9.78389949822516e-06,0.108254379171335,4,0,-0.580228936372129,1,1
"ENSG00000163634",1.8914007519083e-11,5.80027393411309e-07,4,1,-0.576054969749659,1,1
"ENSG00000150093",8.64543344010356e-27,0.355782497697092,4,0,0.574429381483375,1,1
"ENSG00000163435",4.49802069280836e-154,1.17106200533516e-22,6,1,0.573952139073804,1,1
"ENSG00000138772",2.00746488814513e-20,1,4,0,0.573899488728506,1,1
"ENSG00000187049",0.00648962908058102,0.989982521269691,5,0,-0.571428487723227,0.833333333333333,0.833333333333333
"ENSG00000233223",0.000168600670784853,1,5,0,-0.571191215135177,1,0.666666666666667
"ENSG00000123739",0.000131630629962166,1,3,0,-0.571044459243812,0.833333333333333,0.833333333333333
"ENSG00000119636",4.35914835442522e-06,1,7,0,-0.567875444319973,1,0.5
"ENSG00000137500",0.00207765549389229,1,7,0,0.565487346561035,1,0.833333333333333
"ENSG00000122970",0.0427592373035177,0.0264861934690522,3,1,0.56332774393599,0.833333333333333,0.833333333333333
"ENSG00000128510",0.0435147450184009,0.212814393452916,4,0,0.562724039275569,0.833333333333333,0.833333333333333
"ENSG00000172927",0.0352106944921289,0.0186258689377644,4,1,0.560812549764919,1,0.833333333333333
"ENSG00000149084",0.00174036072080533,0.0894385392016937,3,0,0.560385187057833,0.833333333333333,0.833333333333333
"ENSG00000103415",5.60969011948432e-07,0.000245830375881633,5,1,0.560053639020837,1,1
"ENSG00000173801",7.10018674620186e-20,0.0481153852872726,8,1,-0.558003812535868,1,0.833333333333333
"ENSG00000161013",4.32189078874293e-06,1.61302834665247e-06,4,2,0.557003506848398,1,1
"ENSG00000164930",4.13660850099359e-06,1,7,0,-0.555556275675202,1,0.833333333333333
"ENSG00000108588",0.00175977720174619,0.000260282016694574,3,2,0.551562683256439,1,1
"ENSG00000044115",0.00134357362150786,0.0027536176116387,3,1,-0.551358605676821,1,1
"ENSG00000173486",3.27261932939844e-38,3.51838795575581e-21,3,1,-0.551015968686504,1,1
"ENSG00000110330",1.81533712892963e-05,0.021616058092403,4,1,0.546899497379171,1,0.833333333333333
"ENSG00000140416",2.31998020879249e-07,0.0156882085324357,5,1,0.546331493867179,1,1
"ENSG00000170881",0.0216800697055174,1,4,0,0.545054103392108,0.833333333333333,0.833333333333333
"ENSG00000176155",9.67082217620664e-05,0.00251802007105055,3,1,-0.54361234607658,1,0.833333333333333
"ENSG00000156313",0.0132096800292915,0.0572773196374759,3,0,0.543422795401075,1,1
"ENSG00000113312",5.25308809564531e-05,0.000345455361323745,3,1,0.542406256150395,1,1
"ENSG00000111834",0.00827217805616456,1,4,0,-0.542246913587837,1,0.666666666666667
"ENSG00000145495",0.0192391049572896,1,4,0,0.541720920982922,1,0.5
"ENSG00000109944",0.0239059168130969,0,2,2,-0.540788761219618,1,1
"ENSG00000149547",1.0244681455495e-06,0.000178673146354043,3,1,-0.538704985977002,1,1
"ENSG00000150433",0.010642002732158,1,5,0,-0.536192849506007,1,0.5
"ENSG00000067066",1.01479085661253e-12,1,7,0,0.53245246985846,1,0.833333333333333
"ENSG00000166971",1.08844725581763e-05,0.00179157416225833,5,1,-0.53229682287077,1,0.666666666666667
"ENSG00000143153",7.96707746716368e-26,1,4,0,0.531599252213078,1,1
"ENSG00000100650",6.85503917923402e-40,2.24099882145676e-18,5,1,0.531278521650992,1,1
"ENSG00000163714",1.52578955559249e-07,1,6,0,-0.531166327363031,1,0.5
"ENSG00000072110",1.12302985135548e-15,0.0667152840468025,6,0,-0.530406402403742,1,0.666666666666667
"ENSG00000172831",0.00037423408642115,0.860538753579556,3,0,0.529772366206058,0.833333333333333,0.833333333333333
"ENSG00000147813",3.45980836766404e-17,1,6,0,0.525155702565425,1,1
"ENSG00000065154",4.73838370129627e-06,2.08093931758397e-05,3,1,0.524857200514862,1,0.833333333333333
"ENSG00000238142",0.0489515848541383,0.0465999702111143,3,1,-0.518789068478122,1,1
"ENSG00000184831",4.27387131919163e-05,0.131481723124205,4,0,0.517800283716184,1,1
"ENSG00000114125",8.25715711577594e-08,1.98591192011703e-06,5,1,0.517609627854252,1,1
"ENSG00000135374",0.0188722633994077,1,4,0,0.516956596070283,1,0.666666666666667
"ENSG00000150753",1.16929873359653e-11,4.56660526871138e-06,4,1,0.516137377023327,1,1
"ENSG00000198729",1.00855643148142e-10,0.919841046077016,5,0,-0.516064037347359,1,1
"ENSG00000082898",2.58581211498101e-18,1,7,0,0.515903976296694,1,1
"ENSG00000143321",2.36773705469894e-06,1,5,0,0.515205676808411,1,1
"ENSG00000132254",1.33515902095974e-07,0.00936249458672625,7,1,-0.513807359443956,1,1
"ENSG00000196576",1.5432478563947e-07,1,7,0,0.510416666666635,1,0.833333333333333
"ENSG00000115540",0.000834613321710643,0.0471753077366035,3,1,-0.509086727667475,0.833333333333333,0.833333333333333
"ENSG00000148341",3.38060787930344e-14,1,7,0,0.508669315592647,1,0.666666666666667
"ENSG00000087903",0.042470817922274,1,4,0,-0.507931502548541,0.833333333333333,0.666666666666667
"ENSG00000092108",9.29100460381312e-10,1,8,0,0.506745333630987,1,0.833333333333333
"ENSG00000110328",0.000525530703157377,1,3,0,-0.506246586746724,1,0.833333333333333
"ENSG00000172062",0.0101969442404245,0.0481666406380902,3,1,0.506012923410539,1,1
"ENSG00000095596",0.00580361909555077,1,4,0,-0.504546083198172,1,0.833333333333333
"ENSG00000184640",1.2843576175217e-07,1,7,0,0.50441059739719,1,0.833333333333333
"ENSG00000174243",0.00132740825555127,1,4,0,-0.503324202886849,1,0.833333333333333
"ENSG00000111642",0.00338768690862053,1,6,0,-0.502649887479162,1,0.666666666666667
"ENSG00000175274",0.00459620179665283,1,4,0,-0.501882517056995,1,0.833333333333333
"ENSG00000103194",0.00903371447481601,0.943583409860765,3,0,-0.501761507017772,1,0.666666666666667
"ENSG00000075790",2.68286220877085e-13,0.130147893994423,7,0,-0.5002683771748,1,0.666666666666667
"ENSG00000123268",0.00156162897360568,1,4,0,-0.500089031163259,1,0.666666666666667
"ENSG00000147642",0.0072560431057058,1,6,0,-0.500000197556404,1,0.833333333333333
"ENSG00000102897",0.0227171721027619,1,6,0,-0.5,1,0.833333333333333
"ENSG00000153113",0.0249674829683266,1,6,0,-0.499999999999585,0.833333333333333,0.666666666666667
"ENSG00000167978",1.13074344334981e-06,1,9,0,-0.499999981804639,1,0.666666666666667
"ENSG00000085224",0.000209982477548615,1,5,0,-0.499455730917461,1,0.833333333333333
"ENSG00000182944",0.000276830154478481,1,8,0,-0.499140774026508,1,0.666666666666667
"ENSG00000119431",2.77643106305062e-07,1,3,0,0.498474803714524,1,1
"ENSG00000198960",0.00430730626266609,0.110402525267043,5,0,-0.49717139647921,1,0.833333333333333
"ENSG00000178252",0.014578797259434,1,4,0,-0.496585424381938,1,0.833333333333333
"ENSG00000155761",0.000186645399172622,1,7,0,-0.495952895318965,1,0.5
"ENSG00000107949",1.08556290375232e-06,0.3184124149504,4,0,-0.494369635045634,1,1
"ENSG00000197748",0.000608270924455084,0.602425598983296,4,0,-0.494157914561945,0.833333333333333,0.5
"ENSG00000086475",0.023516001372313,1,4,0,-0.494141899957958,0.833333333333333,0.833333333333333
"ENSG00000169926",4.01093167768165e-05,0.0714909938174551,4,0,0.493573428947119,1,0.833333333333333
"ENSG00000185164",0.0339568744011508,0.690167539292003,5,0,0.492301959766154,1,0.666666666666667
"ENSG00000173511",0.00494213054336575,1,5,0,-0.491937600850667,0.833333333333333,0.833333333333333
"ENSG00000088930",2.59148669805607e-06,1,4,0,0.490218191557207,1,0.833333333333333
"ENSG00000057663",0.01907480201643,0.041644022709582,8,1,0.489663673474703,0.833333333333333,0.666666666666667
"ENSG00000177963",0.000168600670784853,1,4,0,0.489479895450758,1,0.833333333333333
"ENSG00000122644",5.232742705482e-07,7.06236661258749e-09,5,1,-0.488910590146756,1,1
"ENSG00000160113",3.99358379656143e-09,1.54694576924148e-09,3,2,0.487563830525065,1,1
"ENSG00000258289",0.00204090819776183,0.00133011911012812,4,1,-0.485852913345377,1,1
"ENSG00000143633",0.0209544708203383,0.101005229518556,3,0,0.484076815536764,1,1
"ENSG00000176261",0.00354477623511748,0.056148042968375,9,0,0.482289420642279,1,0.833333333333333
"ENSG00000104695",2.43661524824577e-08,0.00100308993574398,3,1,0.481199788870934,1,1
"ENSG00000108587",1.47949467742651e-05,1,5,0,-0.480213176996363,1,0.833333333333333
"ENSG00000169228",7.9208335390959e-05,1,5,0,0.477819321946967,1,1
"ENSG00000177459",7.98452636746205e-05,7.24482844108793e-05,3,1,0.475999587340142,1,0.833333333333333
"ENSG00000154845",0.000369135789907345,1,4,0,-0.472816303332003,1,0.833333333333333
"ENSG00000110321",3.34641289391839e-13,9.83273584235467e-08,8,2,0.470245280395582,1,1
"ENSG00000154080",0.0029989210690905,0.000429704623697983,3,1,-0.46680865466852,1,1
"ENSG00000111142",1.67423254411214e-05,1,5,0,-0.466716842903586,1,1
"ENSG00000137098",0.000191600054523341,1,5,0,-0.466666476302756,1,1
"ENSG00000116350",4.07493404526e-08,0.000277457817460422,3,1,0.46494038917413,1,1
"ENSG00000165175",3.74319267219636e-06,0.523932535785187,4,0,-0.464224527655029,1,1
"ENSG00000169398",1.93440754487236e-06,1,9,0,0.462346999925869,1,0.666666666666667
"ENSG00000176920",0.00342688837457938,0.00220413221586823,4,2,0.46145126119535,1,1
"ENSG00000127022",5.87101836083959e-05,0.0521377470656219,5,0,0.460686023262281,1,1
"ENSG00000143947",2.25035237928797e-78,0,2,2,-0.456817585602811,1,1
"ENSG00000115073",0.00311289782294833,0.400157187014779,3,0,-0.454215728970397,1,0.833333333333333
"ENSG00000130600",0.00153493399992723,0.716735794060678,5,0,-0.453754341082564,1,0.833333333333333
"ENSG00000177427",0.000602505454693283,1,4,0,0.452876305813867,1,0.833333333333333
"ENSG00000148248",1.4657700945287e-06,8.4905126121725e-05,6,2,-0.452755786920043,1,0.833333333333333
"ENSG00000136682",0.0093819401338093,0.038912974553539,6,1,-0.452588863548555,1,0.833333333333333
"ENSG00000185324",0.0180100157661164,1,6,0,-0.452318165006786,1,0.833333333333333
"ENSG00000120860",0.00428882520463778,0.0125395610696582,3,1,0.452164805335548,1,1
"ENSG00000175324",8.67379160737492e-12,0.183376623605684,5,0,-0.451612463619523,1,1
"ENSG00000186474",0.0115991591446275,1,5,0,-0.445957165647681,1,0.666666666666667
"ENSG00000029363",0.00136150372668304,1,9,0,-0.445475271329272,1,1
"ENSG00000125952",0.0344072647956477,1,6,0,-0.443455926995642,1,0.666666666666667
"ENSG00000204852",2.36068356320784e-06,0.555383305628598,8,0,-0.441176470377113,1,1
"ENSG00000184110",1.74168244785339e-05,0.165026477246398,6,0,0.439747482515939,1,1
"ENSG00000112539",0.000957777699114777,1,5,0,-0.439691353400591,1,0.833333333333333
"ENSG00000123240",1.85065330782722e-23,1,10,0,-0.439069282091104,1,0.666666666666667
"ENSG00000167397",0.000270262482681594,0.335648821519807,4,0,-0.437849589166244,1,1
"ENSG00000111907",3.36847184584911e-10,4.74551376793791e-05,4,2,-0.437628517766597,1,1
"ENSG00000132470",9.02889111482597e-15,1,7,0,-0.437499010612408,1,0.666666666666667
"ENSG00000120889",0.0392708599741089,1,3,0,-0.434419665452943,0.833333333333333,0.833333333333333
"ENSG00000141504",3.07049812128728e-08,0.0697641240199149,4,0,-0.433144924816788,1,1
"ENSG00000183734",0.0133448719694998,1,4,0,0.432247483023901,1,0.833333333333333
"ENSG00000113712",4.39162065937291e-21,1,9,0,-0.431817071585109,1,0.833333333333333
"ENSG00000063854",1.86007468401992e-15,0.00749569305943662,4,1,-0.430336391709371,1,1
"ENSG00000157349",0.0325773273235807,1,5,0,-0.429205609046236,0.833333333333333,0.666666666666667
"ENSG00000119950",0.000382434193213228,1,8,0,-0.428569815261254,1,1
"ENSG00000146540",5.09619052373542e-06,0.300937741099019,4,0,-0.427169486441002,1,1
"ENSG00000117226",3.33820338877779e-05,0.957873566060828,6,0,0.424236090447935,1,1
"ENSG00000105176",1.35924563676425e-09,1,6,0,0.423919407304709,1,0.666666666666667
"ENSG00000109390",0.00476788366187018,0.00187689347713522,4,2,-0.422797852434687,1,0.833333333333333
"ENSG00000001084",3.08583743993468e-07,1,5,0,0.422535202122244,1,1
"ENSG00000182670",5.9722541832492e-19,1,9,0,-0.421825361475216,1,0.666666666666667
"ENSG00000106617",0.00384542263496949,1,5,0,-0.421529183632089,1,0.833333333333333
"ENSG00000091073",0.00109285316374138,0.039457618852407,9,1,-0.421350726637582,0.833333333333333,0.833333333333333
"ENSG00000135829",0.00708930358162576,1,5,0,0.420372986313756,1,0.833333333333333
