"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_UK_72hpi_adult_Infected-Basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000140416",1.61340781834234e-13,0.0517969325390424,4,0,-0.463254193821299,1,1
"ENSG00000160190",0.00038573493520562,0.89405751219725,5,0,-0.463090421361354,1,0.833333333333333
"ENSG00000100280",0.0101353828930959,1,4,0,0.462550717632529,1,0.833333333333333
"ENSG00000164930",2.55743700863851e-05,0.465281993179491,6,0,0.462344791006984,1,1
"ENSG00000140157",6.69598013989956e-06,1,7,0,-0.461536647233495,1,0.5
"ENSG00000114098",0.00813157482180767,1,8,0,-0.46153661006448,0.833333333333333,0.5
"ENSG00000166181",0.00215994817792059,0.0969982046092426,4,0,-0.459272556487995,1,1
"ENSG00000143418",0.0333771791399635,0,2,2,0.458561033383662,1,1
"ENSG00000132424",2.4707370403973e-16,1,8,0,-0.45800715212632,1,0.833333333333333
"ENSG00000143198",2.40494828958248e-73,3.99104065485663e-44,4,1,0.457730170509029,1,1
"ENSG00000006747",2.74471926629117e-09,1,7,0,0.455378890540697,1,0.666666666666667
"ENSG00000149269",5.02763757163093e-07,1,9,0,-0.454545729213162,1,1
"ENSG00000166949",0.0163521838290721,1,6,0,0.454545479956472,1,0.833333333333333
"ENSG00000141738",0.00424986719156192,1,5,0,-0.454545454545495,1,1
"ENSG00000117226",0.000529861035757954,1,6,0,-0.454246079846618,1,0.833333333333333
"ENSG00000083720",4.33448878931395e-05,1,3,0,-0.45270954053067,1,1
"ENSG00000165506",2.72172467236266e-07,1,6,0,-0.452516686543055,1,1
"ENSG00000183742",0.000583518668193022,1,4,0,-0.452170553994515,1,1
"ENSG00000108946",7.85974990992255e-14,0.0324817027937304,9,1,0.452090306237327,1,0.666666666666667
"ENSG00000205336",7.85881191913939e-14,1,8,0,0.451664627356301,1,1
"ENSG00000174718",1.90751465593241e-05,1,7,0,0.451612778234567,1,0.833333333333333
"ENSG00000285437",1.36633755289434e-12,1,11,0,0.449288439439462,1,0.833333333333333
"ENSG00000203875",1.05178095093699e-14,2.69750758923472e-16,4,2,0.448982365578551,1,1
"ENSG00000157578",0.0172872013104226,0.655477691543399,4,0,-0.447992208538936,1,1
"ENSG00000084090",0.000465734846664476,0.00034926064984215,3,2,0.447916126570016,1,1
"ENSG00000129654",1.49090621040665e-10,0.0922348659429505,3,0,0.447876275740041,1,1
"ENSG00000125944",8.64309820557774e-41,1,8,0,0.447571359294197,1,1
"ENSG00000197748",0.000310589358663013,1,4,0,0.446849901288162,1,0.833333333333333
"ENSG00000012822",0.000493547389699215,0.02270160393871,7,1,-0.446172669768834,1,1
"ENSG00000151327",0.00104204242116664,0.000618261278389112,4,1,-0.445718198804298,1,1
"ENSG00000104960",0.00120167246602965,0.0133072200269923,6,1,0.444958591237043,1,1
"ENSG00000089356",1.33578880915966e-101,6.3994176414238e-102,3,2,-0.444669574382826,1,1
"ENSG00000225470",7.65030093766361e-11,1,5,0,0.444607779854246,1,1
"ENSG00000110274",8.21451540166129e-07,1,7,0,-0.444570452434723,1,0.833333333333333
"ENSG00000079805",0.00286979358075907,1,5,0,0.444443877955421,1,1
"ENSG00000173801",3.00722757633424e-16,1.88955893458925e-06,8,1,-0.442254193417284,1,1
"ENSG00000102805",0.0365287271380057,1,3,0,-0.442128418672321,1,0.833333333333333
"ENSG00000105357",1.34948320051259e-09,1,9,0,0.44134419659385,1,1
"ENSG00000186141",0.00881588257431745,0,2,2,-0.441173424813192,1,1
"ENSG00000203985",1.08374817117445e-06,1,9,0,0.441172080592162,1,1
"ENSG00000160180",1.68522977942801e-26,5.56626655420054e-11,3,1,-0.440431710712286,1,1
"ENSG00000106617",8.68800888437789e-07,0.0406725122991662,6,1,-0.439591715713859,1,1
"ENSG00000100796",1.90626665528644e-09,1,9,0,-0.439307708926857,1,1
"ENSG00000124164",0.00189729245098431,0.0126922313355812,3,1,-0.438478218830334,1,1
"ENSG00000197461",2.86531794445109e-08,0.347107741507467,5,0,-0.437941296877935,1,0.833333333333333
"ENSG00000150773",1.53557763165763e-08,0.87401723533986,7,0,-0.437499843223249,1,1
"ENSG00000088836",3.95341694994446e-08,1,7,0,-0.437493794847048,1,1
"ENSG00000180198",2.97106270709758e-05,0.0511861491105937,6,0,0.436983471259671,1,0.833333333333333
"ENSG00000105619",0.00106067114237575,0.367545069293794,3,0,-0.436821455947918,1,1
