"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_UK_72hpi_adult_Infected-Basal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000158864"	"ENSG00000158864"	0.0273510026663197	0	2	2	0.125878833109881	1	1
"ENSG00000105438"	"ENSG00000105438"	0.0225831813974571	0	2	2	0.113526578612116	1	1
"ENSG00000140319"	"ENSG00000140319"	0.0352823388158491	0	2	2	-0.10994502256561	1	1
"ENSG00000134339"	"ENSG00000134339"	7.1800691903624e-05	0	2	2	0.104560800472915	1	1
"ENSG00000042753"	"ENSG00000042753"	0.000269379564215245	0	2	2	0.0866980421002846	1	1
"ENSG00000241343"	"ENSG00000241343"	5.14846092276299e-05	0	2	2	-0.0832059803057649	1	1
"ENSG00000187514"	"ENSG00000187514"	5.9264655163913e-06	0	2	2	0.0641740522865503	1	1
"ENSG00000186081"	"ENSG00000186081"	0.0215373951386684	0	2	2	0.0622245852034599	1	1
"ENSG00000107223"	"ENSG00000107223"	0.0274190367774478	0	2	2	0.0607245251317196	1	1
"ENSG00000169429"	"ENSG00000169429"	0.00505809941959946	0	2	2	-0.0579823065861689	1	1
"ENSG00000105677"	"ENSG00000105677"	0.0129563719379265	0	2	2	0.0574292550017205	1	1
"ENSG00000150782"	"ENSG00000150782"	0.00207071255979507	0	2	2	-0.0570964930421975	1	1
"ENSG00000143543"	"ENSG00000143543"	0.0127305827737725	0	2	2	0.0540371548684134	1	1
"ENSG00000178952"	"ENSG00000178952"	0.000125330088327449	0	2	2	-0.0512024718077201	1	1
"ENSG00000164032"	"ENSG00000164032"	1.7872066204233e-05	0	2	2	0.0499042761875924	1	1
"ENSG00000108298"	"ENSG00000108298"	0.000313787437548364	0	2	2	0.0493502563731451	1	1
"ENSG00000184009"	"ENSG00000184009"	0.00167737468988609	0	2	2	0.0427611968039382	1	1
"ENSG00000170889"	"ENSG00000170889"	2.48347793639386e-05	0	2	2	0.041930496615336	1	1
"ENSG00000118640"	"ENSG00000118640"	0.0170713803297555	0	2	2	-0.0374339346424272	1	1
"ENSG00000115268"	"ENSG00000115268"	0.0467975456016313	0	2	2	0.0214429578205102	1	1
"ENSG00000167996"	"ENSG00000167996"	9.26091375846336e-154	1.43669023157054e-130	4	1	-0.430133260495068	1	1
"ENSG00000211450"	"ENSG00000211450"	4.52033653601199e-186	3.42584062002568e-116	3	1	0.923100509315058	1	1
"ENSG00000147403"	"ENSG00000147403"	8.93632217883184e-257	4.38931784292838e-113	7	2	0.953761750506502	1	1
"ENSG00000089356"	"ENSG00000089356"	1.33578880915966e-101	6.3994176414238e-102	3	2	-0.444669574382826	1	1
"ENSG00000122026"	"ENSG00000122026"	5.63588563173088e-205	2.04573770720221e-100	4	1	-0.411417438233678	1	1
"ENSG00000163435"	"ENSG00000163435"	5.95243845605633e-179	3.00254996649356e-45	4	1	0.571556235831026	1	1
"ENSG00000143198"	"ENSG00000143198"	2.40494828958248e-73	3.99104065485663e-44	4	1	0.457730170509029	1	1
"ENSG00000170477"	"ENSG00000170477"	1.39959485186059e-48	1.40566230492887e-41	4	2	-0.479912118977947	1	1
"ENSG00000127184"	"ENSG00000127184"	1.43991727782943e-27	3.29205973455934e-29	3	2	0.215507273568604	1	1
"ENSG00000169567"	"ENSG00000169567"	8.77807645683109e-56	1.25850156247618e-26	5	1	-0.82432185767655	1	1
