"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Ciliated_UK_72hpi_child_Infected-Ciliated_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000077150",0.00462037814957853,0.288468586007745,7,0,-0.236587953082088,1,1
"ENSG00000278311",4.19580265183818e-11,1,7,0,-0.236353055749187,1,1
"ENSG00000089737",7.21116837490749e-10,1,8,0,-0.236198019429241,1,1
"ENSG00000105341",0.0111660436241666,0.444718682033338,4,0,0.235928365398417,1,1
"ENSG00000166333",2.68210038777343e-11,0.135900976410225,8,0,0.235888379561048,1,1
"ENSG00000153015",3.21126369334551e-05,1,3,0,-0.235060389405115,1,1
"ENSG00000080823",4.02898387739854e-07,1,10,0,0.23497335974661,1,1
"ENSG00000131871",1.55661761868123e-16,1,3,0,-0.234430036525058,1,1
"ENSG00000173540",0.0258294971029644,0.0382002267238195,4,1,-0.23358478545138,1,1
"ENSG00000165671",2.27075356022298e-08,0.844323608317029,8,0,0.233292140919267,1,1
"ENSG00000165782",0.0250193905989466,0.0389602049777076,4,1,0.233269668124682,1,1
"ENSG00000142230",0.000138765826413941,0.0469735018849303,4,1,-0.23281239408535,1,1
"ENSG00000135506",8.02387116323466e-15,0.147734905392807,5,0,0.232793468458708,1,1
"ENSG00000130066",4.35968433948482e-283,1.05745350961253e-72,6,1,-0.232779800875422,1,1
"ENSG00000162736",0.000578706116209906,0.0179701775554935,3,1,-0.232734355636558,1,1
"ENSG00000006625",2.96270774777852e-19,1.03840230343684e-20,3,2,0.232717207610929,1,1
"ENSG00000136827",0.000568085650327864,0.000213147991728489,3,1,0.232203409001453,1,1
"ENSG00000184216",0.00526875731316403,1,4,0,-0.232142001293538,1,1
"ENSG00000125844",2.47828165956824e-32,1,7,0,-0.23211832047634,1,1
"ENSG00000013441",6.60471066144791e-05,0.182383896725554,6,0,-0.23155587052987,1,1
"ENSG00000115274",1.79289316920471e-06,1,4,0,-0.231455523437691,1,1
"ENSG00000177981",0.0454347348495152,0,2,2,-0.231436635121002,1,1
"ENSG00000171124",1.47468665621631e-10,0.000104845437044006,8,1,0.230949918976948,1,1
"ENSG00000173588",4.67759774711148e-06,1,9,0,0.23076924957218,1,1
"ENSG00000105223",9.92614061876147e-19,0.0907727814419507,12,0,-0.230078789427405,1,1
"ENSG00000108588",0.00180468360341901,0.000423773652762829,3,1,-0.230011239514095,1,1
"ENSG00000151327",5.96629103070842e-06,0.1565467285181,4,0,-0.229579869602788,1,1
