"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_UK_72hpi_adult_Infected-Secretory_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000196683",1.02390810598378e-227,1,3,0,-0.989836395671737,1,1
"ENSG00000125691",1.02390810598378e-227,1,3,0,-0.98907883382054,1,1
"ENSG00000159128",6.68452909172457e-76,1,4,0,-0.988924693684175,1,0.666666666666667
"ENSG00000184209",1.09802213261986e-45,1,3,0,0.988266005188413,1,0.5
"ENSG00000017797",7.84121607266453e-34,1.23652603188617e-11,3,1,0.974810032211462,1,0.833333333333333
"ENSG00000174444",1.08594062551756e-38,6.65904428395069e-32,3,1,0.959819551708662,1,1
"ENSG00000104408",1.24006082891825e-155,1.37566359837994e-134,3,1,0.95637128378945,1,1
"ENSG00000108588",2.29372534137901e-54,1,4,0,0.956194001304322,1,0.833333333333333
"ENSG00000144028",2.27168890273287e-50,1,4,0,-0.95505369894702,1,1
"ENSG00000147403",1.02390810598378e-227,6.01658095867155e-299,6,2,0.954758792333376,1,1
"ENSG00000102900",1.35814786880423e-11,1,3,0,0.950906835761138,1,0.5
"ENSG00000109689",1.08930105585922e-19,9.97247292846858e-06,3,1,0.941931297816215,1,0.666666666666667
"ENSG00000203644",1.14624148415162e-10,1,3,0,-0.938881676278308,1,0.5
"ENSG00000134825",3.49774281567672e-11,2.47088613066074e-05,4,2,0.937750454752611,1,0.833333333333333
"ENSG00000185787",1.38313796534847e-106,1,6,0,0.937197247100893,1,1
"ENSG00000061676",2.42353069875948e-08,1,3,0,-0.935508763702928,1,0.5
"ENSG00000198130",4.4832972744561e-42,1,4,0,-0.934872730181684,1,1
"ENSG00000214113",1.80690062617337e-18,1,4,0,-0.93341717414967,1,0.666666666666667
"ENSG00000185973",1.24543049784093e-06,0.53089102482433,3,0,-0.93317248731781,1,0.5
"ENSG00000211450",1.02390810598378e-227,6.6989770843737e-242,3,1,0.92839522347796,1,1
"ENSG00000258818",1.71508079871431e-08,1,4,0,0.919721049545289,1,0.666666666666667
"ENSG00000167393",9.34184856429648e-14,0.600016094910145,3,0,-0.91941533536453,1,0.833333333333333
"ENSG00000167595",3.36728404106812e-09,0.0586650764130141,4,0,-0.916878435516563,1,0.666666666666667
"ENSG00000173947",2.40699080922333e-225,1,3,0,0.9166115039903,1,1
"ENSG00000171206",6.33756600940917e-12,1,5,0,0.915301473550135,1,0.5
"ENSG00000142675",1.65409366477399e-09,0.633036104562153,4,0,0.913130317075085,1,0.666666666666667
"ENSG00000077254",1.42727781521691e-07,0.0366376620106049,3,1,0.912204800063018,1,0.666666666666667
"ENSG00000204386",0.00859090170622926,0.0265297585580576,3,1,-0.909362153809317,0.833333333333333,0.5
"ENSG00000128626",3.35299813617389e-20,1.04696829711469e-08,3,1,-0.906873274096328,1,1
"ENSG00000196440",6.25718808800328e-09,0.279882820836382,4,0,-0.906867379030739,1,0.666666666666667
"ENSG00000004866",0.000297805392473156,0.00824645349639832,3,1,0.906591793438165,1,0.666666666666667
"ENSG00000124104",1.31583641671706e-07,1,3,0,0.9057950641195,1,0.666666666666667
"ENSG00000170296",1.47769487203306e-39,2.51959727919704e-05,5,2,0.905361372682827,1,1
"ENSG00000130985",1.64150389607673e-60,1,5,0,0.90522304644942,1,1
"ENSG00000171311",7.14378526962783e-13,3.07548715518917e-08,4,1,-0.904040975141285,1,1
"ENSG00000123505",6.12303648888271e-15,1,4,0,-0.903914511040544,1,0.833333333333333
"ENSG00000128989",9.2621487037404e-06,0.308778736255656,3,0,-0.903333118840803,0.833333333333333,0.666666666666667
"ENSG00000130164",2.06751566140041e-29,3.18227487999837e-27,3,1,-0.898969266254319,1,1
"ENSG00000186812",1.35814786880423e-11,0.000195296387235593,3,1,-0.898397650706526,1,1
"ENSG00000172845",2.60144665530968e-15,0.00136306310854056,4,1,0.89209273134424,1,0.833333333333333
"ENSG00000155749",2.66466739010021e-07,0.0908861312177845,3,0,0.885342685478271,1,0.666666666666667
"ENSG00000130396",2.67366118011654e-07,0.00125774811432319,3,1,0.88507263790291,1,0.833333333333333
"ENSG00000167522",1.69916177181812e-09,1,4,0,-0.884192983570012,1,0.666666666666667
"ENSG00000188659",1.14931754504259e-09,4.43179404539501e-11,5,1,0.884089848999436,1,0.666666666666667
"ENSG00000204381",5.04993206389202e-10,4.18160277651423e-05,3,2,-0.880548739794869,1,1
"ENSG00000157150",1.14443045864683e-07,0.699623941842669,4,0,-0.878982812186966,1,0.833333333333333
"ENSG00000152056",1.02998324809953e-09,1,4,0,0.878047211901158,1,0.833333333333333
"ENSG00000129951",1.21543566207407e-06,0.966388003037077,3,0,-0.877675115556993,1,0.666666666666667
"ENSG00000243667",0.00159998106709661,0.0347642280166584,3,1,-0.877203865200992,1,0.5
"ENSG00000205609",8.88945387143669e-63,1,4,0,0.876876833663425,1,1
"ENSG00000114270",1.38369296786975e-14,1,4,0,-0.8734038240005,1,0.666666666666667
"ENSG00000120963",3.16161781034023e-73,1,5,0,-0.872436472747096,1,1
"ENSG00000107959",5.77632475480217e-08,0.565995883025513,3,0,0.868738379216505,1,0.833333333333333
"ENSG00000116459",1.29486570135179e-32,2.04847448350831e-22,4,1,0.867750702621939,1,1
"ENSG00000174844",1.66324880224949e-05,1,4,0,0.866816495794073,0.833333333333333,0.5
"ENSG00000095002",2.75407550220018e-06,0.0277025576569062,3,1,-0.866645768724437,1,0.833333333333333
"ENSG00000116560",5.98369435584569e-12,0.00872664091172627,5,1,-0.863181350610336,1,1
"ENSG00000198830",6.88267340372551e-75,1.71284018379257e-11,5,1,0.861952165972639,1,1
"ENSG00000075151",2.35019724522654e-15,0.555055144980186,5,0,-0.861111031704503,1,1
"ENSG00000152904",2.16510946388996e-31,1,6,0,-0.859735897268605,1,0.833333333333333
"ENSG00000183431",1.35895856623098e-09,2.06559990970306e-10,3,1,0.85889370157221,1,0.833333333333333
"ENSG00000197728",4.9506166291425e-53,1.47558012543738e-54,3,3,0.857922821449598,1,1
"ENSG00000137975",1.31729548927052e-38,8.72955598116881e-22,3,1,0.856929907149641,1,1
"ENSG00000106012",6.82377369882788e-16,1,5,0,-0.854946411621128,1,0.666666666666667
"ENSG00000130818",1.3000388654916e-05,1,3,0,0.853972093112116,1,0.666666666666667
"ENSG00000169567",3.5615958715537e-77,1.45948620856459e-31,5,1,-0.853858049150578,1,1
"ENSG00000245910",2.02700225833594e-60,4.76890050920392e-52,4,1,0.848936967997551,1,1
"ENSG00000257727",1.39625025220369e-163,1,5,0,-0.842892617292539,1,1
"ENSG00000166734",1.58649929873852e-35,1,5,0,0.842879331891683,1,0.833333333333333
"ENSG00000185437",0.00545168946331964,1,4,0,-0.840998779274577,0.833333333333333,0.5
"ENSG00000067167",8.69709642640824e-32,1,4,0,-0.840817537975856,1,1
"ENSG00000089693",9.99782362835153e-17,6.98882328542663e-08,6,1,0.837126853054156,1,1
"ENSG00000100526",2.03905837341769e-09,1,5,0,0.836858266730275,1,0.5
"ENSG00000111605",8.08870534873643e-24,1,4,0,-0.835452729684278,1,0.833333333333333
"ENSG00000078140",1.69171422993889e-40,1,4,0,0.834850280448282,1,1
"ENSG00000073921",1.18075316613296e-12,0.371875296108253,5,0,0.833333333333333,1,0.833333333333333
"ENSG00000100271",3.93397458279609e-07,0.311453972604221,3,0,-0.82967493857159,1,0.833333333333333
"ENSG00000082212",2.19374166485326e-16,1,4,0,-0.827584799465118,1,1
"ENSG00000139323",1.78513722634747e-13,1,5,0,0.826482735947877,1,0.833333333333333
"ENSG00000115520",1.39762865080074e-08,1.61675803625229e-05,3,1,0.824006384970854,1,1
"ENSG00000115084",1.94878306809343e-14,1,5,0,0.823664459878449,1,1
"ENSG00000177570",7.76623581952749e-09,1,3,0,-0.820152904850285,1,0.666666666666667
