"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_uninfected_child_Uninfected-Cycling_basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000177830",0.000299918149126214,0.00432470658390829,4,1,0.634226607245804,1,1
"ENSG00000085511",0.0256616427066937,1,4,0,-0.626977234666657,1,1
"ENSG00000138119",0.00156497604341003,1,5,0,0.62694513715716,1,0.8
"ENSG00000029363",0.001606281738123,1,7,0,0.621636103074306,1,1
"ENSG00000186665",0.0291909002606098,1,6,0,0.61702016898022,1,1
"ENSG00000102738",4.81414124182348e-09,0.00579977014228117,4,1,0.614653883529428,1,1
"ENSG00000182934",0.0458117400588026,0.00637990648624025,4,2,0.608632463496876,1,1
"ENSG00000106682",0.0241188015879529,0.0285262358138713,3,1,-0.605550691113911,1,0.8
"ENSG00000077312",0.000611520121719943,1,5,0,-0.604531575462117,1,1
"ENSG00000167085",0.0230688535223583,0.0419537921332549,4,1,-0.603600034169578,1,0.8
"ENSG00000168300",0.00511803498601392,1,6,0,0.602935988346529,1,0.8
"ENSG00000119801",0.000913009099143633,1,8,0,0.599999999030551,1,1
"ENSG00000165175",0.0231906214321832,1,4,0,0.595804882810681,1,0.8
"ENSG00000100650",2.48085469228382e-20,5.48756796300833e-15,6,1,-0.593889261590617,1,1
"ENSG00000138107",0.0280192092893546,1,3,0,0.592256239511615,1,1
"ENSG00000165698",0.00830764078094708,1,6,0,0.591671043317056,1,0.6
"ENSG00000167986",0.0112928870965961,0.246284385712008,5,0,-0.589601653797769,1,1
"ENSG00000151239",0.0483515879542641,1,6,0,0.579704821758086,1,0.8
"ENSG00000149273",1.08595628955906e-319,0,2,2,-0.57463509444177,1,1
"ENSG00000174021",3.15749267310415e-28,0,2,2,-0.572615246286971,1,1
"ENSG00000115677",0.0010235789922168,1,4,0,0.569386149065329,1,0.8
"ENSG00000138772",3.10173042632235e-14,1,5,0,0.566134624432755,1,1
"ENSG00000178951",1.28588728702451e-07,0.536055116894585,6,0,-0.564599320066361,1,0.8
"ENSG00000164733",2.02192904784875e-14,1,12,0,0.562412669387491,1,0.6
"ENSG00000184432",7.09117994708283e-06,0.0174058112940064,5,1,-0.5499980601454,1,1
"ENSG00000111907",3.78781395759444e-05,0.000441376740034474,7,1,0.545567659473906,1,0.8
"ENSG00000187118",0.000460888363177288,1,9,0,-0.542609977450617,1,1
"ENSG00000021355",6.18247586239951e-07,0.00559552547342028,6,1,0.526480946455337,1,1
"ENSG00000161013",0.0233574900232915,0.00985110940357774,4,1,0.521299710695513,1,1
"ENSG00000108604",0.0205936448699644,1,4,0,0.5,0.8,0.8
"ENSG00000162521",0.0426546806864668,1,6,0,0.5,0.8,0.6
"ENSG00000149115",0.0120681070935564,1,10,0,0.499998420818665,1,0.6
"ENSG00000072110",1.8835746295671e-05,1,7,0,-0.499715433009296,1,1
"ENSG00000065054",0.00313119593439042,0.151205061457824,7,0,0.495388284203162,1,0.8
"ENSG00000165506",0.0350729030587732,1,5,0,0.490800905817289,1,0.6
"ENSG00000149196",3.3041684183107e-07,1,5,0,-0.484529299980083,1,1
"ENSG00000158234",0.0439242810379549,1,6,0,-0.480493729696001,1,0.8
"ENSG00000107372",6.83944819865646e-05,1,9,0,0.479803050991378,1,1
"ENSG00000115561",1.93481728905728e-12,1,7,0,-0.475587898376225,1,1
"ENSG00000137818",9.87525220754534e-08,2.59506735887675e-09,3,2,-0.466083468410678,1,1
"ENSG00000111328",0.0230688535223583,1,5,0,-0.464907027656185,1,0.6
"ENSG00000175334",0.00229038319435625,0.0156526219970411,7,1,-0.45147772163218,1,1
"ENSG00000175756",0.0403769116461063,0.00407861634304939,4,1,-0.451363965030627,1,1
"ENSG00000188739",0.0434473314633434,1,7,0,-0.449999771642609,1,1
"ENSG00000187954",4.92965511899869e-05,1,10,0,-0.448274172357027,1,0.6
"ENSG00000006007",0.0475966360916683,0.00976777796167138,3,2,-0.446945194740129,1,1
"ENSG00000157916",0.0367121555059968,0.107116663743841,4,0,0.444147419330738,1,1
"ENSG00000133665",0.0124146308080581,0.434598925654718,4,0,0.443691015383193,1,1
