"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Suprabasal_VIC01_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000138796"	"ENSG00000138796"	0.00182231161288166	0.00570494434007226	4	1	0.447744830319143	1	1
"ENSG00000204618"	"ENSG00000204618"	0.00255753376865675	0.00590922351191362	4	1	0.689538178463842	1	0.666666666666667
"ENSG00000184584"	"ENSG00000184584"	0.0176169417228169	0.00596926612103201	4	1	-0.427791704824323	1	1
"ENSG00000023191"	"ENSG00000023191"	0.0182147426404662	0.00626789876349533	5	1	0.212755934363885	1	1
"ENSG00000107949"	"ENSG00000107949"	6.66623709197061e-05	0.00665964535339648	4	1	-0.495048081863245	1	1
"ENSG00000154380"	"ENSG00000154380"	0.0124664440763712	0.00670364556914463	3	2	0.470657182197429	1	0.833333333333333
"ENSG00000170571"	"ENSG00000170571"	0.0144940653876251	0.00689655031628484	3	1	-0.75959530461889	1	0.666666666666667
"ENSG00000111834"	"ENSG00000111834"	0.00817352553657223	0.00700846673853066	3	1	0.55202817748493	1	0.833333333333333
"ENSG00000107372"	"ENSG00000107372"	0.000253768226686966	0.00710416427677245	4	1	0.394597826243649	1	1
"ENSG00000167136"	"ENSG00000167136"	1.4989658147524e-07	0.0078056860723661	3	1	0.220639627020805	1	1
"ENSG00000206199"	"ENSG00000206199"	0.0087579984050345	0.00976001816685137	4	1	-0.428262400985141	1	1
"ENSG00000067836"	"ENSG00000067836"	0.00481897269469515	0.0101086580175932	6	1	-0.484315780858416	1	1
"ENSG00000165175"	"ENSG00000165175"	9.86512088184289e-05	0.0105930221664769	4	1	0.495629642176755	1	1
"ENSG00000100225"	"ENSG00000100225"	0.00130581963810933	0.0107159255262476	5	1	0.494075086217481	1	0.833333333333333
"ENSG00000152904"	"ENSG00000152904"	0.00063814658324492	0.0107723536971813	5	1	0.609098387707718	1	0.833333333333333
