"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Suprabasal_VIC01_72hpi_child_Infected-Suprabasal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000169228",0.000483908703616684,0.710868739920337,5,0,0.623068055477955,1,1
"ENSG00000257727",1.61922203407115e-09,4.32306280251667e-05,4,1,-0.622877102528018,1,1
"ENSG00000178307",0.000253768226686966,0.15524634099347,4,0,-0.620470382579094,0.833333333333333,0.666666666666667
"ENSG00000168958",0.0484285675611054,0.696933867564505,4,0,0.619891235160253,1,1
"ENSG00000130414",7.28981660998055e-19,1.70959939144032e-17,3,1,0.617283845824437,1,1
"ENSG00000090263",2.99848153595375e-15,1,5,0,0.613791081723134,1,0.833333333333333
"ENSG00000115486",0.0476402637217514,1,3,0,-0.611219626700047,1,0.666666666666667
"ENSG00000133818",7.32924614157338e-06,0.0349599340668921,5,1,-0.611165822109116,1,0.833333333333333
"ENSG00000077312",0.000645393194311062,0.890343908482108,3,0,0.609613938640561,1,1
"ENSG00000152904",0.00063814658324492,0.0107723536971813,5,1,0.609098387707718,1,0.833333333333333
"ENSG00000092820",1.05369051980494e-05,0.000116269773840649,5,1,0.606550053309756,1,1
"ENSG00000117228",1.54164660614468e-06,0.0306909756831588,5,1,-0.6022120401451,1,0.666666666666667
"ENSG00000044115",0.00277557968808767,0.0278445238338723,4,1,0.600375792617502,1,1
"ENSG00000133275",0.0302623340024175,0,2,2,-0.60002715105599,1,1
"ENSG00000185650",8.1930754265643e-15,0.738249916909118,5,0,-0.599996835823463,1,1
"ENSG00000283103",0.00365210278605301,1,4,0,-0.596989386013297,0.833333333333333,0.666666666666667
"ENSG00000167978",3.74970082168344e-05,1,9,0,0.596119274758169,1,0.5
"ENSG00000118181",1.46831358053643e-185,1,3,0,-0.59542708560331,1,1
"ENSG00000135205",0.00141579910376526,0.722856050523288,4,0,-0.592471465812693,1,0.666666666666667
"ENSG00000143398",0.00818327795750862,0.968743540113972,3,0,-0.590551336003745,0.833333333333333,0.666666666666667
"ENSG00000152492",0.0288027570174173,0.700792960900338,3,0,-0.589881903269929,1,0.666666666666667
"ENSG00000184227",0.0394234857741792,0,2,2,-0.587946742361676,0.833333333333333,0.833333333333333
