"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_UK_72hpi_child_Infected-Cycling_basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000105856",0.01051515232999,1,4,0,-0.638540228343399,1,1
"ENSG00000168268",0.0371204221610988,0.0241231237158644,4,1,0.638442617330746,1,0.8
"ENSG00000168259",3.12152357604065e-06,0.00404320616033939,3,1,-0.634447074156775,1,1
"ENSG00000173801",2.55146758759795e-09,0.271139048755027,7,0,0.633600551014279,1,0.8
"ENSG00000067167",0.0120054757757718,0.820961909038464,5,0,0.621958284525392,1,1
"ENSG00000114779",0.0142473477808481,0.309178663044336,4,0,0.6164170245834,1,1
"ENSG00000138119",1.5421845032773e-05,1,6,0,-0.61538514760483,1,0.8
"ENSG00000102738",9.83235505612268e-05,0.447430051050938,4,0,-0.60871481452845,1,1
"ENSG00000163399",1.46566188276685e-06,0.000314212075500054,6,1,-0.5999084631667,1,1
"ENSG00000165175",0.0172294456827998,1,4,0,-0.597463731644999,1,0.8
"ENSG00000163435",1.61151594795332e-30,5.61718826683326e-06,6,1,0.594785291088125,1,1
"ENSG00000119801",0.00357248209694774,1,6,0,-0.591574606225708,1,1
"ENSG00000163634",0.00322035343181886,1,4,0,-0.580773363548552,1,1
"ENSG00000149084",0.00811811341720923,0.00442897153184569,4,1,-0.575527996694086,1,1
"ENSG00000149273",4.44871727395564e-75,1.21189357607912e-10,8,1,-0.574639185430216,1,1
"ENSG00000105835",0.0432964593987447,0.101067338848994,4,0,-0.573673072312221,1,0.8
"ENSG00000123395",0.0106076068230738,0.00300661457083514,4,1,0.57152196145152,1,1
"ENSG00000104695",8.62364112244772e-08,1,5,0,0.558997768653687,1,1
"ENSG00000143321",2.34746588578921e-07,1,8,0,0.554054051325206,1,0.6
"ENSG00000060237",0.00451812279859334,1,8,0,-0.545454545454545,0.8,0.6
"ENSG00000155660",0.0273606554128205,1,5,0,0.538461479820645,1,1
"ENSG00000021355",0.0207701125713322,1,4,0,-0.524813266477266,1,1
"ENSG00000147813",2.76425546138365e-05,1,8,0,-0.521928938857433,1,1
"ENSG00000177459",0.0111605133545648,1,3,0,-0.52050351939243,1,1
"ENSG00000164172",0.0443782807851866,1,5,0,0.519203775732894,1,1
"ENSG00000100650",5.00668491530001e-23,4.99209671008342e-11,7,1,0.518064536323132,1,1
"ENSG00000196937",0.0171488290029554,0.140269713794711,3,0,0.515256068996146,1,1
"ENSG00000150093",4.71022087477163e-06,1,4,0,0.514980346790708,1,1
"ENSG00000110321",2.53605187784474e-06,0.0161104538477091,10,1,0.508844747624189,1,1
"ENSG00000162076",0.00421572403016509,0.260824248537909,5,0,-0.499775703153616,1,1
"ENSG00000111907",0.0338714050339161,0.0826827171070404,9,0,-0.497295634229618,1,1
"ENSG00000143947",3.96700780130568e-55,0,2,2,0.462891530511589,1,1
"ENSG00000112110",0.000319479663910979,1,4,0,-0.444994616018025,1,1
"ENSG00000082898",3.38772181966752e-05,1,7,0,-0.444445327549305,1,0.8
"ENSG00000001084",0.0274144146520054,1,7,0,-0.442471839893194,1,0.8
"ENSG00000160113",0.0252130172810959,0.0061816841526963,3,2,0.441989737960909,1,1
"ENSG00000025708",1.14058481982712e-05,1,9,0,0.441531204074927,1,1
"ENSG00000143153",8.779593728708e-06,1,4,0,-0.43497584422872,1,1
"ENSG00000187954",0.00526875705778449,1,13,0,-0.426802212943085,1,1
"ENSG00000129625",0.000262336384873044,0.000222464223833732,3,1,-0.426160675288419,1,1
"ENSG00000184709",0.0252130172810959,1,3,0,-0.420060413847955,1,1
"ENSG00000138674",0.0469017715991492,1,6,0,-0.415826809580828,1,1
"ENSG00000132254",0.00400470776861417,1,9,0,-0.414424660273743,1,1
"ENSG00000063854",9.5129886021548e-05,1,6,0,-0.398699459732812,1,1
"ENSG00000112096",7.60265930601427e-05,1,9,0,-0.397242047109854,1,0.8
"ENSG00000141002",0.00155414244023735,1,12,0,0.394454616293488,1,0.8
"ENSG00000100359",0.00304199156455507,1,11,0,0.394276039406159,1,0.6
"ENSG00000270647",0.00460581359414262,1,8,0,-0.389610411588962,1,1
"ENSG00000125944",1.89394621284493e-07,0.259116884218789,12,0,-0.384091303680335,1,0.8
"ENSG00000241468",6.25730321817197e-12,2.8597127482201e-05,3,1,0.384035958117063,1,1
"ENSG00000117395",1.37066613787583e-06,1,7,0,-0.381743753263791,1,1
"ENSG00000157601",0.0120292556127424,1,5,0,-0.381637843401728,1,0.8
"ENSG00000137818",3.72210261645705e-06,1.5920459434954e-07,3,2,0.380344500167705,1,1
"ENSG00000184110",0.00903467798335784,1,6,0,0.379394417019152,1,1
"ENSG00000122026",7.99396689440688e-39,5.10417736247456e-20,3,1,0.368609979623347,1,1
"ENSG00000119333",0.017163795861592,1,6,0,-0.364225948576221,1,1
"ENSG00000178057",0.0277550151643496,1,7,0,0.360385788530082,1,1
"ENSG00000141232",0.0287063028887722,0.00667921800194763,3,2,0.360235999534943,1,1
"ENSG00000142192",5.46987779273236e-05,0.00581218987601125,9,1,-0.359667369634285,1,1
"ENSG00000178741",6.02170183689684e-14,0.0219479081505577,3,1,-0.349502967579111,1,1
"ENSG00000110492",0.000225661315602123,0.604606115388818,7,0,0.34871956650965,1,1
"ENSG00000130066",9.33900327145039e-21,3.46057302807375e-11,6,1,-0.348628095926524,1,1
"ENSG00000173812",1.89394621284493e-07,8.70725742319764e-07,5,3,-0.343725315486451,1,1
"ENSG00000067225",3.78183004952156e-13,1.73897990606278e-05,7,1,0.337697547501397,1,1
"ENSG00000172239",0.00422737716904528,1,10,0,0.333759289086834,1,1
"ENSG00000169062",0.00612195752774991,1,11,0,-0.322213225379731,1,0.6
"ENSG00000100360",0.0157689528567299,1,5,0,-0.30489985599528,1,1
"ENSG00000158864",0.0390049082944733,0.0168667951153887,3,1,0.300857454949228,1,1
"ENSG00000102854",0.00304199156455507,0.237211948514057,14,0,0.29999999999789,1,1
"ENSG00000131981",1.13612442875387e-40,3.84696129415435e-17,3,1,-0.298557885870497,1,1
"ENSG00000171314",1.91215860272934e-08,1,4,0,-0.297659878394869,1,1
"ENSG00000130429",1.33969070667043e-10,2.3053631287805e-08,5,1,0.297411391592744,1,1
"ENSG00000100219",0.00155414244023735,0.0888888743089819,7,0,-0.296044623448722,1,1
"ENSG00000167978",8.32735870527848e-06,1,17,0,0.291517033775875,1,0.8
"ENSG00000006625",0.0363310918514317,0.107921086929321,3,0,-0.289374002806156,1,1
"ENSG00000081870",0.000262084225498341,1,7,0,-0.285716517624363,1,1
"ENSG00000178951",0.00827244224716533,1,6,0,-0.285714285706301,1,1
"ENSG00000109861",0.0022921589140997,1,6,0,0.280166515550286,1,1
"ENSG00000115641",0.0320910090244276,1,8,0,-0.279194929620671,1,1
"ENSG00000160789",0.00825401892347578,1,7,0,0.27817014551542,1,1
"ENSG00000092199",0.00964160849503217,1,15,0,-0.267365110925976,1,1
"ENSG00000146540",0.0443782807851866,1,4,0,-0.26397521051946,1,1
"ENSG00000171604",0.0236689275941727,1,8,0,0.260365838930081,1,1
"ENSG00000197956",4.82107139041295e-223,1,3,0,-0.256807230524848,1,1
"ENSG00000115561",3.12896362944589e-05,1,5,0,0.256708203552772,1,1
"ENSG00000156976",0.00322035343181886,0.0297099814347415,8,1,-0.254888021932006,1,1
"ENSG00000111142",0.0291481204972138,1,6,0,-0.245130851367721,1,1
"ENSG00000116754",0.00811811341720923,1,12,0,0.244296415217803,1,0.8
"ENSG00000163466",0.000145991691919331,1.49374740160055e-05,5,1,-0.24255080436144,1,1
"ENSG00000169223",0.000384892197532362,1,3,0,-0.235993196054186,1,1
"ENSG00000272398",2.03991382222929e-05,0.771627609181022,4,0,0.230092618912493,1,1
"ENSG00000100129",1.81135828277363e-06,1,11,0,-0.227831058329653,1,1
"ENSG00000143870",0.0157689528567299,0.67827161378162,4,0,-0.226517667475406,1,1
"ENSG00000142765",9.37315489915721e-05,1,8,0,0.225697537477352,1,1
"ENSG00000128309",0.00316900881943175,1,6,0,0.223649623348005,1,1
"ENSG00000173598",0.0343849848963975,1,4,0,0.223575744281879,1,1
"ENSG00000104964",1.07889884228857e-05,1,11,0,-0.221863757414947,1,1
"ENSG00000198242",4.8372597981304e-07,1,4,0,-0.21642529820579,1,1
"ENSG00000114942",1.48294536702537e-26,2.79794948248396e-16,3,1,0.216365669219786,1,1
"ENSG00000115484",0.00325904897460246,1,6,0,0.215906474847204,1,1
"ENSG00000163660",0.0455053339674897,1,11,0,-0.215575829153292,1,1
"ENSG00000189403",5.96961806145907e-08,1,7,0,0.213222504782283,1,1
"ENSG00000172757",7.15236840914812e-05,0.0679496246086321,5,0,-0.213108496001653,1,1
"ENSG00000127314",0.00325904897460246,1,8,0,0.210306611157153,1,1
"ENSG00000152795",0.000172120465532514,1,7,0,-0.208333900333212,1,1
"ENSG00000166145",0.0177302885448908,1,11,0,-0.200992506755505,1,1
"ENSG00000115875",3.84680701220301e-05,1,7,0,-0.197792547233413,1,1
"ENSG00000198355",0.00162766947782552,1,6,0,0.197421623946023,1,1
"ENSG00000166710",0.00109199270605562,1,7,0,-0.194371585913352,1,1
"ENSG00000120129",5.46987779273236e-05,3.33823111658665e-06,4,1,0.186719006427351,1,1
"ENSG00000008282",0.00108645740782717,1,6,0,-0.185185448668068,1,1
"ENSG00000154582",6.0655224970026e-05,1,15,0,-0.177142574039129,1,1
"ENSG00000165119",0.0369298192698704,1,8,0,0.175961269921637,1,1
"ENSG00000117525",0.00160478599481237,1,4,0,0.171221088166462,1,1
"ENSG00000118816",0.000603122577380678,1,3,0,0.164454368011801,1,1
