"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Basal_VIC01_72hpi_child_Infected-Basal_uninfected_child_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000173812"	"ENSG00000173812"	3.78066165581536e-15	5.02920919798609e-16	3	1	-0.311758993705379	1	1
"ENSG00000178741"	"ENSG00000178741"	2.02795639486753e-25	1.60854519562575e-15	3	1	0.523183769914614	1	1
"ENSG00000143416"	"ENSG00000143416"	1.15286474059123e-28	2.88002735750905e-15	5	1	-0.819313803973512	1	1
"ENSG00000173486"	"ENSG00000173486"	4.33864044882722e-18	3.39264679256898e-14	3	1	0.595336164868769	1	1
"ENSG00000173457"	"ENSG00000173457"	1.10095605010203e-22	1.20441957107116e-12	3	1	0.569339942701619	1	1
"ENSG00000051620"	"ENSG00000051620"	1.19221790252309e-19	1.39713117782856e-11	4	1	0.523809796175654	1	1
"ENSG00000088832"	"ENSG00000088832"	1.09802060455132e-14	6.61164100005179e-11	4	1	0.614130364919933	1	1
"ENSG00000113387"	"ENSG00000113387"	2.95464370545282e-21	9.69615292674132e-11	3	2	-0.839308860735888	1	1
"ENSG00000080824"	"ENSG00000080824"	3.94478504940268e-12	2.97736052978461e-10	3	1	-0.51920336742737	1	1
"ENSG00000021355"	"ENSG00000021355"	8.71145028083721e-13	1.15338608161975e-09	3	1	0.70724275229558	1	0.833333333333333
"ENSG00000104529"	"ENSG00000104529"	1.76596891702478e-09	1.19226638109133e-09	4	2	0.406486771115794	1	1
"ENSG00000163466"	"ENSG00000163466"	3.91006795383183e-08	2.30313889734999e-09	3	1	-0.224817096130677	1	1
"ENSG00000115457"	"ENSG00000115457"	1.51848759968196e-09	2.36556767213314e-09	3	2	-0.259675212236367	1	1
"ENSG00000245694"	"ENSG00000245694"	7.58543671986568e-18	3.37784088468895e-09	6	1	-0.59135531794254	1	1
"ENSG00000070756"	"ENSG00000070756"	1.32186478162349e-16	4.58709093890529e-09	6	1	0.450896127459525	1	1
"ENSG00000025708"	"ENSG00000025708"	1.41664662198419e-18	5.75057357125693e-09	5	2	0.543045262373919	1	1
"ENSG00000104695"	"ENSG00000104695"	9.44997861947604e-12	2.58702796549887e-08	5	1	0.495901852585555	1	1
"ENSG00000185825"	"ENSG00000185825"	1.13949697700424e-09	2.62686891668681e-08	4	1	-0.416785400772115	1	1
"ENSG00000023191"	"ENSG00000023191"	3.71778703383138e-07	4.08005295810133e-08	5	2	-0.403948679069131	1	1
