"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Basal_VIC01_72hpi_child_Infected-Basal_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000148700",0.000266787904152278,6.44445500339602e-05,3,1,-0.716252111269074,1,1
"ENSG00000138162",0.000421780622986282,1,5,0,-0.716133692691151,1,0.5
"ENSG00000213246",1.14988669707569e-05,0.00236102777797313,4,1,0.714151974771508,1,1
"ENSG00000187118",3.52671684863168e-09,1,5,0,-0.711337358307098,1,1
"ENSG00000230124",1.81204927177471e-11,1,5,0,0.711294814364032,1,1
"ENSG00000021355",8.71145028083721e-13,1.15338608161975e-09,3,1,0.70724275229558,1,0.833333333333333
"ENSG00000167272",3.85327677268286e-05,1,6,0,0.698989121989872,1,0.5
"ENSG00000140254",0.0157670046090662,0.0188280901951973,3,1,0.697184854455328,1,0.666666666666667
"ENSG00000125743",0.034646321502231,1,3,0,0.695206233183825,1,0.666666666666667
"ENSG00000156413",0.000197229268904066,1,5,0,0.693251467084183,1,0.666666666666667
"ENSG00000149929",0.00717645105824232,1,4,0,-0.685527980045358,1,0.5
"ENSG00000105220",7.19939650343588e-11,1,5,0,0.684210522211308,1,0.5
"ENSG00000092820",0.00179777104546529,0.39232756771914,4,0,-0.680144448416902,1,0.833333333333333
"ENSG00000102024",0.0320117263398037,0.0212532050020201,4,1,-0.672506640990171,1,0.833333333333333
"ENSG00000224383",0.00529034947563646,1,3,0,0.671901738651039,0.833333333333333,0.666666666666667
"ENSG00000110536",0.0195735002711841,1,6,0,-0.666666666666672,1,0.666666666666667
"ENSG00000167699",1.10929023519524e-05,1,5,0,-0.666664687377443,1,0.833333333333333
"ENSG00000076554",7.47649619471164e-13,1,8,0,0.665235814967665,1,0.666666666666667
"ENSG00000244879",0.0118060127477189,0.0394184318704604,4,1,-0.662555635603966,1,0.666666666666667
"ENSG00000151239",5.67906747263416e-06,0.0664165163926142,5,0,-0.65998938676134,0.833333333333333,0.666666666666667
"ENSG00000159658",0.0222927312123515,1,3,0,0.657937481977467,1,0.833333333333333
"ENSG00000108588",2.8716019176397e-07,0.00113599881048009,3,1,-0.656720090668486,1,1
"ENSG00000152558",1.75762553801494e-09,1,3,0,0.655242343339022,1,1
"ENSG00000169599",4.75845338090347e-08,1,6,0,0.654157960277622,1,0.5
"ENSG00000143153",8.86075369750688e-10,0.562208774098725,4,0,0.653423369312711,1,1
"ENSG00000164062",0.00345653647539731,1,3,0,0.653391280550129,0.833333333333333,0.666666666666667
"ENSG00000093010",2.42471610875993e-11,1,8,0,-0.652469132487484,1,0.833333333333333
"ENSG00000166869",6.64959252239673e-06,0.166832375037282,3,0,0.639287423867304,1,1
"ENSG00000137492",0.00140568299436285,0.102193189865657,4,0,-0.63856571370478,0.833333333333333,0.666666666666667
"ENSG00000189403",1.05660082747542e-67,1,6,0,0.637230399368284,1,1
"ENSG00000137699",0.00270183293332129,0.001163867181255,3,1,-0.635980728086538,1,0.833333333333333
"ENSG00000146072",0.000987715235577886,0.024205974298029,3,1,0.634367173981225,1,1
"ENSG00000183255",7.42377927078741e-06,8.65370795368208e-05,4,1,0.625957675796369,1,0.833333333333333
"ENSG00000029993",0.019848892109297,0.0278361957244926,4,1,-0.62299886886129,1,1
"ENSG00000113240",0.0117149956172018,1,4,0,-0.61916540265425,1,0.833333333333333
"ENSG00000092108",1.68185794691997e-09,1,7,0,-0.619046954848532,1,0.833333333333333
"ENSG00000132356",0.0227509820829819,0.731982981780433,3,0,-0.617180453871041,1,1
"ENSG00000175582",0.0356060535934598,1,4,0,0.61525730412535,1,0.833333333333333
"ENSG00000088832",1.09802060455132e-14,6.61164100005179e-11,4,1,0.614130364919933,1,1
"ENSG00000055211",0.00350411632506602,0,2,2,-0.610030700270317,1,0.833333333333333
"ENSG00000109339",0.00135293861489532,0.00150060129421203,10,1,-0.603065468040311,1,0.833333333333333
"ENSG00000130702",0.00889231439686631,1,5,0,-0.599999999999989,1,0.666666666666667
"ENSG00000158423",0.000782056305304334,1,6,0,-0.599999998402114,1,0.666666666666667
"ENSG00000114126",0.0435408537716414,1,6,0,-0.599998953673056,0.833333333333333,0.666666666666667
"ENSG00000106105",0.00143404752304087,1,7,0,-0.598648985988807,0.833333333333333,0.833333333333333
"ENSG00000165175",5.45563459026243e-08,1,4,0,0.598239412925506,1,1
"ENSG00000173486",4.33864044882722e-18,3.39264679256898e-14,3,1,0.595336164868769,1,1
"ENSG00000118181",3.13520425516802e-181,1,3,0,-0.591644423932481,1,1
"ENSG00000245694",7.58543671986568e-18,3.37784088468895e-09,6,1,-0.59135531794254,1,1
"ENSG00000198692",0.00555182132654463,0,2,2,0.589315352999537,1,1
"ENSG00000143398",0.0328116476516365,1,3,0,-0.588088432415212,0.833333333333333,0.666666666666667
"ENSG00000127022",2.81829280460909e-10,0.00599834168872846,5,1,-0.587652056581602,1,1
"ENSG00000214046",5.50347087452099e-06,1,7,0,-0.586557678224656,1,0.833333333333333
"ENSG00000169228",0.0110321312070343,1,4,0,0.58545047515733,0.833333333333333,0.833333333333333
"ENSG00000138772",4.99325826403949e-20,1,4,0,0.581095809539183,1,1
"ENSG00000260916",2.4676597931043e-10,1,5,0,0.581008663480589,1,0.833333333333333
"ENSG00000172845",0.00277257440095029,0.0245401542475373,5,1,-0.575757575757572,1,0.833333333333333
"ENSG00000140575",0.000333564891203144,1,5,0,0.575446669715948,0.833333333333333,0.5
"ENSG00000263001",1.53598232945157e-06,0.00341472133138157,4,1,0.575147329152144,1,0.833333333333333
"ENSG00000006118",0.00232062486284496,0.0507219940369535,3,0,-0.574169810414246,1,0.833333333333333
"ENSG00000079805",0.000360062078383327,1,5,0,-0.571260639166916,1,0.833333333333333
"ENSG00000108784",0.0303902388683184,1,4,0,-0.570557760602906,1,0.833333333333333
"ENSG00000116212",0.0152721719356927,0.00803577556330723,4,1,-0.569577971911446,1,1
"ENSG00000173457",1.10095605010203e-22,1.20441957107116e-12,3,1,0.569339942701619,1,1
"ENSG00000138119",2.95322594558592e-13,1,4,0,-0.569261141350838,1,1
"ENSG00000077312",0.00143404752304087,1,3,0,-0.568887851174926,1,1
"ENSG00000172590",0.0446216015654863,1,5,0,-0.568624716592658,0.833333333333333,0.666666666666667
"ENSG00000151491",0.0183878849632108,1,3,0,0.56850047307642,1,0.833333333333333
"ENSG00000175221",0.0025118433586392,1,4,0,-0.568047380643932,0.833333333333333,0.666666666666667
"ENSG00000036054",1.07205474234152e-05,1,6,0,0.559999740010606,1,0.833333333333333
"ENSG00000189376",3.39362419793903e-10,1,6,0,-0.55898528196509,1,1
"ENSG00000248508",0.016803967476399,1,4,0,0.552345788176528,0.833333333333333,0.666666666666667
"ENSG00000167978",1.30529060672658e-05,1,9,0,-0.551045726141486,1,0.666666666666667
"ENSG00000099326",0.00125723193419698,0.187298934444468,4,0,0.549520044483444,1,0.666666666666667
"ENSG00000025708",1.41664662198419e-18,5.75057357125693e-09,5,2,0.543045262373919,1,1
"ENSG00000163399",1.15458274828493e-27,0.00718108854576371,5,1,-0.542568605595894,1,1
"ENSG00000117226",0.00055769625011162,1,7,0,0.541665750074005,1,0.666666666666667
"ENSG00000156256",0.0210105385041784,1,4,0,0.541571947055116,0.833333333333333,0.5
"ENSG00000089356",1.21114355423951e-64,2.90299894491216e-63,3,2,0.539995683698285,1,1
"ENSG00000083535",0.0480469240803758,0,2,2,-0.537584327110292,1,1
