"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_UK_72hpi_child_Infected-Secretory_uninfected_child_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000143294",0.0102190807475326,0.010691340713422,3,1,-0.33677863536203,1,1
"ENSG00000133115",0.00378188180804506,0.0295835440384513,3,1,-0.336023620932785,1,1
"ENSG00000161267",0.0101925741854276,0.150876580299317,3,0,-0.334492116065719,1,1
"ENSG00000077150",7.43568520163608e-05,0.011707232189032,7,1,-0.334224282273668,1,0.666666666666667
"ENSG00000070756",2.45145948197481e-101,3.52864986917086e-13,7,1,-0.3338020146464,1,1
"ENSG00000166965",0.0250464361849675,0.909994971535732,3,0,-0.333493915890179,1,1
"ENSG00000113240",1.36215193840799e-06,0.0587569016002013,9,0,-0.333333335607263,1,0.833333333333333
"ENSG00000119723",0.000510487199229276,1,5,0,0.333333323849443,1,1
"ENSG00000114107",0.000189524168364028,0.432881074096227,6,0,-0.33333182170968,0.833333333333333,0.666666666666667
"ENSG00000166401",0.00703936950457715,1,9,0,-0.333330207166648,1,0.833333333333333
"ENSG00000116747",0.00184548098210719,1,6,0,0.333125597504571,1,1
"ENSG00000070087",0.00134281699692482,0.124182500677042,4,0,-0.332966846416807,1,1
"ENSG00000185055",1.72327265710753e-06,0.587219596525144,5,0,0.332821656186494,1,1
"ENSG00000145740",2.53368884299587e-07,1,6,0,0.332705483178968,1,1
"ENSG00000242247",0.000287798257970148,0.000737336772644589,3,1,0.332493103967996,1,1
"ENSG00000133316",7.75388716838527e-07,0.00301336312534103,5,1,0.332407898446634,1,1
"ENSG00000154080",0.00362530702236681,0.00053507934255983,3,1,-0.332012517654676,1,1
"ENSG00000134077",0.0230087887991471,0.127369185291046,3,0,-0.331132662243938,1,0.833333333333333
"ENSG00000139437",9.67462755260381e-07,1,8,0,-0.331048744206583,1,1
"ENSG00000198729",1.75031103262763e-18,0.0928614366516019,5,0,-0.329776799744947,1,1
"ENSG00000125944",1.77253907958823e-43,8.6914522271834e-05,9,1,-0.329140222825395,1,1
"ENSG00000175029",1.59467794348191e-08,1,7,0,0.327287908638755,1,1
"ENSG00000167397",0.00221573079224032,0.000188214731095653,4,2,-0.326524221976705,1,1
"ENSG00000107164",9.24484447398177e-05,0.0890390386301014,3,0,0.325685367292553,1,1
"ENSG00000113368",0.00553991924691922,0.206598274633026,3,0,-0.325065164894017,0.833333333333333,0.833333333333333
"ENSG00000103005",0.00459525273226055,1,3,0,-0.324888406113522,1,1
"ENSG00000145632",1.79610512242213e-12,2.42386213400327e-05,3,1,0.32472559295825,1,1
"ENSG00000235098",2.78611277444666e-09,0.00457295267902398,9,1,-0.324521612390011,1,1
"ENSG00000167978",2.96662305413836e-48,0.35973788605063,14,0,0.323699326650598,1,1
"ENSG00000104450",9.79414131044212e-06,0.13886986133992,7,0,0.32322247951161,1,1
"ENSG00000086544",0.000467558735366356,1,4,0,0.322129267108832,0.833333333333333,0.833333333333333
"ENSG00000189171",1.3582260826306e-05,0.00062641911398451,4,1,-0.321460631136826,1,1
"ENSG00000104067",1.22591367775324e-09,1,4,0,0.320495889959602,1,1
"ENSG00000239305",0.00776585092314079,1,4,0,-0.320349751826523,1,1
"ENSG00000157870",0.0111142955812632,1,5,0,-0.320156662988004,1,0.833333333333333
"ENSG00000163584",4.66727588821745e-28,3.24755609799344e-13,3,1,0.320052749439926,1,1
"ENSG00000147654",3.04164298370779e-16,1,4,0,-0.320003632624039,1,1
"ENSG00000243989",0.00791755309287052,0.0168853991787513,4,1,-0.319790592624721,1,1
"ENSG00000131187",0.0414290839058551,1,6,0,0.319599788663884,1,1
"ENSG00000141298",0.00025436231925764,0.0125707884866771,5,1,-0.319549029981588,1,1
"ENSG00000198055",0.000154930187050397,0.0261944183807455,6,1,-0.319149827592743,1,0.833333333333333
"ENSG00000225470",2.53319585395987e-18,1,9,0,-0.319098152263353,1,0.833333333333333
"ENSG00000142188",0.000176942060961762,0.0833790285013073,3,0,-0.318815709707196,1,1
"ENSG00000145014",1.62759143968633e-05,0.10848913760686,9,0,-0.318797133552988,1,0.833333333333333
"ENSG00000173272",1.19450705379813e-18,1.22564378924892e-06,3,1,-0.318715894720598,1,1
"ENSG00000167165",0.0220795725898765,0.0061635599046418,3,1,0.31740280362321,1,1
"ENSG00000115486",0.00480469143922477,1,5,0,-0.317275034713784,1,1
"ENSG00000122644",3.96521139610121e-11,1.8441433281638e-09,5,2,-0.317097275743328,1,1
"ENSG00000173812",1.5983556307756e-45,7.50603301422262e-39,4,1,-0.31634156908408,1,1
"ENSG00000111142",1.70714514565594e-19,0.00585106260947193,7,1,-0.316066301640939,1,1
"ENSG00000008838",0.000412393402203098,1,6,0,0.315788816068811,1,0.833333333333333
"ENSG00000143224",0.00250054102441981,0.0469300253260753,8,1,0.315334075180592,1,1
"ENSG00000139644",2.69501236580556e-13,7.12888280919642e-05,3,1,-0.315111816148363,1,1
"ENSG00000108669",0.000153712099011532,0.238803213702652,6,0,0.314676073129122,1,0.833333333333333
"ENSG00000105323",0.0360150535674662,0.314212752336148,5,0,0.314108314216266,1,1
"ENSG00000132305",0.0295908131141559,0.00649064615933051,3,1,0.313685581604669,1,1
"ENSG00000138119",5.56307536791125e-28,1,6,0,0.313364973889754,1,1
"ENSG00000108784",2.83254142460174e-05,0.000413505365119244,4,1,0.313334475456525,1,1
"ENSG00000065357",0.000339691591413179,1,9,0,-0.313281516012507,1,0.833333333333333
"ENSG00000154582",2.4616590557476e-53,1,10,0,0.312894247131953,1,1
"ENSG00000163932",2.68176041305827e-05,0.0547599839298684,6,0,-0.312502528876726,1,1
"ENSG00000151498",0.000123353573415531,1,4,0,-0.312321390942038,1,1
"ENSG00000181038",8.24275450252236e-13,0.000222639578989952,9,1,-0.31170215472378,1,1
"ENSG00000145779",6.68450683136885e-12,9.14278809752476e-05,7,2,0.311693985299399,1,1
"ENSG00000093134",1.09441681389372e-07,0.0245648382766913,11,1,-0.311541773649509,1,0.833333333333333
"ENSG00000053254",6.47577449509327e-10,1,7,0,-0.310941500596292,1,0.833333333333333
"ENSG00000156515",0.00206543193592975,0.034523525132783,3,1,0.310878051343152,1,1
"ENSG00000103353",0.0365526781664996,1,3,0,0.310643007650196,1,1
