"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Secretory_Ciliated_UK_72hpi_child_Infected-Secretory_Ciliated_UK_72hpi_adult_Infected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000143321",0.0123387969030888,1,6,0,0.52709584728141,1,0.6
"ENSG00000241468",4.61967994165189e-17,1.213232501457e-11,4,1,0.526924908633471,1,1
"ENSG00000138777",0.0140045949600299,1,6,0,-0.523337864046463,1,1
"ENSG00000120438",0.0340696908618763,1,6,0,0.517240256439663,1,1
"ENSG00000089356",4.43626774704116e-36,1.62187567527599e-35,4,2,-0.514113339401461,1,1
"ENSG00000150779",0.0253733779864,0.524499388844749,4,0,-0.505208022029117,1,1
"ENSG00000131508",0.00384647983846367,1,5,0,-0.500120740775776,1,0.8
"ENSG00000111142",0.010296638396392,1,6,0,0.500000338908412,1,1
"ENSG00000140905",3.69031689047325e-05,1,5,0,0.498560779050686,1,1
"ENSG00000257727",1.03338334583008e-05,1,9,0,-0.494084975583854,1,0.8
"ENSG00000225470",0.0351759726059407,1,8,0,0.490419470120124,1,0.6
"ENSG00000104695",0.0351759726059407,1,4,0,-0.489717088384958,1,1
"ENSG00000070756",5.53678326868938e-11,1,7,0,-0.482098847413198,1,1
"ENSG00000111642",0.036416336374898,1,9,0,-0.476084276715034,1,0.4
"ENSG00000165637",6.13706552724979e-10,2.21289478000231e-05,6,1,-0.475879966052992,1,1
"ENSG00000160180",7.97732321086206e-09,0.0509153513869788,5,0,0.475649315968479,1,1
"ENSG00000164733",8.02672522672013e-06,0.0469435040134046,9,1,-0.472726582834489,1,1
"ENSG00000138119",0.034436432481841,1,6,0,-0.461658775917768,1,1
"ENSG00000120533",7.95607060830836e-10,1,9,0,-0.459665920176296,1,1
"ENSG00000184924",0.00847235178442829,0,2,2,-0.456893935136512,1,1
"ENSG00000158234",0.010296638396392,1,6,0,0.444334311623457,1,0.6
"ENSG00000166710",1.57643181649149e-05,1,7,0,-0.440677980210425,1,1
"ENSG00000144381",0.00251005020368833,0.236334010064246,4,0,-0.43628905428034,1,1
"ENSG00000130702",0.034436432481841,1,8,0,0.428570689714229,1,0.8
"ENSG00000143198",2.54600801518736e-10,3.56501836140614e-05,4,1,-0.416257607135131,1,1
