"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Goblet_uninfected_child_Uninfected-Goblet_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000175756"	"ENSG00000175756"	1.0073664923145e-07	2.75412526971183e-09	4	3	-0.421335092803176	1	1
"ENSG00000113387"	"ENSG00000113387"	5.10030767966053e-18	6.70468076960721e-09	4	1	0.649311055668208	1	1
"ENSG00000105519"	"ENSG00000105519"	1.24725983329367e-23	7.07101516650448e-09	7	1	-0.313498330129152	1	1
"ENSG00000113558"	"ENSG00000113558"	1.64596209158765e-08	8.39788532069316e-09	3	1	-0.895412710514962	0.833333333333333	0.666666666666667
"ENSG00000120438"	"ENSG00000120438"	1.12420800356787e-17	1.00398725707634e-08	3	1	0.58157203829277	1	0.833333333333333
"ENSG00000185825"	"ENSG00000185825"	6.9122864458225e-18	1.5695375429513e-08	4	1	-0.3755337652505	1	1
"ENSG00000111907"	"ENSG00000111907"	6.41083571702045e-19	1.90228130326151e-08	5	2	-0.457229501272407	0.833333333333333	0.833333333333333
"ENSG00000182853"	"ENSG00000182853"	2.6872576196662e-07	4.46077157444507e-08	3	1	0.19221137564565	1	1
"ENSG00000173113"	"ENSG00000173113"	8.13921332226854e-07	6.3067812181855e-08	3	2	-0.372398006516282	1	1
"ENSG00000173272"	"ENSG00000173272"	1.06560197607162e-10	6.96829641731005e-08	5	2	0.345744036207948	1	1
"ENSG00000167642"	"ENSG00000167642"	4.67345576890806e-07	9.86295721299161e-08	3	1	-0.231984652928341	1	1
"ENSG00000115875"	"ENSG00000115875"	8.99787704143318e-10	1.05678529982183e-07	5	1	0.197692161624683	1	1
"ENSG00000257698"	"ENSG00000257698"	6.39320889619806e-34	1.4555422046721e-07	5	1	-0.900184359601325	1	0.666666666666667
"ENSG00000079462"	"ENSG00000079462"	4.1053838603478e-06	1.9679777763944e-07	3	2	0.379815451647305	1	1
"ENSG00000100568"	"ENSG00000100568"	8.49074747872217e-39	4.20957406177671e-07	4	1	-0.829142947874958	1	1
"ENSG00000150779"	"ENSG00000150779"	6.81797464912744e-14	5.78121949534758e-07	5	2	-0.497101050793129	1	0.833333333333333
"ENSG00000109180"	"ENSG00000109180"	6.7643881556162e-08	7.39368547068894e-07	6	1	0.34517455151413	1	1
"ENSG00000155066"	"ENSG00000155066"	1.94294583944833e-06	1.03377069883541e-06	4	1	0.750956464809115	0.833333333333333	0.833333333333333
"ENSG00000102054"	"ENSG00000102054"	1.00042677500648e-32	1.4308568401505e-06	4	1	-0.9009723973763	0.833333333333333	0.833333333333333
"ENSG00000169567"	"ENSG00000169567"	9.09203067688023e-17	1.48394417683153e-06	3	1	-0.840750208715427	0.833333333333333	0.833333333333333
"ENSG00000013275"	"ENSG00000013275"	1.58096954137336e-05	1.60860221526496e-06	3	2	-0.35172566839333	1	1
"ENSG00000134574"	"ENSG00000134574"	1.55415736023654e-05	1.63741862390267e-06	4	1	0.81068588861255	1	0.833333333333333
"ENSG00000116285"	"ENSG00000116285"	3.74448398581625e-06	1.91392293585895e-06	3	2	0.544802428923768	1	1
