"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Goblet_uninfected_child_Uninfected-Goblet_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000205609",1.24935269329906e-05,0.00153117016584324,3,1,-0.81034410267501,0.833333333333333,0.833333333333333
"ENSG00000128989",2.26625660046564e-09,1,5,0,-0.810186959495201,1,0.5
"ENSG00000266412",1.01920997788226e-13,3.64670986976576e-06,7,1,0.80859601650732,1,0.666666666666667
"ENSG00000138107",4.82646071093828e-11,0.181115705212206,4,0,0.806973222421315,1,0.666666666666667
"ENSG00000075151",1.94265142966636e-06,0.439446010817512,3,0,-0.806796600928055,0.833333333333333,0.5
"ENSG00000142627",8.34556699719347e-15,1,3,0,0.805396442575684,1,0.833333333333333
"ENSG00000257727",3.55150289999177e-07,0.031554392644262,5,1,-0.8028829435329,1,0.666666666666667
"ENSG00000144802",1.13819965726048e-05,0.570642534301814,4,0,-0.800499319543745,0.833333333333333,0.5
"ENSG00000146733",3.01824962289895e-05,0.0314411375776631,3,2,-0.798538391014277,0.666666666666667,0.666666666666667
"ENSG00000177570",8.68281455569303e-09,1,3,0,0.796580209469226,1,0.666666666666667
"ENSG00000180900",0.00252296532357745,1,3,0,-0.795939089343565,0.833333333333333,0.5
"ENSG00000069966",0.00938812362459097,1,3,0,-0.795397736746891,0.666666666666667,0.333333333333333
"ENSG00000090776",1.03490951225809e-06,0.397112711869199,3,0,-0.79504621588514,0.833333333333333,0.833333333333333
"ENSG00000166579",0.00276466086018391,0.96936229560325,3,0,0.792546145720948,0.833333333333333,0.666666666666667
"ENSG00000162896",2.88024879939286e-37,9.63569144143843e-16,4,1,0.78861072984977,1,0.833333333333333
"ENSG00000146242",7.01041452085134e-06,1,3,0,-0.782981246383148,1,0.833333333333333
"ENSG00000101447",0.00033778997291353,0.00030492704817046,3,1,0.781787278914466,0.833333333333333,0.666666666666667
"ENSG00000028116",0.0113741826733262,0.302185587388751,3,0,-0.770511864505436,0.666666666666667,0.5
"ENSG00000130202",2.71445681797133e-47,1,5,0,-0.770368238212124,1,1
"ENSG00000213145",1.08247475210317e-87,1,6,0,0.763634279171577,1,1
"ENSG00000169228",5.09189949234001e-06,1,4,0,-0.762969283557152,1,0.666666666666667
"ENSG00000167699",3.94698698731491e-11,0.258709019816782,5,0,-0.758907943075765,0.833333333333333,0.666666666666667
"ENSG00000083838",0.0119554029931208,1,3,0,-0.75744753663735,0.833333333333333,0.666666666666667
"ENSG00000103811",0.00216246795239705,0.189975346342749,4,0,-0.754333389972749,0.833333333333333,0.666666666666667
"ENSG00000004455",6.41083571702045e-19,2.32689349688367e-16,3,1,0.754098417464092,0.833333333333333,0.833333333333333
"ENSG00000173598",8.76497154738017e-15,1,4,0,0.751211658933586,1,0.833333333333333
"ENSG00000155066",1.94294583944833e-06,1.03377069883541e-06,4,1,0.750956464809115,0.833333333333333,0.833333333333333
"ENSG00000164751",2.06874735718467e-06,0.00154837931536295,4,1,0.749261276030772,1,0.666666666666667
"ENSG00000182979",0.000530056955206856,1,6,0,0.748462342649692,0.833333333333333,0.333333333333333
"ENSG00000115107",0.0311083699965454,0.241858295762513,3,0,-0.746003669297579,0.666666666666667,0.5
"ENSG00000163138",0.0294941076348526,1,4,0,0.745796100254132,0.833333333333333,0.5
"ENSG00000144161",0.00713375850967716,0.0115556437397326,4,1,-0.744247715788194,1,1
"ENSG00000143549",2.3859256503858e-31,0.000175138823929373,9,1,0.744068652327723,1,0.666666666666667
"ENSG00000243660",0.0176708527960122,0.00803415661418185,3,1,0.742068936501181,0.833333333333333,0.666666666666667
"ENSG00000117592",9.66773600587394e-117,1,3,0,0.741595057448517,1,1
"ENSG00000183742",1.02433903970708e-06,1,3,0,0.736120605548863,1,0.666666666666667
"ENSG00000176658",0.000453519466703239,1,4,0,-0.735054916535019,1,0.666666666666667
"ENSG00000130414",3.80364733900346e-25,1.49616474266841e-15,3,1,-0.734794197210021,1,1
"ENSG00000143398",0.000121067182266624,0.673143992009155,3,0,0.731652929201575,1,0.666666666666667
"ENSG00000186522",3.0304252091605e-08,0.261908089085849,4,0,0.729948255156906,1,0.666666666666667
"ENSG00000138777",1.64596209158765e-08,0.00346487879349383,5,1,0.728458067764886,0.833333333333333,0.666666666666667
"ENSG00000004961",6.88849668988166e-16,0.0542981855053398,5,0,-0.726924027631675,1,0.833333333333333
"ENSG00000204859",0.0120667238497845,1,3,0,0.72645089493108,1,0.5
"ENSG00000164919",4.61571054497032e-61,2.60754401307888e-58,4,2,-0.724670004248457,1,1
"ENSG00000165506",0.00202706441875088,1,3,0,0.722699443387893,0.833333333333333,0.666666666666667
"ENSG00000152894",0.00198682311454862,1,4,0,-0.721491438817267,0.833333333333333,0.5
"ENSG00000079974",1.16554792326758e-07,1,6,0,-0.720859420565623,1,0.666666666666667
"ENSG00000183426",2.16779454371799e-06,0.134790746917091,4,0,0.720697217937916,1,0.833333333333333
"ENSG00000197930",4.16569541105417e-07,1,5,0,0.719114365310618,0.833333333333333,0.666666666666667
"ENSG00000230124",1.7001791554764e-16,1,5,0,0.717775632418966,1,0.833333333333333
"ENSG00000138162",1.5086275349153e-05,1,4,0,0.716731569275564,1,0.666666666666667
"ENSG00000178950",5.03888707906418e-05,0.00211561374753185,4,1,-0.714839131882841,1,0.666666666666667
"ENSG00000278259",0.000369523904817973,1,4,0,0.714775035699251,0.833333333333333,0.5
"ENSG00000168615",3.33691204770555e-06,0.000343039616964033,4,1,0.714735400683858,0.833333333333333,0.5
"ENSG00000167617",0.000124094959474391,1,3,0,0.714616976861562,1,0.833333333333333
"ENSG00000154813",0.000495137921731562,0.679599521747097,4,0,0.711650740792683,1,0.666666666666667
"ENSG00000141380",4.60915473119736e-05,0.000310352307098705,6,1,0.711038354725668,1,0.666666666666667
"ENSG00000171155",1.88137890884234e-05,0.0139550961062974,3,1,0.708008683740263,1,0.833333333333333
"ENSG00000071539",7.82941035233245e-05,1,3,0,0.702112818375841,0.833333333333333,0.5
"ENSG00000106617",0.000306815280805353,4.79374091709621e-05,4,1,-0.69944935645938,1,0.833333333333333
"ENSG00000204220",2.24658881225226e-09,2.98182869047865e-10,4,2,0.698016036068863,1,0.833333333333333
"ENSG00000137274",0.000180893479203138,0.000158151877474458,3,1,-0.697322850887525,1,0.666666666666667
"ENSG00000170364",0.00411017136101558,1,4,0,0.696966855589614,0.833333333333333,0.833333333333333
"ENSG00000146223",3.73538800357899e-10,1,7,0,0.695296458069008,1,0.833333333333333
"ENSG00000122952",4.94652588549069e-05,1,4,0,0.694417021704683,0.833333333333333,0.666666666666667
"ENSG00000130560",6.37665471955574e-32,1,5,0,-0.693332567068621,1,0.833333333333333
"ENSG00000214046",1.22247707001745e-13,1,7,0,0.693276366764069,1,0.5
