"gene_ID","gene_qvalue","minimal_tx_qvalue","number_tx","number_significant_tx","max(Cycling_basal_UK_72hpi_adult_Infected-Cycling_basal_uninfected_adult_Uninfected)","pct_gene_expr","max_pct_tx_expr"
"ENSG00000082701",0.000896704519763256,1,3,0,-0.440118416350837,1,1
"ENSG00000117682",0.0271503431864439,1,5,0,-0.439129297637974,1,0.666666666666667
"ENSG00000104765",0.000628198218470698,0.394903172399522,3,0,0.437537160471728,1,1
"ENSG00000114019",0.000809373171583179,0.966281479765733,5,0,0.437499999999999,0.833333333333333,0.833333333333333
"ENSG00000065054",0.00953232394068123,0.0800888643177759,5,0,0.436172873797367,1,0.833333333333333
"ENSG00000130826",0.000176609717057423,0.00128687859310102,3,1,-0.435448543136747,1,1
"ENSG00000184709",8.12069278371302e-05,1,3,0,-0.435252103017692,1,1
"ENSG00000182196",4.91511127600206e-19,5.32481605471314e-07,5,1,0.435122512930448,1,1
"ENSG00000131051",1.717668767418e-11,0.107699098424246,13,0,0.434332357123069,1,1
"ENSG00000119801",4.41507107110108e-05,1,5,0,-0.434277210250217,1,0.833333333333333
"ENSG00000267673",0.0126980585083824,1,5,0,-0.432582890084683,1,0.833333333333333
"ENSG00000115339",0.034344638092977,1,4,0,-0.430508429837578,1,0.833333333333333
"ENSG00000166710",3.08361129004161e-43,0.285910138887795,8,0,0.430302891273262,1,1
"ENSG00000173818",0.0202540765677501,1,6,0,0.430269767829555,1,0.666666666666667
"ENSG00000125877",0.000164818543433105,0.00766760200798223,6,1,0.429262126610253,1,1
"ENSG00000126522",0.00589589939420811,1,8,0,-0.428569723119501,1,0.666666666666667
"ENSG00000226067",0.000115971083010343,1,7,0,-0.426903634141345,1,1
"ENSG00000179134",0.00553305491596022,0.0218239313485719,4,1,0.426789537934711,1,1
"ENSG00000176974",0.0405125922056273,1,5,0,0.426303403882432,0.833333333333333,0.666666666666667
"ENSG00000101310",0.00165357758938777,1,6,0,0.425996823805474,0.833333333333333,0.833333333333333
"ENSG00000133706",0.008599204300772,1,5,0,0.425507898370541,1,0.833333333333333
"ENSG00000143198",7.00085762552476e-31,6.50445966867241e-18,4,1,-0.423898661046003,1,1
"ENSG00000198363",0.0181104740007304,1,5,0,-0.423832834678451,1,0.833333333333333
"ENSG00000156256",0.00231437342657374,0.693509172493723,6,0,-0.421737801988841,1,0.833333333333333
"ENSG00000122026",2.05533711948706e-75,4.82189935742211e-34,3,1,-0.420328593757145,1,1
"ENSG00000032389",0.005624564198545,0.00217863751577244,4,1,0.420056485194758,1,1
"ENSG00000136240",1.84649704696197e-05,1,5,0,0.419938726546718,1,1
"ENSG00000158092",0.000623109700012958,0.00078392093917431,5,1,-0.418787643914503,1,1
"ENSG00000134779",5.21287475757995e-06,0.797114428874877,10,0,-0.418604443280898,1,0.833333333333333
"ENSG00000113649",0.0236589609971972,1,3,0,-0.418518135926663,0.833333333333333,0.833333333333333
"ENSG00000110958",1.21332683249255e-13,4.98331678166471e-06,3,1,0.417963646775376,1,1
"ENSG00000089356",2.78022905466631e-63,5.51364772766955e-61,4,2,0.417852446682146,1,1
"ENSG00000113282",0.00124854358044514,0.0408697519520332,5,1,0.417185621954408,1,0.833333333333333
"ENSG00000177479",0.0271140073187245,1,5,0,0.415824490225433,1,0.666666666666667
"ENSG00000139437",0.0131242539020942,1,4,0,0.414824894325284,1,1
"ENSG00000133265",0.00117802233296395,0.104446824171049,4,0,-0.413793141058272,1,1
"ENSG00000166012",1.36670503616618e-05,1,7,0,-0.413792988656982,1,0.833333333333333
"ENSG00000243989",0.0313284287369493,0.209954243059865,4,0,-0.413791464569219,1,1
"ENSG00000142273",0.0149712558917349,0.0150604281696207,4,1,0.41364479993947,1,1
"ENSG00000084090",0.0476697061930208,0.0376923042764052,3,1,0.412634447842352,1,1
"ENSG00000185499",1.07010234980065e-05,0.000691421985177994,4,1,-0.411070329831868,1,1
"ENSG00000131508",0.017604755070326,0.00891169342852655,4,2,0.410840322502704,1,1
"ENSG00000185813",0.0377189097433045,0.0661050239975597,5,0,-0.408333320658111,0.833333333333333,0.833333333333333
"ENSG00000182093",5.01139126513457e-07,0.0915239736394274,6,0,-0.408163263622204,1,1
"ENSG00000117676",0.000538070545189572,1,5,0,-0.40740498432905,1,1
"ENSG00000158435",0.0066602691194391,1,3,0,-0.40369197257164,1,1
"ENSG00000171867",9.34952494029591e-06,0.0549473655189483,3,0,0.403387560230494,1,0.833333333333333
"ENSG00000130429",2.25597112128839e-24,4.12968961116097e-16,4,1,-0.402722684622748,1,1
"ENSG00000049759",0.00648013935499353,0.167595147201018,6,0,-0.401946685515616,1,0.833333333333333
"ENSG00000184110",1.83824525617799e-11,0.000325273759662671,5,1,0.401522811727485,1,1
"ENSG00000070731",0.0186184088349364,0.0192234079925175,5,1,-0.401476563436536,1,1
"ENSG00000139263",1.32825747254327e-05,0.120613980581466,7,0,0.399999800350898,1,1
"ENSG00000118307",0.00353221098352138,1,7,0,-0.399999093318166,1,1
"ENSG00000164924",1.47190872336459e-08,0.00739548670999317,8,1,0.39994108277374,1,1
"ENSG00000099849",6.1937072330671e-06,0.00300156248831225,7,1,0.399661976984446,1,1
"ENSG00000206562",0.018292596312661,1,4,0,0.398958796372445,1,0.833333333333333
"ENSG00000175029",3.48191164775674e-07,1,8,0,0.398797765288296,1,0.666666666666667
"ENSG00000110274",5.89331615972807e-06,1,7,0,-0.397991806290236,1,0.5
"ENSG00000164172",8.65164999143687e-05,1,4,0,0.396334318607094,1,1
"ENSG00000142599",0.0108361871403254,0.0109205442461343,4,1,-0.395476281860215,1,1
"ENSG00000141298",0.0169225152889802,1,4,0,0.394066203834465,1,1
"ENSG00000096093",7.6755064784721e-05,0.8237707894158,7,0,-0.393053747709412,1,1
"ENSG00000168575",0.000227062182653762,1,6,0,-0.392872023696733,1,0.833333333333333
"ENSG00000214022",6.43658184848652e-05,1,6,0,-0.392857145212791,1,1
"ENSG00000110492",1.34254069432246e-24,6.73480334630823e-16,4,1,-0.392071508626526,1,1
"ENSG00000204618",1.87613456838288e-05,0.000225179865161438,4,1,0.389006021125263,1,1
