"gene_ID"	"gene_qvalue"	"minimal_tx_qvalue"	"number_tx"	"number_significant_tx"	"max(Cycling_basal_UK_72hpi_adult_Infected-Cycling_basal_uninfected_adult_Uninfected)"	"pct_gene_expr"	"max_pct_tx_expr"
"ENSG00000004455"	"ENSG00000004455"	1.1068091165172e-06	7.92005106679775e-05	6	1	-0.515545609073166	1	1
"ENSG00000139722"	"ENSG00000139722"	5.41481272112892e-05	8.51054534073028e-05	4	1	0.323117108711178	1	1
"ENSG00000139218"	"ENSG00000139218"	1.75806655642892e-06	8.53516966969218e-05	8	2	0.463461538469803	1	0.833333333333333
"ENSG00000044115"	"ENSG00000044115"	3.10056215855412e-10	0.000102711840199684	5	1	0.634491061250185	1	1
"ENSG00000204618"	"ENSG00000204618"	1.87613456838288e-05	0.000225179865161438	4	1	0.389006021125263	1	1
"ENSG00000108679"	"ENSG00000108679"	0.00212428185272009	0.000234382999233368	3	2	0.183852139832704	1	1
"ENSG00000206073"	"ENSG00000206073"	0.000136281122192328	0.00027339389451244	3	1	0.163873064476501	1	1
"ENSG00000041357"	"ENSG00000041357"	1.74097968830627e-11	0.000302765761666428	3	2	0.772219381249319	1	1
"ENSG00000184110"	"ENSG00000184110"	1.83824525617799e-11	0.000325273759662671	5	1	0.401522811727485	1	1
"ENSG00000127314"	"ENSG00000127314"	2.08431510798744e-16	0.000350335435247786	6	1	-0.312420798786932	1	1
"ENSG00000063660"	"ENSG00000063660"	4.93177166345563e-05	0.000373281225246073	3	1	-0.458833483438695	1	1
"ENSG00000170296"	"ENSG00000170296"	6.5326477288569e-09	0.000424652971866702	4	1	0.889862549080262	1	1
"ENSG00000172354"	"ENSG00000172354"	0.00190488245419153	0.000563620144628228	3	1	-0.162527451287706	1	1
"ENSG00000185499"	"ENSG00000185499"	1.07010234980065e-05	0.000691421985177994	4	1	-0.411070329831868	1	1
"ENSG00000172785"	"ENSG00000172785"	8.97500213893515e-10	0.000713455070053976	9	1	-0.595091930230197	1	1
"ENSG00000158092"	"ENSG00000158092"	0.000623109700012958	0.00078392093917431	5	1	-0.418787643914503	1	1
"ENSG00000266412"	"ENSG00000266412"	3.6665012636949e-08	0.000794273785522864	8	1	0.582348130923877	1	0.666666666666667
"ENSG00000068745"	"ENSG00000068745"	4.51680481652351e-05	0.000813032342527639	4	1	-0.353148463558747	1	1
"ENSG00000127837"	"ENSG00000127837"	0.000499804177528833	0.000825023920073192	3	1	-0.387108673120785	1	1
"ENSG00000165949"	"ENSG00000165949"	0.00608224975564942	0.000825982606360574	3	1	0.187188612027045	1	1
"ENSG00000169251"	"ENSG00000169251"	0.000657641701716119	0.000933009667450944	5	1	0.601673883141917	1	0.833333333333333
"ENSG00000023191"	"ENSG00000023191"	0.00480333334032244	0.000979903811413243	6	1	0.184305192847398	1	1
"ENSG00000172831"	"ENSG00000172831"	0.000509668801316704	0.00115365360742976	3	1	-0.567464499643342	1	0.833333333333333
"ENSG00000074071"	"ENSG00000074071"	0.000403943283684882	0.00126323619581626	4	1	-0.183099448996087	1	1
"ENSG00000130826"	"ENSG00000130826"	0.000176609717057423	0.00128687859310102	3	1	-0.435448543136747	1	1
"ENSG00000102144"	"ENSG00000102144"	0.00834380819799431	0.00147390344755596	3	2	-0.286053716930483	1	1
"ENSG00000107372"	"ENSG00000107372"	1.04660209656884e-07	0.0016035593806514	6	1	-0.475755008653227	1	1
"ENSG00000142687"	"ENSG00000142687"	4.7027013500014e-06	0.00164155373527209	4	1	-0.741377257454701	1	0.833333333333333
"ENSG00000168374"	"ENSG00000168374"	0.000229378783405856	0.00173145197658956	3	1	-0.247803759416653	1	1
